Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Scale_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Source_1,Source_2,Notes
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_BALEARIC_ISLANDS,Balearic Islands,building_barrack,Barracks,1,MEDIUM,MILITARY_GARRISON,MILITARY_STATE_DEMAND,DOMESTIC_NATIONAL,OTHER,British Minorca was a strategic Mediterranean garrison centred on Port Mahon.,"One level represents the permanent strategic garrison, not a local arms industry.",YES,NONE,https://www.islahospitalmenorca.org/en/historical-texts/?v=073cc70932ad,,Missing/currently undistributed gate(s): organized_military_establishments
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_BALEARIC_ISLANDS,Balearic Islands,building_naval_fortification,Naval Fortification,1,MEDIUM,NAVAL_DEFENCE,MILITARY_STATE_DEMAND,DOMESTIC_NATIONAL,OTHER,Port Mahon/Minorca was maintained as a strategic British naval-military position.,One level captures defensive naval infrastructure; no port is manually seeded because the state catalogue says Has_Port_Access=NO.,YES,NONE,https://www.islahospitalmenorca.org/en/historical-texts/?v=073cc70932ad,,Missing/currently undistributed gate(s): scientific_fortification_siegecraft
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_EAST_ANGLIA,East Anglia,building_port,Port,1,MEDIUM,COASTAL_COMMERCE,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,Multiple organized east-coast ports served grain and coastal trade.,Conservative level 1 for organized port capacity.,YES,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,Missing/currently undistributed gate(s): enclosed_dock_systems
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_EAST_ANGLIA,East Anglia,building_railway,Regional Infrastructure,1,MEDIUM,REGIONAL_TRANSPORT,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,Dense market roads linked agricultural districts to London and east-coast ports.,One road-network level; no canal or rail claimed.,NO,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,ROAD_LEVEL_JUSTIFICATION: One road-network level; no canal or rail claimed. | CANAL_LEVEL_JUSTIFICATION: none required for this recommendation | RAIL_PM: pm_no_rail_network
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_EAST_ANGLIA,East Anglia,building_textile_mill,Textile Manufacture,2,MEDIUM,WOOL_TEXTILES,DOMESTIC_NATIONAL,EXPORT_REGIONAL,PUTTING_OUT_NETWORK,Norwich/East Anglia supported a large worsted and textile economy.,Level 2 represents a significant regional textile specialization.,NO,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_EAST_ANGLIA,East Anglia,building_wheat_farm,Wheat Farms,2,MEDIUM,COMMERCIAL_AGRICULTURE,DOMESTIC_NATIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,East Anglia was a major commercial grain-producing zone.,Level 2 for sustained market-oriented arable production.,NO,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HIGHLANDS,Highlands,building_fishing_wharf,Fishing Wharves,1,MEDIUM,FISHERIES,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,"Highland/coastal economy supported livestock, timber and fisheries for wider Scottish markets.",Conservative levels for dispersed but commercially significant extraction/agriculture.,YES,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,Missing/currently undistributed gate(s): marine_chronometry
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HIGHLANDS,Highlands,building_livestock_ranch,Livestock Ranches,2,MEDIUM,COMMERCIAL_LIVESTOCK,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,"Highland/coastal economy supported livestock, timber and fisheries for wider Scottish markets.",Conservative levels for dispersed but commercially significant extraction/agriculture.,NO,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HIGHLANDS,Highlands,building_logging_camp,Logging Camps,2,MEDIUM,TIMBER_EXTRACTION,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_EXTRACTION,"Highland/coastal economy supported livestock, timber and fisheries for wider Scottish markets.",Conservative levels for dispersed but commercially significant extraction/agriculture.,NO,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,
R1_WESTERN_EUROPE,GBR,Great Britain,STATE_HIGHLANDS,Highlands,building_port,Port,1,MEDIUM,COASTAL_PORT,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,"Highland/coastal economy supported livestock, timber and fisheries for wider Scottish markets.",Conservative levels for dispersed but commercially significant extraction/agriculture.,YES,NONE,https://www.parliament.uk/about/living-heritage/transformingsociety/tradeindustry/importexport/overview/ports/,,Missing/currently undistributed gate(s): enclosed_dock_systems
