tech_id,name_en,name_fr,branch,family,current_era,proposed_era,implemented_era,chronology_status,chronology_reason,current_prerequisites,move_creates_inversion,decision,status,notes
analytical_philosophy,Analytical Philosophy,Philosophie analytique,Society,philosophy_psychology,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,psychoanalysis,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
anarchism,Anarchism,Anarchisme,Society,political_ideologies,era_8,era_7,era_7,GOOD,Recognizable anarchist theory emerged in the 1840s and belongs beside early socialism.,early_socialism_cooperativism,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
aniline,Aniline,Aniline,Production,industrial_materials,era_9,era_8,era_8,GOOD,Synthetic aniline dyes began in the 1850s and saw major adoption in the 1860s-1870s.,rubber_mastication,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
antibiotics,Antibiotics,Antibiotique,Society,public_health,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,malaria_prevention,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
arc_welding,Arc Welding,Soudage à l’arc,Production,steel_metallurgy,era_12,era_12,era_12,BORDERLINE_REEVALUATED,"The process emerged earlier, but broad heavy-industry adoption accelerated in the 1920s.",electric_arc_process;pneumatic_tools,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
art_silk,Art Silk,Soie artificielle,Production,industrial_materials,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,aniline,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
automatic_bottle_blowers,Automatic Bottle Blowers,Souffleuses de bouteilles automatiques,Production,food_industrialization,era_10,era_10,era_10,GOOD,Current placement remains chronologically and structurally acceptable.,vulcanization,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
automatic_machine_guns,Automatic Machine Guns,Mitrailleuse automatique,Military,infantry_weapons,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,handcranked_machine_gun;bolt_action_rifles,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
baking_powder,Baking Powder,Levure chimique,Production,food_industrialization,era_7,era_7,era_7,GOOD,Current placement remains chronologically and structurally acceptable.,fractional_distillation,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
battlefleet_tactics,Modern Battlefleet Tactics,Tactiques modernes de la flotte de combat,Naval,naval_doctrine,era_12,era_12,era_12,BORDERLINE,Current placement remains chronologically and structurally acceptable.,battleship_tech;sea_lane_strategies,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
battleship_tech,$ship_type_super_dreadnought$,$ship_type_super_dreadnought$,Naval,naval_hulls,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,dreadnought_tech,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
behaviorism,Behaviorism,Comportementalisme,Society,philosophy_psychology,era_11,era_11,era_11,GOOD,Current placement remains chronologically and structurally acceptable.,psychoanalysis,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
bessemer_process,Bessemer Process,Procédé Bessemer,Production,steel_metallurgy,era_7,era_7,era_7,BORDERLINE,Current placement remains chronologically and structurally acceptable.,hot_blast_smelting,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
bolt_action_rifles,Bolt-Action Rifle,Fusil à verrou,Military,infantry_weapons,era_10,era_9,era_9,GOOD,Bolt-action systems emerged in the 1860s and achieved major military adoption in the 1880s.,repeaters,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
breech_loading_artillery,Breech-Loading Artillery,Armes à chargement par la culasse,Military,artillery,era_8,era_8,era_8,GOOD,Current placement remains chronologically and structurally acceptable.,rifling;shell_gun,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
camera,Camera,Appareil photo,Society,arts_visual_media,era_8,era_7,era_7,GOOD,Practical photography emerged in the late 1830s and spread during the 1840s-1850s.,realism,no,MOVE_EARLIER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
carrier_tech,Aircraft Carrier,Porte-avions,Naval,naval_hulls,era_12,era_12,era_12,GOOD,Current placement remains chronologically and structurally acceptable.,dreadnought_tech,no,KEEP,UNCHANGED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
central_planning,Central Planning,Plan centralisé,Society,administration_surveillance,era_10,era_11,era_11,GOOD,State central-planning institutions become a distinct system around the First World War and 1917.,identification_documents,no,MOVE_LATER,IMPLEMENTED,Era-only TECH-4B decision; prerequisites and all other technology fields remain unchanged.
