Research_Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Current_Level,Target_Level,Delta,Decision,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Tech_Distribution_Review,Map_Rework_Risk,Serenissima_Protected,Historical_Evidence,Level_Rationale,Source_1,Source_2,Notes,Base_Historical_Target_Level,Overlay_Type,Overlay_Reason
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ABB,Arab Emirates,STATE_ABU_DHABI,Trucial Coast,building_fishing_wharf,Fishing Wharves,0,1,1,ADD,HIGH,RESOURCE_EXTRACTION,DOMESTIC_REGIONAL,NONE,RESOURCE_EXTRACTION,YES,NONE,NO,Fishing and pearling were core coastal activities on the Trucial Coast.,Fishing and pearling were core coastal activities on the Trucial Coast.,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ABB,Arab Emirates,STATE_ABU_DHABI,Trucial Coast,building_port,Port,0,1,1,ADD,MEDIUM,PORT,DOMESTIC_REGIONAL,EXPORT_REGIONAL,OTHER,YES,NONE,NO,A modest coastal harbor level is justified; this is not a major entrepôt.,A modest coastal harbor level is justified; this is not a major entrepôt.,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R6_SOUTHEAST_ASIA_OCEANIA,ACE,Aceh,STATE_ACEH,Aceh,building_fishing_wharf,Fishing Wharves,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/12_indonesia.txt:common/history/buildings/12_indonesia.txt:785 | CURRENT_PM=pm_simple_fishing|pm_unrefrigerated,0,NONE,Frozen historical target unchanged.
R6_SOUTHEAST_ASIA_OCEANIA,ACE,Aceh,STATE_ACEH,Aceh,building_port,Port,1,1,0,KEEP,HIGH,EXPORT_INTERCONTINENTAL,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,OTHER,YES,NONE,NO,Aceh’s entrepôt depended on organized oceanic shipping,One port level.,https://www.cambridge.org/core/journals/journal-of-global-history/article/shift-from-indirect-to-direct-trade-between-china-and-south-asia-16841740/C3F251BFDDEF4ACCD6683F4B3B571FF4,,PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv | CURRENT_SOURCE=common/history/buildings/12_indonesia.txt:common/history/buildings/12_indonesia.txt:798 | CURRENT_PM=pm_anchorage,1,NONE,Frozen historical target unchanged.
R6_SOUTHEAST_ASIA_OCEANIA,ACE,Aceh,STATE_ACEH,Aceh,building_rice_farm,Rice Farms,1,0,-1,REMOVE,N/A_CURRENT_ONLY,NO_FINAL_HISTORICAL_TARGET,,,,NO,NONE,NO,No final positive historical target for this covered Owner/State/Building.,,,,CURRENT_SOURCE=common/history/buildings/12_indonesia.txt:common/history/buildings/12_indonesia.txt:772 | CURRENT_PM=pm_no_secondary|pm_simple_farming_building_rice_farm|pm_tools_disabled,0,NONE,Frozen historical target unchanged.
R6_SOUTHEAST_ASIA_OCEANIA,ACE,Aceh,STATE_ACEH,Aceh,building_spice_plantation,Spice Plantations,8,3,-5,DECREASE,HIGH,EXPORT_INTERCONTINENTAL,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,"Aceh supplied pepper, gold, benzoin, camphor and drugs to Indian Ocean trade",Pepper export specialization warrants level 3.,https://www.cambridge.org/core/journals/journal-of-global-history/article/shift-from-indirect-to-direct-trade-between-china-and-south-asia-16841740/C3F251BFDDEF4ACCD6683F4B3B571FF4,,PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv | CURRENT_SOURCE=common/history/buildings/99_tech6a3_spice_plantations.txt:common/history/buildings/99_tech6a3_spice_plantations.txt:34 | CURRENT_PM=pm_road_carts|pm_spice_cultivation,3,NONE,Frozen historical target unchanged.
R6_SOUTHEAST_ASIA_OCEANIA,ACE,Aceh,STATE_ACEH,Aceh,building_trade_center,Trade Center,0,2,2,ADD,HIGH,ENTREPOT_REEXPORT,DOMESTIC_REGIONAL,EXPORT_INTERCONTINENTAL,OTHER,NO,NONE,NO,Aceh remained a large market and Indian Ocean entrepôt in the 18th century,"Major international emporium, level 2.",https://www.cambridge.org/core/journals/journal-of-global-history/article/shift-from-indirect-to-direct-trade-between-china-and-south-asia-16841740/C3F251BFDDEF4ACCD6683F4B3B571FF4,,PROVENANCE_FILE=BUILD_START_1776_EAST_ASIA_SE_ASIA_RESEARCH_MATRIX.csv,2,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADG,Kel Adagh,STATE_EAST_SAHARA,East Sahara,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,HIGH,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADG,Kel Adagh,STATE_TIMBUKTU,Timbuktu,building_livestock_ranch,Livestock Ranches,0,1,1,ADD,MEDIUM,AGRICULTURE_COMMERCIAL,DOMESTIC_REGIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,NO,NONE,NO,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,Pastoral livestock production and animal trade are historically important enough to justify one conservative commercial ranch level beyond subsistence.,https://www.cambridge.org/core/books/abs/cambridge-history-of-africa/central-sahara-and-sudan/5D881D10F5663B3129D5604AB55DE183,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
R3_MIDDLE_EAST_NORTH_AFRICA_CAUCASUS_CENTRAL_ASIA,ADR,Adrar,STATE_INNER_MAURITANIA,Inner Mauritania,building_eye_of_sahara,Eye of the Sahara,0,1,1,ADD,HIGH,OTHER,DOMESTIC_REGIONAL,NONE,OTHER,NO,NONE,NO,The Richat Structure/Eye of the Sahara is a geographic state-specific feature in the Adrar region.,The Richat Structure/Eye of the Sahara is a geographic state-specific feature in the Adrar region.,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/fortunes-commerciales-a-shingiti-adrar-mauritanien-au-dixneuvieme-siecle/11CB84108760623CA588046FACE1B916,,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_R3_RECOMMENDATIONS.csv,1,NONE,Frozen historical target unchanged.
