Region,Owner_TAG,Country,State_ID,State_Name,Building_ID,Building_Name,Target_Level,Confidence,Economic_Role,Domestic_Demand,Export_Orientation,Industry_Form,Scale_Evidence,Level_Rationale,Tech_Distribution_Review,Map_Rework_Risk,Source_1,Source_2,Notes
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_arms_industry,Arms Industries,1,HIGH,MILITARY,MILITARY_STATE_DEMAND,EXPORT_REGIONAL,ARSENAL,Agra was among the north-Indian arsenal/manufactory centres producing munitions to high standards.,One level reflects organized arsenal production without assuming mass interchangeable manufacture.,YES,INDIA_FUTURE_REWORK,https://southasia.stanford.edu/publications/guns-and-british-empire,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_artillery_foundry,Artillery Foundry,1,MEDIUM,MILITARY,MILITARY_STATE_DEMAND,NONE,ARSENAL,North-Indian state arsenals around Agra produced munitions and artillery.,Conservative single foundry level.,YES,INDIA_FUTURE_REWORK,https://southasia.stanford.edu/publications/guns-and-british-empire,,
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_glassworks,Glassworks,1,MEDIUM,MANUFACTURING,DOMESTIC_REGIONAL,EXPORT_REGIONAL,URBAN_MANUFACTORY_CLUSTER,Firozabad near Agra had a Mughal-era glass tradition and royal patronage.,One aggregated level for a recognizable glass district; no claim of modern pressed glass.,YES,INDIA_FUTURE_REWORK,https://bookstore.teri.res.in/docs/books/Firozabad%20glass%20industry%20cluster.pdf,,
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_railway,Regional Infrastructure,2,HIGH,INFRASTRUCTURE,DOMESTIC_NATIONAL,EXPORT_REGIONAL,OTHER,"Agra lay on major overland arteries linking Delhi, Malwa, Surat and the Deccan.",Two levels for a structured trunk-road system; no active railway.,NO,INDIA_FUTURE_REWORK,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/great-road-from-surat-to-agra-throughmalwa/4A28C1F2438DF626A3E5E9B82EC9E035,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,ROAD_LEVEL_JUSTIFICATION=major Agra–Malwa–Surat/Deccan road network; CANAL_LEVEL_JUSTIFICATION=none demonstrated as transport canal; RAIL=pm_no_rail_network
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_taj_mahal,Taj Mahal,1,HIGH,MONUMENT,DOMESTIC_NATIONAL,NONE,OTHER,Taj Mahal completed in the seventeenth century and physically present at Agra.,Unique state-specific monument.,NO,INDIA_FUTURE_REWORK,https://whc.unesco.org/en/list/252,,MONUMENT
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_textile_mill,Textile Manufacture,2,HIGH,MANUFACTURING,DOMESTIC_NATIONAL,EXPORT_REGIONAL,PROTO_INDUSTRIAL_DISTRICT,Agra belonged to the dense north-Indian textile/manufacturing zone; Mughal cities concentrated weaving and luxury crafts.,"Large organized hand-production justifies 2, not mechanized industry.",NO,INDIA_FUTURE_REWORK,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_trade_center,Trade Center,2,HIGH,TRADE,DOMESTIC_NATIONAL,EXPORT_REGIONAL,OTHER,"Agra was a major manufacturing, banking and overland commercial city in the Mughal network.",National-scale redistribution hub; below international entrepôt level.,NO,INDIA_FUTURE_REWORK,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/abs/great-road-from-surat-to-agra-throughmalwa/4A28C1F2438DF626A3E5E9B82EC9E035,TRADE_CENTER
R4_SOUTH_ASIA,MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_wheat_farm,Wheat Farms,2,MEDIUM,AGRICULTURE,DOMESTIC_NATIONAL,EXPORT_REGIONAL,COMMERCIAL_AGRICULTURE,The upper Gangetic/Agra zone supported major marketed grain flows feeding cities and armies.,Two levels represent market-oriented grain beyond subsistence.,NO,INDIA_FUTURE_REWORK,https://www.cambridge.org/core/books/the-cambridge-economic-history-of-india/FAE3A6C0264445BBCEB02B5CD0CC2A2F,https://www.cambridge.org/core/books/abs/cambridge-economic-history-of-india/mughal-india/A275FC7EFB9CF124D90302E92A994FCC,
R4_SOUTH_ASIA,AWA,Awadh,STATE_AWADH,Oudh,building_arms_industry,Arms Industries,2,HIGH,MILITARY,MILITARY_STATE_DEMAND,NONE,STATE_MANUFACTORY,"Shuja-ud-Daula established organized arms production at Faizabad in the late 1760s, including matchlocks and artillery work.",Two levels reflect a serious state armament programme by 1776.,NO,INDIA_FUTURE_REWORK,https://southasia.stanford.edu/publications/guns-and-british-empire,,
R4_SOUTH_ASIA,AWA,Awadh,STATE_AWADH,Oudh,building_artillery_foundry,Artillery Foundry,1,HIGH,MILITARY,MILITARY_STATE_DEMAND,NONE,STATE_MANUFACTORY,"Contemporary evidence describes brass-gun casting, gun carriages and boring equipment in Awadh before 1776.",Single artillery-foundry level.,NO,INDIA_FUTURE_REWORK,https://southasia.stanford.edu/publications/guns-and-british-empire,,
