"Technology_ID","Era","Category","Current_EN_Name","Current_FR_Name","Current_EN_Description","Current_FR_Description","Issue_Type","Needs_Name_Change","Needs_Description_Change","Notes"
"shaft_mining","era_1","production","Shaft Mining","Puits de mine","By mining straight down to the desired depth before branching it off, and then using a lift system to raise materials up and down it is possible to make a much more efficient mine.","En creusant directement jusqu’à la profondeur souhaitée avant de bifurquer, puis en utilisant un système de levage pour faire monter et descendre les matériaux, il est possible de créer une mine bien plus efficace.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=none; unlocks=buildings:building_iron_mine|buildings:building_lead_mine|buildings:building_sulfur_mine|buildings:building_gold_mine|buildings:building_limestone_quarry|buildings:building_copper_mine"
"coke_smelting","era_1","production","Coke Smelting","Fonte au coke","The practical development of Coke Smelting expands productive capacity and prepares its later industrial applications.","Le développement pratique de Fonte au coke accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=organized_workshops shaft_mining; unlocks=buildings:building_steel_mill"
"atmospheric_engine","era_2","production","Atmospheric Engine","Pompe à feu","The Atmospheric Engine is the first steam engine that has an actual practical application. ","La pompe à feu est la première machine à vapeur ayant une véritable application pratique. ","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/replace/1776_overrides_l_english.yml; fr=localization/french/replace/1776_overrides_l_french.yml; prerequisites=shaft_mining; unlocks=production_methods:pm_atmospheric_engine_pump_building_coal_mine|production_methods:pm_atmospheric_engine_pump_building_iron_mine|production_methods:pm_atmospheric_engine_pump_building_lead_mine|production_methods:pm_atmospheric_engine_pump_building_sulfur_mine|production_methods:pm_atmospheric_engine_pump_building_gold_mine|production_methods:pm_atmospheric_engine_pump_building_salt_mine|production_methods:pm_atmospheric_engine_pump_building_copper_mine|production_methods:pm_atmospheric_engine_pump_building_bauxite_mine|production_methods:pm_atmospheric_engine_pump_building_phosphate_mine"
"improved_husbandry","era_1","production","Improved Husbandry","Agriculture améliorée","The practical development of Improved Husbandry expands productive capacity and prepares its later industrial applications.","Le développement pratique de Agriculture améliorée accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=buildings:building_rice_farm|buildings:building_maize_farm|buildings:building_opium_plantation|buildings:building_tea_plantation|buildings:building_banana_plantation"
"distillation","era_1","production","Distillation","Distillation","Distillation is the ability to separate components of a liquid using different boiling temperatures, allowing for all sorts of further uses.","La distillation est la capacité de séparer des composants d’un liquide en appliquant différentes températures d’ébullition, et ce à toutes sortes de fins.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/inventions_l_english.yml; fr=localization/french/inventions_l_french.yml; prerequisites=traditional_food_processing; unlocks=production_methods:pm_pot_stills|production_methods:pm_spiced_food_preparations"
"crystal_glass","era_4","production","Crystal Glass","Verre en cristal","By adding lead to glass it is possible to create glass with the appearance of crystal, which is sought after due to its value.","En ajoutant du plomb au verre, il est possible de fabriquer du verre ayant l’apparence du cristal, très recherché en raison de sa valeur.","OK","NO","NO","MOD_MODIFIED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/inventions_l_english.yml; fr=localization/french/inventions_l_french.yml; prerequisites=industrial_ceramics organized_workshops; unlocks=production_methods:pm_crystal_glass"
"improved_agricultural_implements","era_1","production","Improved Farm Tools","Outils agricoles","The practical development of Improved Agricultural Implements expands productive capacity and prepares its later industrial applications.","Le développement pratique de Outils agricoles améliorés accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=improved_husbandry; unlocks=production_methods:pm_tools"
"turnpike_road_networks","era_2","production","Organized Land Infrastructure","Infrastructure terrestre organisée","Organized road networks, structured maintenance, and the administration of overland routes provide a common foundation for land infrastructure.","Des réseaux routiers organisés, un entretien structuré et l'administration des voies terrestres constituent un socle commun pour les infrastructures terrestres.","OK","NO","NO","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=production_methods:pm_market_squares|production_methods:pm_turnpike_road_network"
"industrial_acids","era_2","production","Industrial Acids","Acides industriels","The practical development of Industrial Acids expands productive capacity and prepares its later industrial applications.","Le développement pratique de Acides industriels accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=none; unlocks=buildings:building_chemical_plant"
"advanced_crop_rotations","era_3","production","Advanced Crop Rotations","Rotations culturales","The practical development of Advanced Crop Rotations expands productive capacity and prepares its later industrial applications.","Le développement pratique de Rotations culturales avancées accroît les capacités productives et prépare ses applications industrielles ultérieures.","GENERIC_DESCRIPTION","NO","YES","MOD_ADDED; definition=common/technology/technologies/10_tech3a_production.txt; en=localization/english/tech3a_technology_l_english.yml; fr=localization/french/tech3a_technology_l_french.yml; prerequisites=improved_husbandry selective_breeding; unlocks=production_methods:pm_soil_enriching_farming|production_methods:pm_soil_enriching_farming_building_rice_farm"
