object,object_type,source_file,destination_file,old_era,new_era,old_prerequisites,new_prerequisites,visibility_before,visibility_after,operation,notes
distillation,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/10_tech3a_production.txt,era_5,era_1,manufacturies,NONE,visible,visible,MOVE_RETIME_AND_ROOT,Definition content preserved except the frozen era and prerequisite changes.
crystal_glass,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/10_tech3a_production.txt,era_6,era_1,lathe,NONE,visible,visible,MOVE_RETIME_AND_ROOT,Distinct from pressed_glass; no direct edge added.
colonization,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/30_tech3a_society.txt,era_4,era_4,international_relations,international_relations,visible,visible,MOVE_TO_CANONICAL_TECH3A_FILE,Modifier prerequisite and AI weight preserved exactly.
enclosure,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_4,era_4,NONE,NONE,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,External gameplay and script references retained for TECH5.
intensive_agriculture,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_5,era_5,enclosure,enclosure,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,Internal alias prerequisite retained; external responsibilities deferred to TECH5.
manufacturies,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_4,era_4,NONE,NONE,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,External gameplay and script references retained for TECH5.
lathe,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_5,era_5,cotton_gin,cotton_gin,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,External gameplay and script references retained for TECH5.
corporate_charters,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_4,era_4,stock_exchange,stock_exchange,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,Original modifiers and external references retained for TECH5.
pharmaceuticals,technology_definition,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_6,era_6,medical_degrees;organized_immunization_campaigns,medical_degrees;organized_immunization_campaigns,visible,hidden_compatibility_alias,SET_CAN_RESEARCH_NO,Original modifiers and external references retained for TECH5.
improved_fertilizer,technology_prerequisite,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_8,era_8,intensive_agriculture,industrial_acids,visible,visible,REWIRE_ACTIVE_PREREQUISITE,No other field changed.
quinine,technology_prerequisite,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_7,era_7,pharmaceuticals,active_principle_pharmacy,visible,visible,REWIRE_ACTIVE_PREREQUISITE,No other field changed.
antibiotics,technology_prerequisite,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,era_12,era_12,pharmaceuticals;experimental_research_laboratories,active_principle_pharmacy;experimental_research_laboratories,visible,visible,REWIRE_ACTIVE_PREREQUISITE,The experimental_research_laboratories prerequisite remains unchanged.
line_target_alias_filter,gui_filter,gui/tech_tree.gui,gui/tech_tree.gui,N/A,N/A,N/A,N/A,38_hidden_aliases,44_hidden_aliases,EXTEND_ALIAS_FILTER,Added the six TECH4C4 IDs exactly once.
technology_card_alias_filter,gui_filter,gui/tech_tree.gui,gui/tech_tree.gui,N/A,N/A,N/A,N/A,38_hidden_aliases,44_hidden_aliases,EXTEND_ALIAS_FILTER,Added the six TECH4C4 IDs exactly once.
distillation,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,N/A,I,N/A,EMPTY,not_indexed,indexed,ADD_INDEX_ROW,Added frozen TECH4C4 survivor metadata.
crystal_glass,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,N/A,I,N/A,EMPTY,not_indexed,indexed,ADD_INDEX_ROW,Added frozen TECH4C4 survivor metadata.
colonization,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,N/A,IV,N/A,international_relations,not_indexed,indexed,ADD_INDEX_ROW,Added frozen TECH4C4 survivor metadata.
precision_boring,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,IV,IV,coke_smelting;standardized_field_artillery,coke_smelting;atmospheric_engine,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
permanent_military_hospitals,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,III,III,medical_degrees,scientific_fortification_siegecraft,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count remains 0.
armament_standardization_inspection,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,IV,IV,regulated_small_arms;standardized_field_artillery;precision_boring,regulated_small_arms;standardized_field_artillery,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
logistics,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,systematic_administrative_statistics,corps_organization,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count remains 0.
military_veterinary_services,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,veterinary_science,horse_artillery,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
rifling,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,light_infantry_tactics;armament_standardization_inspection;mechanical_tools,light_infantry_tactics;armament_standardization_inspection,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
state_dockyard_systems,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,I,I,institutionalized_public_credit,EMPTY,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count remains 0.
paddle_steamer,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,scientific_naval_architecture;rotative_steam_power,scientific_naval_architecture,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
mechanized_naval_dockyards,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,scientific_naval_architecture;state_dockyard_systems;mechanical_tools;rotative_steam_power,scientific_naval_architecture;state_dockyard_systems;enclosed_dock_systems,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 2 to 0.
iron_hull_construction,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,VI,VI,scientific_naval_architecture;mechanized_naval_dockyards;puddling_and_rolling;mechanical_tools,scientific_naval_architecture;mechanized_naval_dockyards;diagonal_ship_framing,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 2 to 0.
modern_lighthouse_optics,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,VI,VI,hydrographic_surveying;pressed_glass,hydrographic_surveying,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
systematic_cadastral_surveying,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,IV,IV,systematic_administrative_statistics;turnpike_road_networks,systematic_administrative_statistics,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count remains 0.
active_principle_pharmacy,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,experimental_research_laboratories;industrial_acids,experimental_research_laboratories;medical_degrees,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 1 to 0.
mechanized_printing,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,V,V,periodical_print_networks;mechanical_tools;rotative_steam_power;continuous_papermaking,periodical_print_networks,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count 3 to 0.
fractional_distillation,index_row,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,docs/reports/technology/TECH3A_IMPLEMENTED_TECH_INDEX.csv,VI,VI,mechanical_tools;industrial_acids,mechanical_tools;industrial_acids;distillation,indexed,indexed,SYNC_PREREQUISITES_AND_CROSS_COUNT,hard_cross_branch_count remains 0.
crystal_glass,technology_definition,common/technology/technologies/10_tech3a_production.txt,common/technology/technologies/10_tech3a_production.txt,era_1,era_4,NONE,industrial_ceramics,visible,visible,RUNTIME_RETIME_AND_REWIRE,Runtime test exposed an isolated Era I root; moved to Era IV behind industrial_ceramics.
chemical_bleaching,technology_prerequisite,common/technology/technologies/10_tech3a_production.txt,common/technology/technologies/10_tech3a_production.txt,era_4,era_4,industrial_acids,industrial_acids;industrial_ceramics,visible,visible,ADD_SAME_TREE_PREREQUISITE,Added industrial_ceramics to prevent skipping the intended production-method progression.
