path,status,tracked,category,decision,destination,references,content_unique,release_relevance,future_relevance,reason
"docs/reports/cleanup/CLEANUP1D_MARATH_NAVAL_CREW_DIAGNOSTIC_AND_FIX.md","??","false","cleanup_report","REVIEW_REQUIRED","docs/reports/cleanup/ after factual correction and unique phase name","8","true","medium","high","Unique diagnosis but duplicate CLEANUP-1D identity and a BOM fix claim not present in HEAD"
"docs/reports/cleanup/CLEANUP2B3_COMPLETE_EUROPEAN_HISTORICAL_RECONSTRUCTION.md","M","true","cleanup_closure","KEEP_AND_COMMIT","docs/reports/cleanup/CLEANUP2B3_COMPLETE_EUROPEAN_HISTORICAL_RECONSTRUCTION.md","7","true","high","high","Diff is a coherent final user-runtime closure; secondary verdict KEEP_MODIFICATION_AND_COMMIT"
"docs/reports/hotfix/_index/army.md","??","false","hotfix_index_leftover","DISCARD_AS_REDUNDANT","docs/reports/hotfix/runtime/military/army.md","4","false","low","low","Transient human note is fully superseded by the canonical detailed military audit"
"docs/reports/hotfix/_index/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","??","false","hotfix_index_leftover","DISCARD_AS_REDUNDANT","docs/reports/hotfix/global_script/6A01_6A09/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","4","false","low","low","All 23 records and 20 fields are identical to the canonical CSV; only formatting differs"
"docs/research/technology/TECH_TREE_BUILDING_AND_PRODUCTION_CANDIDATES.csv","??","false","BUILDING_PRODUCTION_CANDIDATES","KEEP_AND_COMMIT","docs/research/technology/TECH_TREE_BUILDING_AND_PRODUCTION_CANDIDATES.csv","27","true","medium","high","Structured design matrix with unique IDs and explicit justifications"
"docs/research/technology/TECH_TREE_INDUSTRIAL_CHAINS.md","??","false","INDUSTRIAL_CHAIN_MODEL","REVIEW_REQUIRED","docs/research/technology/TECH_TREE_INDUSTRIAL_CHAINS.md after exact decontamination","27","true","medium","high","Contains an embedded HOTFIX-5C2E4B2 brief; exact clean hash 981A0C119D02C5A5F795C41800B678DDBEC9AD91890CDE4588DF36A98D011799 is recoverable"
"docs/research/technology/TECH_TREE_INDUSTRIAL_HISTORY_DEEP_RESEARCH.md","??","false","HISTORICAL_RESEARCH","REVIEW_REQUIRED","docs/research/technology/TECH_TREE_INDUSTRIAL_HISTORY_DEEP_RESEARCH.md after citation review","27","true","medium","high","Rich unique synthesis but its Sxx citations depend on unreliable bibliography mappings"
"docs/research/technology/TECH_TREE_INDUSTRIAL_INNOVATIONS_DATABASE.csv","??","false","INNOVATION_DATABASE","REVIEW_REQUIRED","docs/research/technology/TECH_TREE_INDUSTRIAL_INNOVATIONS_DATABASE.csv after data review","27","true","medium","high","Complete 130-row schema but dates origins scores and source IDs show mechanical block patterns"
"docs/research/technology/TECH_TREE_RESEARCH_BIBLIOGRAPHY.md","??","false","BIBLIOGRAPHY","REVIEW_REQUIRED","docs/research/technology/TECH_TREE_RESEARCH_BIBLIOGRAPHY.md after source rebuild","27","true","medium","high","Repeated sources are paired with many unrelated subjects and cannot support the Sxx claims as written"
"docs/research/technology/TECH_TREE_RESOURCE_CANDIDATES.csv","??","false","RESOURCE_CANDIDATES","KEEP_AND_COMMIT","docs/research/technology/TECH_TREE_RESOURCE_CANDIDATES.csv","27","true","medium","high","Coherent 30-row design comparison with unique IDs scores tiers and representations"
"docs/research/technology/TECH_TREE_VICTORIA3_GAP_ANALYSIS.md","??","false","VANILLA_GAP_ANALYSIS","KEEP_AND_COMMIT","docs/research/technology/TECH_TREE_VICTORIA3_GAP_ANALYSIS.md","27","true","medium","high","Useful dated vanilla/fork snapshot for the future technology overhaul"
