record_type,identifier,state_region,owner_tag,owner_name,controller_tag,transfer_class,receiver_capital,primary_culture,heritage,south_asian_filter_valid,diplomatic_status,expected,result,evidence,notes
state,STATE_EAST_BENGAL,STATE_EAST_BENGAL,COO,Cooch Behar,COO,VALID_RANDOM_RECEIVER,Cooch Behar,bengali,heritage_gangetic,yes,independent own market,valid generic receiver,VALID_RANDOM_RECEIVER,"Direct state panel: Purbo Bongo, State of Cooch Behar","Localized state name differs from legacy East Bengal"
state,STATE_BIHAR,STATE_BIHAR,NAG,Nagpur,NAG,VALID_RANDOM_RECEIVER,STATE_CENTRAL_PROVINCES,marathi,heritage_deccani,yes,independent receiver,valid generic receiver,VALID_RANDOM_RECEIVER,"Direct state panel: Bihar, State of Nagpur","No null owner or occupation visible"
state,STATE_WEST_BENGAL,STATE_WEST_BENGAL,COO,Cooch Behar,COO,PRIORITY_TRANSFER,Cooch Behar,bengali,heritage_gangetic,yes,independent own market,COO,PASS,"Direct state panel: Poshchim Bongo, State of Cooch Behar","C1E result reconfirmed"
state,STATE_AWADH,STATE_AWADH,"AWA;MUG","Awadh;Hindoustan","AWA;MUG",PRIORITY_TRANSFER,"Awadh;Delhi","avadhi;hindustani",heritage_gangetic,yes,"independent split owners","BIC portion to MUG",PASS,"Split-state tooltip: Awadh and Awadh moghol (Hindoustan)","Native AWA portion retained; former BIC portion transferred to MUG"
state,STATE_BUNDELKHAND,STATE_BUNDELKHAND,MARATH,Confédération marathe,MARATH,VALID_RANDOM_RECEIVER,STATE_BOMBAY,marathi,heritage_deccani,yes,independent receiver,valid generic receiver,VALID_RANDOM_RECEIVER,"Direct state panel: Bundelkhand, State of Maratha Confederacy","Neighbor and filter validity established by C1D"
state,STATE_CIRCARS,STATE_CIRCARS,"HYD;JEY","Hyderabad;Jeypore","HYD;JEY",PRIORITY_TRANSFER,"Hyderabad;Jeypore","deccani;oriya","heritage_deccani;heritage_gangetic",yes,"independent split owners","BIC portion to HYD",PASS,"Split-state tooltip: Andhra (Hyderabad) and Jeypore","Former BIC portion is Andhra"
state,STATE_PEGU,STATE_PEGU,"BUR;GBR;DENNOR","Birmanie;Grande-Bretagne;Danemark-Norvège","BUR;GBR;DENNOR",GBR_REMAINDER,"Mandalay;Home Counties;Denmark-Norway","burmese;british;danish",not_applicable,not_applicable,"independent split owners","BIC remainder to GBR",PASS,"Split-state tooltip: Pégou, Pégou britannique and Pégou dano-norvégienne","Former BIC portion is Pégou britannique"
country,BIC,not_applicable,none,Compagnie des Indes orientales,none,GBR_REMAINDER,none,none,none,not_applicable,annexed no territorial country,no remaining territory,PASS,"No targeted state lists BIC; played country is GBR","Economic company entry is not a territorial country"
country,GBR,not_applicable,GBR,Grande-Bretagne,GBR,GBR_REMAINDER,STATE_HOME_COUNTIES,british,not_applicable,not_applicable,played independent country,played country after option 2.a,PASS,"Top bar and map show GBR; British Pegu directly observed","Interface remained functional"
country,COO,STATE_WEST_BENGAL,COO,Cooch Behar,COO,MAKE_INDEPENDENT,Cooch Behar,bengali,heritage_gangetic,yes,independent own market,no BIC overlord and no replacement overlord,PASS,"Country/state panels show capital Cooch Behar and Marché cooch behari","Principal state owner COO"
country,JEY,STATE_CIRCARS,JEY,Jeypore,JEY,MAKE_INDEPENDENT,Jeypore,oriya,heritage_gangetic,yes,independent own market,no BIC overlord and no replacement overlord,PASS,"Country/state panels show capital Jeypore and Marché jeypore","Principal region-state owner JEY"
integrity,HOTFIX_5C2E4C1E_A1_POST_OPTION_1776_01_01.v3,not_applicable,not_applicable,not_applicable,not_applicable,NOT_APPLICABLE,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"8021077 bytes and reference SHA-256",PASS,"SHA-256 3A212C66985F5E12C22F2680E275F20A9144600260F1F4119F4980B980FA67C8","Exact post-option save loaded"
integrity,NO_OWNERLESS_TARGET_STATE,"seven target state regions",not_applicable,not_applicable,not_applicable,NOT_APPLICABLE,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,no ownerless or invalid state,PASS,"All seven state panels or split-state tooltips list textual owners","Controllers follow owners; no war or occupation visible"
integrity,SAVE_UNCHANGED,not_applicable,not_applicable,not_applicable,not_applicable,NOT_APPLICABLE,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,size timestamp and hash unchanged,PASS,"8021077 bytes; 2026-07-15T20:58:31.9880636Z; identical SHA-256","Game closed without saving"
