system,vanilla_1_13_9,la_gabelle,tech_and_res,kuromis_ai,1776_target,decision
New goods,Fixed vanilla catalog,One salt good,39 added goods across resources/digital/research/consumer chains,No new goods,Small historically scoped catalog with integrity tests,REIMPLEMENT_LOCALLY
New resources,Vanilla mines/plantations,None beyond salt extraction buildings,Water copper ores bauxite gas rare earths uranium,None,Geological families with documented discovery and sinks,ADOPT_CONCEPT
Resource potentials,History and discovery systems,Static change_resource_potential in 159 states,Global init plus idempotent technology on-action effects,Engine use only,Idempotent tech-driven local discovery plus audited map,ADAPT
POP consumption,Vanilla substitution needs,Salt in basic and luxury food with mandatory luxury minimum,Several new POP goods and some minimum shares,Strategy reacts indirectly,Direct consumption capped and never sole famine driver,REJECT
Industrial demand,Vanilla PM inputs,Six food and four chemical salt inputs,Dense 1447 new-good relation endpoints,Scoring/stances only,Every good has at least one producer and sink,ADAPT
Military demand,Vanilla military goods,Two optional mobilization supply inputs,Space assets and modern military chains,PM military-good score and naval/army logic,Strategic goods tied to doctrine and formations,ADAPT
Trade,Engine routes and strategies,Tradable salt plus initial tariff settings,New-good stances; ambiguous zero traded quantities,High-supply export guard and strategy stances,Explicit tradability and shortage-import objectives,REIMPLEMENT_LOCALLY
Companies,Vanilla types and charters,Six salt companies,Many technology companies,Not modified,Optional scoped companies after core chains work,ADOPT_CONCEPT
Laws,Vanilla,No salt law; taxation via goods/JE,Extended modern laws,Contextual law weights,Only laws justified by 1776 scope,REJECT
AI construction,Profitability/strategy engine,No custom building logic,Goods stances ai_value and special scripts,Define changes plus three building injections,Generic new-building registry and bootstrap policy,REIMPLEMENT_LOCALLY
AI PM selection,Engine scoring,Vanilla only,Many new PMs with limited explicit weights,Allows temporary shortages and easier reversal,Safe demand-creation experiments plus rollback,ADOPT_CONCEPT
AI research,Vanilla technology weights,None for salt; vanilla gates,258 of 260 added techs weighted,Five vanilla priority injections,Contextual resource/economy/naval/military weights for every new tech,REIMPLEMENT_LOCALLY
AI trade,Vanilla goods stances,No salt-specific strategy,New goods in strategies,Export guard based on current cheapness,Strategic import response with stock/price thresholds,ADAPT
AI companies,Vanilla,Company ai_will_do triggers,Tech companies,Not modified,Defer until company design; no core-chain dependency,REIMPLEMENT_LOCALLY
Bootstrap,Current prices and latent demand,Starting buildings plus direct POP demand,POP demand downstream PMs deposits high ai_value JEs forced AI construction,PM experiment and goods stances,Per-chain first-cause registry and recovery test,ADAPT
Research goods,None,No,Raw organized and business data feed research/digital PMs,No,Small industrial-knowledge loop with clear tradability and sinks,ADOPT_CONCEPT
Research center,Universities,No,Decision/JE site then AI fallback create and high ai_value,No,Applied research center only after loop and AI acceptance tests,ADAPT
Regional technologies,Mostly content-specific,None,Extended eras but limited regional weighting,No general system,Explicit geography and transfer rules,REIMPLEMENT_LOCALLY
Technology transfer,Tech spread,No special system,Research center and diplomatic/modern systems,Knowledge sharing action edited,Transparent spread/transfer separate from domestic research,ADAPT
Map distribution,Vanilla resource maps,Large static salt map,Explicit scripted state lists,No map content,Versioned evidence-backed maps with coverage totals,ADOPT_CONCEPT
Naval systems,Great Wave vanilla baseline,Only salt military upkeep,Modern naval/military additions,Army/navy sizing and ship choices,TECH-1B-compatible research/build/PM/supply logic,REIMPLEMENT_LOCALLY
Copyright/reuse,First-party baseline,Third-party reference,Third-party reference,Third-party reference,No external code/assets/localization copied,REIMPLEMENT_LOCALLY
