tech_id,branch,era,source_status,vanilla_id_preserved,definition_file,localization_key,description_key,icon,ai_weight_status,prerequisites,hard_cross_branch_count,resource_promotion_flag,implementation_status,notes
shaft_mining,Production,I,KEEP,YES,common/technology/technologies/10_tech3a_production.txt,shaft_mining,shaft_mining_desc,gfx/interface/icons/invention_icons/shaft_mining.dds,PRESENT_GENERAL_CONTEXT,,0,REQUIRED_PRE_1836,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
coke_smelting,Production,I,SPLIT,NO,common/technology/technologies/10_tech3a_production.txt,coke_smelting,coke_smelting_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
atmospheric_engine,Production,I,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,atmospheric_engine,atmospheric_engine_desc,gfx/interface/icons/invention_icons/atmospheric_engine.dds,PRESENT_GENERAL_CONTEXT,,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
improved_husbandry,Production,I,REWIRE,NO,common/technology/technologies/10_tech3a_production.txt,improved_husbandry,improved_husbandry_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,REQUIRED_PRE_1836,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
improved_agricultural_implements,Production,II,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,improved_agricultural_implements,improved_agricultural_implements_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,improved_husbandry,0,REQUIRED_PRE_1836,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
turnpike_road_networks,Production,II,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,turnpike_road_networks,turnpike_road_networks_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
industrial_acids,Production,II,KEEP,NO,common/technology/technologies/10_tech3a_production.txt,industrial_acids,industrial_acids_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
advanced_crop_rotations,Production,III,SPLIT,NO,common/technology/technologies/10_tech3a_production.txt,advanced_crop_rotations,advanced_crop_rotations_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,improved_husbandry,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
selective_breeding,Production,III,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,selective_breeding,selective_breeding_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,improved_husbandry,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
industrial_canals,Production,III,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,industrial_canals,industrial_canals_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,turnpike_road_networks,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
mechanized_spinning,Production,III,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,mechanized_spinning,mechanized_spinning_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
applied_mineralogy,Production,III,SPLIT,NO,common/technology/technologies/10_tech3a_production.txt,applied_mineralogy,applied_mineralogy_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,shaft_mining,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
industrial_ceramics,Production,III,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,industrial_ceramics,industrial_ceramics_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
precision_boring,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,precision_boring,precision_boring_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,coke_smelting;standardized_field_artillery,1,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
condensing_steam_engines,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,condensing_steam_engines,condensing_steam_engines_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,atmospheric_engine;precision_boring,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
rotative_steam_power,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,rotative_steam_power,rotative_steam_power_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,condensing_steam_engines,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
advanced_spinning,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,advanced_spinning,advanced_spinning_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,mechanized_spinning,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
puddling_and_rolling,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,puddling_and_rolling,puddling_and_rolling_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,coke_smelting,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
deep_mine_engineering,Production,IV,KEEP,NO,common/technology/technologies/10_tech3a_production.txt,deep_mine_engineering,deep_mine_engineering_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,shaft_mining;atmospheric_engine,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
threshing_machine,Production,IV,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,threshing_machine,threshing_machine_desc,gfx/interface/icons/invention_icons/threshing_machine.dds,PRESENT_GENERAL_CONTEXT,improved_agricultural_implements,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
chemical_bleaching,Production,IV,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,chemical_bleaching,chemical_bleaching_desc,gfx/interface/icons/invention_icons/chemical_bleaching.dds,PRESENT_GENERAL_CONTEXT,industrial_acids,0,REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
cotton_gin,Production,IV,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,cotton_gin,cotton_gin_desc,gfx/interface/icons/invention_icons/cotton_gin.dds,PRESENT_GENERAL_CONTEXT,mechanized_spinning,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
automated_flour_milling,Production,IV,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,automated_flour_milling,automated_flour_milling_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,improved_agricultural_implements,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
mechanical_tools,Production,V,MERGE,YES,common/technology/technologies/10_tech3a_production.txt,mechanical_tools,mechanical_tools_desc,gfx/interface/icons/invention_icons/mechanical_tools.dds,PRESENT_GENERAL_CONTEXT,precision_boring,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
high_pressure_steam,Production,V,KEEP,NO,common/technology/technologies/10_tech3a_production.txt,high_pressure_steam,high_pressure_steam_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,atmospheric_engine;mechanical_tools,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
mechanized_weaving,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,mechanized_weaving,mechanized_weaving_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,advanced_spinning;rotative_steam_power,0,KEEP_DEFERRED,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
industrial_alkalis,Production,V,KEEP,NO,common/technology/technologies/10_tech3a_production.txt,industrial_alkalis,industrial_alkalis_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,industrial_acids,0,REQUIRED_PRE_1836;REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
canneries,Production,V,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,canneries,canneries_desc,gfx/interface/icons/invention_icons/canneries.dds,PRESENT_GENERAL_CONTEXT,automated_flour_milling,0,REQUIRED_PRE_1836,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
improved_road_engineering,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,improved_road_engineering,improved_road_engineering_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,turnpike_road_networks,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
systematic_field_drainage,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,systematic_field_drainage,systematic_field_drainage_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,advanced_crop_rotations;improved_road_engineering,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
mine_safety_engineering,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,mine_safety_engineering,mine_safety_engineering_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,deep_mine_engineering,0,REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
continuous_papermaking,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,continuous_papermaking,continuous_papermaking_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,precision_boring,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
coal_gasification,Production,V,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,coal_gasification,coal_gasification_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,industrial_acids;coke_smelting,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
professional_civil_engineering,Production,V,REWIRE,NO,common/technology/technologies/10_tech3a_production.txt,professional_civil_engineering,professional_civil_engineering_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,industrial_canals;improved_road_engineering,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
interchangeable_manufacture,Production,VI,SPLIT,NO,common/technology/technologies/10_tech3a_production.txt,interchangeable_manufacture,interchangeable_manufacture_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,mechanical_tools,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
railways,Production,VI,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,railways,railways_desc,gfx/interface/icons/invention_icons/railways.dds,PRESENT_GENERAL_CONTEXT,high_pressure_steam;puddling_and_rolling;professional_civil_engineering,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
geological_surveying,Production,VI,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,geological_surveying,geological_surveying_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,applied_mineralogy;professional_civil_engineering,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
hot_blast_smelting,Production,VI,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,hot_blast_smelting,hot_blast_smelting_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,puddling_and_rolling;rotative_steam_power,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
hydraulic_cements,Production,VI,KEEP,NO,common/technology/technologies/10_tech3a_production.txt,hydraulic_cements,hydraulic_cements_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,professional_civil_engineering;industrial_ceramics,0,KEEP_DEFERRED,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
hydraulic_turbines,Production,VI,NEW,N/A,common/technology/technologies/10_tech3a_production.txt,hydraulic_turbines,hydraulic_turbines_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,professional_civil_engineering;mechanical_tools,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
pressed_glass,Production,VI,RETIME,NO,common/technology/technologies/10_tech3a_production.txt,pressed_glass,pressed_glass_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,industrial_ceramics;industrial_alkalis;mechanical_tools,0,REQUIRED_PRE_1836_PROMOTED_TECH3A,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
fractional_distillation,Production,VI,RETIME,YES,common/technology/technologies/10_tech3a_production.txt,fractional_distillation,fractional_distillation_desc,gfx/interface/icons/invention_icons/fractional_distillation.dds,PRESENT_GENERAL_CONTEXT,mechanical_tools;industrial_acids,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
scientific_fortification_siegecraft,Military,I,NEW,N/A,common/technology/technologies/20_tech3a_military.txt,scientific_fortification_siegecraft,scientific_fortification_siegecraft_desc,gfx/error_manul.dds,PRESENT_SAFE_BASE,,0,NO,IMPLEMENTED_SKELETON,TECH3A skeleton; final unlock transfer deferred.
state_dockyard_systems,Naval,I,SPLIT,NO,common/technology/technologies/25_tech3a_naval.txt,state_dockyard_systems,state_dockyard_systems_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,institutionalized_public_credit,0,NO,IMPLEMENTED_SKELETON,Engine category military; Naval branch retained in metadata and separate definition file.
enclosed_dock_systems,Naval,I,NEW,N/A,common/technology/technologies/25_tech3a_naval.txt,enclosed_dock_systems,enclosed_dock_systems_desc,gfx/error_manul.dds,PRESENT_GENERAL_CONTEXT,,0,NO,IMPLEMENTED_SKELETON,Engine category military; Naval branch retained in metadata and separate definition file.
