technology_id,era_before,era_after,prerequisites_before,prerequisites_after,protected_baseline_changed,historical_justification,graph_justification,expected_visual_effect,gameplay_risk
"analytical_philosophy","era_12","era_11","psychoanalysis","psychoanalysis","NO","Analytical philosophy is an early twentieth-century continuation of psychoanalysis-era intellectual methods.","Moves one terminal successor into the empty penultimate band.","Populates Society era 11 and shortens its incoming line.","LOW: research timing only; effects and unlocks unchanged."
"behaviorism","era_12","era_11","psychoanalysis","psychoanalysis","NO","Behaviorism emerged as an early twentieth-century successor to nineteenth-century psychology.","Moves one terminal successor into the empty penultimate band.","Populates Society era 11 and shortens its incoming line.","LOW: research timing only; effects and unlocks unchanged."
"colonization","era_7","era_4","international_relations","international_relations","NO","Colonial administration and overseas expansion were already mature state practices around 1776.","Reduces the six-era international_relations edge to three eras while retaining the historical parent.","Removes the extreme isolated Colonization drop visible in the recent capture.","LOW: compatibility-node timing only; effects and unlocks unchanged."
"corporate_charters","era_7","era_4","stock_exchange","stock_exchange","NO","Chartered corporations predate 1776 and logically bridge early exchanges to later joint-stock organization.","Reduces the stock_exchange edge from six eras to three and centers the node between its predecessor and dependent.","Shortens the remote finance branch.","LOW: compatibility-node timing only; effects and unlocks unchanged."
"distillation","era_7","era_5","manufacturies","manufacturies","NO","Industrial pot-still practice belongs before the 1808-1833 fractional-distillation horizon and is granted by vanilla starting-invention effects.","Places the middle technology one era before fractional_distillation.","Creates a compact manufacturies to distillation to fractional_distillation progression.","LOW: research timing only; existing effects and unlocks unchanged."
"enclosure","era_6","era_4","","","NO","Enclosure was an established eighteenth-century agricultural transformation and is granted as starting knowledge to multiple country tiers.","Moves the late root beside the early agricultural band.","Reduces the isolated late-root column and keeps its successor adjacent.","LOW: research timing only; effects and unlocks unchanged."
"field_works","era_7","era_8","napoleonic_warfare","napoleonic_warfare","NO","Formal field fortifications develop between Napoleonic practice and later trench systems.","Positions field_works immediately before the retimed trench_works node.","Makes the land-fortification branch progress through adjacent late bands.","LOW: research timing only; effects and unlocks unchanged."
"fractional_distillation","era_6","era_6","mechanical_tools;industrial_acids","mechanical_tools;industrial_acids;distillation","YES","Fractional distillation is semantically and historically a refinement of distillation; vanilla 1.13.9 uses distillation as its prerequisite.","Adds the missing direct family edge while retaining both protected mechanical and chemical prerequisites.","Displays the required distillation to fractional_distillation line without an era inversion.","LOW-MODERATE: one protected prerequisite list is extended; no effect or unlock changes."
"enlistment_offices","era_8","era_8","logistics","logistics;mandatory_service;army_reserves","NO","Enlistment offices operationalize mandatory service and reserve administration as well as logistics.","Replaces the single artificial standing_army-to-triage bridge with two adjacent recruitment-family connections.","Integrates the standing-army lobe through multiple logical paths.","LOW: two logical prerequisites added; effects and unlocks unchanged."
"intensive_agriculture","era_7","era_5","enclosure","enclosure","NO","Intensive agriculture follows eighteenth-century enclosure before later industrial farming systems.","Keeps the enclosure family in adjacent eras after retiming its root.","Compacts the agricultural side branch.","LOW: research timing only; effects and unlocks unchanged."
