index,scope,object_id,object_type,file,change_class,before,current_at_6021df7,design_status,notes
1,TECHNOLOGY,atmospheric_engine,technology,common/technology/technologies/10_tech3a_production.txt,ERA_AND_PREREQUISITE_CHANGE,Era I; no prereq,Era II; shaft_mining + coke_smelting,ACCEPTED_CURRENT_STATE,
2,TECHNOLOGY,organized_forestry,technology,common/technology/technologies/10_tech3a_production.txt,NEW_TECH,absent,Era I root; localized EN/FR; placeholder gfx/error_manul.dds,ACCEPTED_CURRENT_STATE,
3,TECHNOLOGY,traditional_papermaking,technology,common/technology/technologies/10_tech3a_production.txt,NEW_TECH,absent,Era I root; localized EN/FR; placeholder gfx/error_manul.dds,ACCEPTED_CURRENT_STATE,
4,TECHNOLOGY,traditional_glassmaking,technology,common/technology/technologies/10_tech3a_production.txt,NEW_TECH,absent,Era II; prereq organized_forestry; localized EN/FR; placeholder gfx/error_manul.dds,ACCEPTED_CURRENT_STATE,
5,TECHNOLOGY,industrial_ceramics,technology,common/technology/technologies/10_tech3a_production.txt,PREREQUISITE_CHANGE,no prerequisite,traditional_glassmaking,ACCEPTED_CURRENT_STATE,
6,TECHNOLOGY,mechanical_tools,technology,common/technology/technologies/10_tech3a_production.txt,PREREQUISITE_CHANGE,precision_boring,precision_boring + organized_forestry,ACCEPTED_CURRENT_STATE,Broad forestry dependency remains current at checkpoint; optional semantic review later.
7,TECHNOLOGY,high_pressure_steam,technology,common/technology/technologies/10_tech3a_production.txt,PREREQUISITE_CHANGE,atmospheric_engine + mechanical_tools,atmospheric_engine + mechanical_tools + rotative_steam_power,ACCEPTED_CURRENT_STATE,
8,TECHNOLOGY,continuous_papermaking,technology,common/technology/technologies/10_tech3a_production.txt,PREREQUISITE_CHANGE,precision_boring,precision_boring + traditional_papermaking,ACCEPTED_CURRENT_STATE,
9,TECHNOLOGY,standardized_field_artillery,technology,common/technology/technologies/20_tech3a_military.txt,PREREQUISITE_CHANGE,no prerequisite,regulated_small_arms,ACCEPTED_CURRENT_STATE,
10,TECHNOLOGY,commercial_insurance_markets,technology,common/technology/technologies/30_tech3a_society.txt,PREREQUISITE_CHANGE,institutionalized_public_credit,institutionalized_public_credit + international_relations,ACCEPTED_CURRENT_STATE,
11,TECHNOLOGY,organized_elementary_schooling,technology,common/technology/technologies/30_tech3a_society.txt,PREREQUISITE_CHANGE,no prerequisite,periodical_print_networks,ACCEPTED_CURRENT_STATE,
12,TECHNOLOGY,experimental_research_laboratories,technology,common/technology/technologies/30_tech3a_society.txt,PREREQUISITE_CHANGE,polytechnical_education + institutionalized_scientific_exchange,polytechnical_education + institutionalized_scientific_exchange + scientific_metrology,ACCEPTED_CURRENT_STATE,
13,TECHNOLOGY,antibiotics,technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,PREREQUISITE_CHANGE,active_principle_pharmacy + experimental_research_laboratories,active_principle_pharmacy + experimental_research_laboratories + organized_immunization_campaigns,ACCEPTED_CURRENT_STATE,
