TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Synthesis_Action,Synthesis_Note,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2,Research_Source
ABB,Arab Emirates,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabie orientale / Émirats arabes,tier_6,KEEP_TIER,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,—,"production, era_1, classe A; déblocages: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry.",Agriculture et élevage organisés sont antérieurs à 1776 dans l’ensemble de ces sociétés; le nœud reste assez générique pour représenter ces capacités sans imposer une mécanisation.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABB,Arab Emirates,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabie orientale / Émirats arabes,tier_6,KEEP_TIER,,regulated_small_arms,ABSENT,REVIEW,MEDIUM,SECTORAL,LEAVE_ABSENT_CONSERVATIVE,REVIEW resolved conservatively: do not add a currently absent technology.,Pas de parent de fortification; ne pas l’ajouter automatiquement.,"military, era_2, classe A; déblocages: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry.","Les littoraux du Golfe sont largement armés au milieu du XVIIIe siècle, mais l’organisation étatique exacte du TAG reste incertaine.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABB,Arab Emirates,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Arabie orientale / Émirats arabes,tier_6,KEEP_TIER,,urbanization,TIER,KEEP,HIGH,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,Nœud/alias de compatibilité; ne pas l’interpréter comme une urbanisation industrielle du XIXe siècle.,"society, era_7, classe E; déblocages: bâtiment:building_construction_sector, bâtiment:building_urban_center.",Le nœud est explicitement signalé comme exception de compatibilité dans le CSV; le conserver évite de confondre architecture de l’arbre et capacité historique.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABS,Absaroka,Amériques et Caraïbes,Great Plains,tier_6,REVIEW_TIER,,improved_husbandry,TIER,REVIEW,MEDIUM,ABSTRACT,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,—,"bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bât…",Le nœud agricole du jeu couvre plusieurs pratiques de culture/élevage qui ne correspondent pas uniformément à l'économie locale; éviter de classer la société par un tier de 'civilisation'.,https://www.nps.gov/articles/comanches-and-horses.htm,https://www.tshaonline.org/handbook/entries/spanish-texas,TECH_START_1776_AMERICAS_CARIBBEAN_MATRIX.csv
ABS,Absaroka,Amériques et Caraïbes,Great Plains,tier_6,REVIEW_TIER,,urbanization,TIER,KEEP,HIGH,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,—,"bâtiment:building_construction_sector, bâtiment:building_urban_center",Nœud de compatibilité du mod ouvrant construction/centre urbain; conservé comme abstraction technique et non comme mesure d'urbanisation réelle.,https://www.nps.gov/articles/comanches-and-horses.htm,https://www.tshaonline.org/handbook/entries/spanish-texas,TECH_START_1776_AMERICAS_CARIBBEAN_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,Chaîne de prérequis incomplète: les traditions savantes/manuscrites peuvent justifier l’enfant sans imposer presse périodique et échange scientifique institutionnalisé; tolérance C.,"society, era_2, classe A; déblocages: —.","Les administrations, juristes, artisans et traditions manuscrites fournissent un socle de savoir pratique codifié, mais le nœud doit rester une abstraction préindustrielle.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,distillation,TIER,KEEP,HIGH,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,—,"production, era_1, classe A; déblocages: PM:pm_pot_stills, PM:pm_spiced_food_preparations.",La distillation et les préparations alimentaires associées sont des techniques anciennes et largement diffusées; aucune innovation postérieure à 1776 n’est requise.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,KEEP_PRESENT,Regional recommendation accepted.,—,"production, era_1, classe A; déblocages: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry.",Agriculture et élevage organisés sont antérieurs à 1776 dans l’ensemble de ces sociétés; le nœud reste assez générique pour représenter ces capacités sans imposer une mécanisation.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,KEEP,HIGH,ABSTRACT,KEEP_PRESENT,Regional recommendation accepted.,—,"society, era_1, classe A; déblocages: —.","Diplomatie, tribut, commerce caravanier ou maritime et relations avec voisins/Empires justifient ce nœud abstrait sans supposer un ministère moderne des Affaires étrangères.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
ABU,Trucial States,"Empire ottoman, Balkans, Moyen-Orient, Caucase et Asie centrale",Golfe Persique — États de la Trêve,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,light_infantry_tactics,TIER,REVIEW,MEDIUM,SECTORAL,KEEP_PRESENT_CONSERVATIVE,REVIEW resolved conservatively: preserve the currently present technology.,Le prérequis armes réglementaires est parfois REVIEW/sectoriel; accepter au besoin une abstraction locale plutôt que supposer une armée européenne standard.,"military, era_3, classe B; déblocages: —.","La guerre locale emploie fantassins armés, tirailleurs, milices ou forces irrégulières; l’équivalence exacte avec ce nœud frontière reste contextuelle.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9,TECH_START_1776_OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA_MATRIX.csv
