Owner_TAG,Country,State_ID,State_Name,Building_ID,Historical_Level,Runtime_Additional_Level,Runtime_Final_Target_Level,Wave,Reason
BRZ,Brazil,STATE_BAHIA,Bahia,building_government_administration,2,7,9,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
BRZ,Brazil,STATE_MINAS_GERAIS,Minas Gerais,building_government_administration,2,7,9,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
BRZ,Brazil,STATE_PARA,Pará,building_government_administration,1,4,5,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
BRZ,Brazil,STATE_RIO_DE_JANEIRO,Rio de Janeiro,building_government_administration,3,12,15,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_BEIJING,Beijing,building_government_administration,3,75,78,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_EASTERN_HUBEI,Eastern Hubei,building_government_administration,0,40,40,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_FUJIAN,Fujian,building_government_administration,0,35,35,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_HENAN,Henan,building_government_administration,0,55,55,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_HUNAN,Hunan,building_government_administration,0,40,40,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_JIANGSU,Jiangsu,building_government_administration,0,50,50,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_JIANGXI,Jiangxi,building_government_administration,0,45,45,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_NANJING,Nanjing,building_government_administration,2,70,72,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_SHANDONG,Shandong,building_government_administration,0,55,55,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_SHANXI,Shanxi,building_government_administration,0,40,40,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_SICHUAN,Sichuan,building_government_administration,0,40,40,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_SUZHOU,Suzhou,building_government_administration,0,50,50,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_WESTERN_HUBEI,Western Hubei,building_government_administration,0,36,36,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_XIAN,Xi’an,building_government_administration,0,35,35,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
CHI,China,STATE_ZHILI,Hebei,building_government_administration,0,55,55,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
DEI,East Indies,STATE_CEYLON,Ceylon,building_government_administration,5,2,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
DEI,East Indies,STATE_WEST_JAVA,West Java,building_government_administration,4,4,8,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GBR,Great Britain,STATE_HOME_COUNTIES,Home Counties,building_government_administration,10,37,47,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GBR,Great Britain,STATE_LANCASHIRE,Lancashire,building_government_administration,5,14,19,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GBR,Great Britain,STATE_MIDLANDS,Midlands,building_government_administration,5,9,14,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GBR,Great Britain,STATE_YORKSHIRE,Yorkshire,building_government_administration,3,7,10,WAVE1+WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GWA,Gwalior,STATE_MALWA,Malwa,building_government_administration,2,2,4,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
GWA,Gwalior,STATE_RAJPUTANA,Rajputana,building_government_administration,4,2,6,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
KOR,Korea,STATE_PYONGYANG,Yangseo,building_government_administration,1,11,12,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
KOR,Korea,STATE_SEOUL,Gyeonggi,building_government_administration,3,15,18,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
KOR,Korea,STATE_YANGHO,Yangho,building_government_administration,2,12,14,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
MARATH,Maratha Confederacy,STATE_AGRA,Agra,building_government_administration,8,7,15,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
MARATH,Maratha Confederacy,STATE_BOMBAY,Bombay,building_government_administration,8,8,16,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PER,Persia,STATE_FARS,Fars,building_government_administration,2,3,5,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PER,Persia,STATE_IRAKAJEMI,Irak-i-Ajami,building_government_administration,8,4,12,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PER,Persia,STATE_TABRIZ,Tabriz,building_government_administration,5,3,8,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_BREST,Hrodna,building_government_administration,1,5,6,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_GREATER_POLAND,Warszawa,building_government_administration,5,9,14,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_KIEV,Kyiv,building_government_administration,1,6,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_LESSER_POLAND,Lublin,building_government_administration,5,9,14,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_MINSK,Minsk,building_government_administration,2,6,8,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
PLC,Poland-Lithuania,STATE_VILNIUS,Vilnius,building_government_administration,1,6,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
POR,Portugal,STATE_ENTRE_DOURO_E_MINHO,Entre Douro and Minho,building_government_administration,1,8,9,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
POR,Portugal,STATE_ESTREMADURA,Estremadura,building_government_administration,3,18,21,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
RUS,Russia,STATE_INGRIA,Ingria,building_government_administration,10,5,15,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
RUS,Russia,STATE_KAZAN,Kazan,building_government_administration,1,2,3,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
RUS,Russia,STATE_MOSCOW,Moscow,building_government_administration,3,5,8,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC1,Nueva España,STATE_JALISCO,Jalisco,building_government_administration,2,18,20,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC1,Nueva España,STATE_MEXICO,México,building_government_administration,5,40,45,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC2,Nueva Granada,STATE_BOLIVAR,Bolívar,building_government_administration,2,5,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC2,Nueva Granada,STATE_CUNDINAMARCA,Cundinamarca,building_government_administration,2,8,10,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC2,Nueva Granada,STATE_ECUADOR,Ecuador,building_government_administration,1,4,5,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
SC2,Nueva Granada,STATE_MIRANDA,Miranda,building_government_administration,1,4,5,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
TUR,Turkey,STATE_ANKARA,Ankara,building_government_administration,3,20,23,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
TUR,Turkey,STATE_EASTERN_THRACE,Eastern Thrace,building_government_administration,10,20,30,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
TUR,Turkey,STATE_LOWER_EGYPT,Lower Egypt,building_government_administration,7,15,22,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
TUR,Turkey,STATE_SYRIA,Syria,building_government_administration,1,10,11,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_DISTRICT_OF_COLUMBIA,District of Columbia,building_government_administration,4,15,19,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_GEORGIA,Georgia,building_government_administration,1,5,6,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_MARYLAND,Maryland,building_government_administration,1,5,6,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_MASSACHUSETTS,Massachusetts,building_government_administration,1,4,5,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_NEW_YORK,New York,building_government_administration,1,8,9,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_NORTH_CAROLINA,North Carolina,building_government_administration,1,3,4,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_PENNSYLVANIA,Pennsylvania,building_government_administration,1,6,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_SOUTH_CAROLINA,South Carolina,building_government_administration,1,3,4,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
USA,America,STATE_VIRGINIA,Virginia,building_government_administration,1,6,7,WAVE2,Observed runtime bureaucracy calibration; distributed among established administrative centres.
