Child_Technology,Current_Parent,Issue_Type,Affected_TAG_Count,Historical_Findings,Gameplay_Findings,Final_Decision,Final_Parent,Alternative_Parent,Requires_New_Tech,Requires_Tech_Split,Implementation_Complexity,Confidence,Reason,Source_1,Source_2
advanced_crop_rotations,selective_breeding,ARTIFICIAL_PREREQUISITE,32,Rotations intensives et assolements perfectionnés existent hors du modèle britannique d'élevage sélectif.,L'enfant exige déjà improved_husbandry; selective_breeding est un second verrou sans nécessité productive.,REMOVE_EDGE,improved_husbandry (conservé comme seul parent),,NO,NO,LOW,HIGH,Supprimer uniquement selective_breeding; improved_husbandry garde une progression agricole cohérente.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
applied_mineralogy,shaft_mining,MISSING_PREREQUISITE,3,La minéralogie appliquée peut être institutionnelle ou artisanale sans réseau national de puits profonds.,"Le nœud représente un savoir d'identification et de traitement, pas l'infrastructure shaft_mining.",REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,La connaissance minéralogique n'exige pas techniquement des mines à puits; le nœud reste relié par ses descendants.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
atmospheric_engine,coke_smelting,ARTIFICIAL_PREREQUISITE,7,Les pompes atmosphériques servent d'abord l'exhaure minière; leur adoption n'implique pas une sidérurgie locale au coke.,shaft_mining est déjà parent; coke_smelting ajoute un verrou industriel étranger à la fonction de la machine.,REPLACE_EDGE,shaft_mining,,NO,NO,LOW,HIGH,Conserver shaft_mining seul et retirer coke_smelting.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
codified_practical_knowledge,institutionalized_scientific_exchange,OVERBROAD_PREREQUISITE,66,"Manuels, archives, traditions écrites, écoles et transmission d'atelier existent sans académie savante de type européen.",Le concept est mondial et générique; ce parent impose une institution plus étroite que l'enfant.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Aucun parent est préférable à une fausse universalisation institutionnelle.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
codified_practical_knowledge,periodical_print_networks,OVERBROAD_PREREQUISITE,77,La codification circule par manuscrits et enseignement bien avant ou sans presse périodique.,Le moteur traite la liste comme cumulative; garder ce parent exclut artificiellement de nombreux systèmes savants.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Retirer le verrou de presse; le nœud conserve ses descendants et n'est pas un cul-de-sac.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
commercial_insurance_markets,institutionalized_public_credit,MISSING_PREREQUISITE,9,Assurance maritime privée et dette publique sont des institutions distinctes.,Aucun unlock direct ne justifie de fusionner leurs responsabilités.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,L'assurance commerciale ne dépend pas d'un crédit public institutionnalisé.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
commercial_insurance_markets,international_relations,MISSING_PREREQUISITE,1,La mutualisation marchande du risque peut exister dans des réseaux privés sans doctrine diplomatique étatique équivalente.,international_relations est une capacité d'État trop large pour servir de prérequis technique à l'assurance.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,MEDIUM,"Le commerce extérieur est un contexte, pas un prérequis technologique obligatoire.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
industrial_canals,turnpike_road_networks,ARTIFICIAL_PREREQUISITE,8,"Les réseaux de canaux chinois, japonais et continentaux ne dérivent pas des turnpikes britanniques.",Le PM canal est autonome dans le bâtiment de transport unifié.,REMOVE_EDGE,aucun parent,professional_civil_engineering reste un descendant tardif,NO,NO,LOW,HIGH,Retirer l'arête et redéfinir le libellé comme voies d'eau commerciales organisées.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
industrial_ceramics,traditional_glassmaking,MISSING_PREREQUISITE,2,Porcelaine et céramique organisée ne supposent pas une filière verrière nationale.,Le nœud ouvre pm_ceramics et pm_leaded_glass; la dépendance au bâtiment verrier confond deux métiers.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,La parenté de four et de matière ne constitue pas un préalable universel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
light_infantry_tactics,regulated_small_arms,MISSING_PREREQUISITE,49,Tirailleurs et tactiques légères peuvent employer des armes importées ou non standardisées.,Le nœud donne de l'expérience; il ne débloque pas une chaîne industrielle d'armes.,REMOVE_EDGE,aucun parent,,NO,NO,LOW,HIGH,Doctrine et production réglementée doivent rester séparées.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
