tech_id,display_name,era,parents,children,current_unlocks,visible_researchable,historical_suitability,recommended_role
shaft_mining,Shaft Mining,era_1,NONE,"applied_mineralogy; atmospheric_engine; deep_mine_engineering","coal mine; iron mine; lead mine; sulfur mine; salt mine; limestone quarry",YES,"Suitable for a basic copper-mine building but not for advanced concentration","Gate building_copper_mine and its manual baseline"
applied_mineralogy,Applied Mineralogy,era_3,shaft_mining,geological_surveying,"gold mine; gold field",YES,"Good early assay and ore-dressing concept","Gate an intermediate copper dressing PM if desired; do not make it the only building gate"
geological_surveying,Geological Surveying,era_6,"applied_mineralogy; professional_civil_engineering","prospecting; pumpjacks",NONE,YES,"Strong basis for mapped resources and later specialized ore technology","Parent of proposed ore_concentration; retain its discovery modifier"
prospecting,Prospecting,era_7,geological_surveying,NONE,NONE,"DEFINED_BUT_CAN_RESEARCH_NO","Compatibility alias is not a safe player-facing gate","Do not use as a copper or bauxite gate"
dynamite,Dynamite,era_8,nitroglycerin,NONE,"advanced mine explosive PMs; explosive shells; vacuum evaporation",YES,"Useful prerequisite for large low-grade ore extraction but not a metallurgy tech","Second parent of proposed ore_concentration"
copper_sheathing,Copper Sheathing,era_4,scientific_naval_architecture,NONE,NONE,YES,"Excellent early copper-demand technology; currently mechanically empty","Gate a new optional shipyard copper-sheathing PM"
electric_telegraph,Electric Telegraph,era_7,logistics,NONE,"country war-exhaustion modifier only",YES,"Historically central copper-network use but no productive object exists","Keep topology; defer a telegraph infrastructure consumer until a real PM is designed"
electrical_generation,Electrical Generation,era_9,rotary_valve_engine,"conveyors; electrical_capacitors; telephone","power plant; electric streetlights; selected electric agricultural/resource PMs",YES,"Essential for aluminium scale and copper generator demand","Gate copper demand in early power generation; indirect aluminium prerequisite"
electrical_capacitors,Electrical Capacitors and Networks,era_9,"electrical_generation; mechanized_weaving",electric_railway,"electric sewing machines; automatic power looms; brine electrolysis",YES,"Closest existing electrochemistry/network-equipment node","Direct parent of proposed aluminium_metallurgy"
electric_railway,Electric Railways,era_10,"electrical_capacitors; steel_railway_cars",NONE,"electric engines; electric trains; rail refrigeration; log carts",YES,"Plausible later copper demand but too broad for first implementation","Keep as effective gate of pm_electric_engines; defer direct railway copper input"
telephone,Telephone,era_9,electrical_generation,radio,"building_electrics_industry",YES,"Strong direct copper-demand gate","Keep topology; copper enters pm_telephones"
radio,Radio,era_11,telephone,NONE,"pm_radios; radio_stations_tobacco",YES,"Suitable small late copper demand","Keep topology; copper enters pm_radios conservatively"
industrial_alkalis,Industrial Alkalis,era_5,industrial_acids,pressed_glass,pm_leblanc_alkali_process,YES,"Provides the caustic-chemistry lineage needed for Bayer abstraction","Direct parent of proposed aluminium_metallurgy"
hydraulic_turbines,Hydraulic Turbines,era_6,"professional_civil_engineering; mechanical_tools",NONE,NONE,YES,"Historically relevant facilitator for cheap hydroelectricity but currently has no power-generation unlock","Do not make it mandatory for all aluminium; use as future hydro-power enabler or AI preference"
electric_arc_process,Electric Arc Process,era_10,open_hearth_process,arc_welding,pm_electric_arc_process,YES,"Ferrous steel technology; not a substitute for Hall-Heroult electrolysis","Keep out of the aluminium prerequisite chain"
ore_concentration,Ore Concentration,PROPOSED_era_8,"geological_surveying; dynamite",PROPOSED_NONE,"proposed froth-flotation/concentration PM for copper mine",MISSING,"Essential for late scaling of lower-grade copper ores","Create only in TECH6C5B; not required for basic copper availability"
aluminium_metallurgy,Aluminium Metallurgy,PROPOSED_era_10,"electrical_capacitors; industrial_alkalis",PROPOSED_NONE,"proposed building_non_ferrous_metallurgy_works and Hall-Heroult PM",MISSING,"Necessary combined Bayer/Hall-Heroult gate; no current equivalent exists","Create only in the later aluminium implementation phase"
