"priority","tag","country","current_ruler","current_ruler_source","current_government","problem_type","historical_question_to_answer","constitutional_question_to_answer","map_dependency","recommended_research_batch","notes"
"P0","LUC","Lucca","Ambrogio di Boglio","ENGINE_GENERATED","law_monarchy / law_autocracy","GENERATED_RULER_AND_MANIFEST_CONSTITUTIONAL_MISMATCH","Who held the effective executive office in Lucca on 1776-01-01?","How should the oligarchic Republic of Lucca and its collective executive be represented without a hereditary duke?","NO","EUROPE-RESIDUAL-C","User runtime: procedural Duke, age 32, Absolute Duchy."
"P0","LUX","Luxembourg","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_autocracy","GENERATED_RULER_AND_TERRITORIAL_CONSTITUTIONAL_ABSTRACTION","What office or Habsburg representative governed fork territory tagged LUX in 1776?","Should LUX be a crown-land/shared-sovereign/governor abstraction rather than an independent absolute monarchy?","YES","EUROPE-RESIDUAL-D","Coordinate with Austrian Netherlands representation and map assumptions."
"P0","SWI","Switzerland","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_parliamentary_republic / law_census_voting","GENERATED_EXECUTIVE_AND_SUSPECT_1776_CONFEDERAL_MODEL","Who can validly occupy the single executive abstraction on 1776-01-01?","How should the Old Swiss Confederacy, cantonal sovereignty, and Diet be represented?","NO","EUROPE-RESIDUAL-B","Do not invent a president before constitutional research."
"P0","UBD","United Baltic Provinces","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_landed_voting","ANACHRONISTIC_COUNTRY_ABSTRACTION_AND_GENERATED_MONARCH","What Russian imperial representative governed Riga/Estonia/Livonia in 1776?","Should the Russian puppet monarchy be replaced by governorate/crown administration or direct rule?","YES","EUROPE-RESIDUAL-E","Country identity and puppet structure are suspect for 1776."
"P1","ANH","Anhalt","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy","GENERATED_DYNASTIC_RULER","Which Anhalt branch and ruler does the fork tag represent in 1776?","What exact principality/duchy title and distribution of power apply?","NO","EUROPE-RESIDUAL-A","Explicitly deferred in Batch 2."
"P1","BEO","Austrian Netherlands (BEO/Belgium)","Procedural ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_landed_voting; Austrian crown land","GENERATED_CROWN_LAND_EXECUTIVE","Who was the governor-general or effective representative in the Austrian Netherlands on 1776-01-01?","Should the visible character be a governor/regent while Maria Theresa remains sovereign?","NO","EUROPE-RESIDUAL-D","User runtime confirms procedural character and Crown Land government."
"P1","BRE","Bremen","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_presidential_republic / law_wealth_voting","GENERATED_FREE_CITY_EXECUTIVE","Which burgomaster/syndic or collective office is the best single-ruler abstraction in 1776?","Are free-city government and ruler title mappings adequate?","NO","EUROPE-RESIDUAL-B","Republic laws present; office/title unverified."
"P1","CRI","Crimea","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy","GENERATED_BORDER_REGION_KHAN","Who was Khan of Crimea on 1776-01-01 and what was the succession context?","How should Ottoman/Russian alignment and khanate government be represented?","YES","EUROPE-RESIDUAL-E","Border case retained in Europe inventory; coordinate with regional/map work."
"P1","FRM","Frankfurt","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_presidential_republic / law_wealth_voting","GENERATED_FREE_CITY_EXECUTIVE","Which senior mayor/schultheiss or collective office is the best 1776 abstraction?","Are free-city government and ruler title mappings adequate?","NO","EUROPE-RESIDUAL-B","Republic laws present; office/title unverified."
"P1","GAL","Galicia-Lodomeria","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_landed_voting; Austrian crown land","GENERATED_CROWN_LAND_EXECUTIVE","Who represented Habsburg authority in Galicia-Lodomeria on 1776-01-01?","Should the character represent a governor while Maria Theresa remains sovereign?","NO","EUROPE-RESIDUAL-D","Austrian crown-land subject."
"P1","HAM","Hamburg","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_presidential_republic / law_wealth_voting","GENERATED_FREE_CITY_EXECUTIVE","Which burgomaster or collective office is the best single-ruler abstraction in 1776?","Are free-city government and ruler title mappings adequate?","NO","EUROPE-RESIDUAL-B","Republic laws present; office/title unverified."
"P1","HOH","Hohenzollern","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy; Prussian puppet","GENERATED_RULER_AND_COUNTRY_IDENTITY_UNCLEAR","Which Hohenzollern polity and ruler does this fork tag represent in 1776?","What exact principality and subject-title model is appropriate?","NO","EUROPE-RESIDUAL-A","Country-abstraction research required."
"P1","HUN","Hungary","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy; Austrian crown land","GENERATED_CROWN_LAND_EXECUTIVE","Who should be visible under Maria Theresa's Hungarian crown in 1776, if anyone separate?","Should Hungary share the Habsburg sovereign or expose a palatine/governor abstraction?","NO","EUROPE-RESIDUAL-D","Austrian crown-land subject."
"P1","LUB","Lübeck","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_presidential_republic / law_wealth_voting; Swedish puppet","GENERATED_FREE_CITY_EXECUTIVE","Which burgomaster/senate office is the best 1776 abstraction?","How should free-city republican government coexist with the fork's Swedish puppet pact?","NO","EUROPE-RESIDUAL-B","Explicitly deferred in Batch 2."
"P1","NAS","Nassau","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_autocracy","GENERATED_DYNASTIC_RULER","Which Nassau branch and ruler does the fork tag represent in 1776?","What exact principality title and constitutional model apply?","NO","EUROPE-RESIDUAL-A","Explicitly deferred in Batch 2."
"P1","SCM","Schaumburg-Lippe","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy","GENERATED_DYNASTIC_RULER","Who ruled Schaumburg-Lippe on 1776-01-01?","Was the correct title Count, Prince, or another family in 1776?","NO","EUROPE-RESIDUAL-A","Active German microstate omitted by Batch 2."
"P1","SCW","Schwarzburg","Procedural ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy; displayed Duchy","GENERATED_RULER_AND_COUNTRY_ABSTRACTION","Does SCW represent Schwarzburg-Rudolstadt, Schwarzburg-Sondershausen, or a combined abstraction, and who ruled it?","The displayed Duchy is suspect; determine correct principality/count title and constitution.","NO","EUROPE-RESIDUAL-A","User-observed procedural ruler; HRE bloc."
"P1","TRS","Transylvania","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_autocracy; Austrian crown land","GENERATED_CROWN_LAND_EXECUTIVE","Who represented Habsburg authority in Transylvania on 1776-01-01?","Should the visible character be shared sovereign, governor, or another office?","NO","EUROPE-RESIDUAL-D","Austrian crown-land subject."
"P1","WLD","Waldeck","Engine-generated ruler (name not captured)","ENGINE_GENERATED","law_monarchy / law_oligarchy","GENERATED_DYNASTIC_RULER","Who ruled Waldeck on 1776-01-01?","What exact county/principality title and constitutional model apply?","NO","EUROPE-RESIDUAL-A","Active German microstate omitted by Batch 2."
