object_type,object_id,display_name,source_file,status,gate_or_parent,inputs,outputs,workforce,texture,implementation_status,validation,notes
good,limestone,Limestone / Calcaire,common/goods/10_tech6c1_limestone.txt,NEW,,NONE,NONE,,gfx/error_deer.dds,IMPLEMENTED,PASS,"Industrial; cost 20; tradeable yes; prestige 3; traded quantity 10; convoy multiplier 0.5; no POP need."
building,building_limestone_quarry,Limestone Quarry / Carrière de calcaire,common/buildings/10_tech6c1_limestone_quarry.txt,NEW,shaft_mining,,,5000,gfx/error_deer.dds,IMPLEMENTED,PASS,"Uses existing bg_mining; construction_cost_medium; ownership_type self; ai_value 1000."
production_method_group,pmg_base_building_limestone_quarry,Base limestone quarry methods,common/production_method_groups/10_tech6c1_limestone_pmgs.txt,NEW,building_limestone_quarry,,,,gfx/interface/icons/generic_icons/mixed_icon_base.dds,IMPLEMENTED,PASS,"Contains the single baseline quarry PM."
production_method,pm_picks_and_shovels_building_limestone_quarry,Picks and Shovels,common/production_methods/10_tech6c1_limestone_production.txt,NEW,pmg_base_building_limestone_quarry,tools=2,limestone=30,"shopkeepers=500;laborers=4500",gfx/interface/icons/production_method_icons/picks_and_shovels.dds,IMPLEMENTED,PASS,"Simple baseline only; value scale matched to the existing salt baseline."
good,cement,Cement / Ciment,,PLANNED,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,,, ,gfx/error_deer.dds,BLOCKED,NOT_IMPLEMENTED,"No Portland Cement technology ID exists; creating a demandless good would violate the approved design."
building,building_cement_works,Cement Works / Cimenterie,,PLANNED,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,limestone+coal,cement,5000,gfx/error_deer.dds,BLOCKED,NOT_IMPLEMENTED,"No alternative gate was substituted."
production_method_group,pmg_base_building_cement_works,Base cement works methods,,PLANNED,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,,,,,BLOCKED,NOT_IMPLEMENTED,"Deferred with Cement Works."
production_method,pm_portland_cement,Portland Cement,,PLANNED,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,limestone+coal,cement,5000,,BLOCKED,NOT_IMPLEMENTED,"ID not created because the technology and cement industry are blocked."
construction_demand,pm_steel_frame_buildings,Steel-Frame Buildings,common/production_methods/13_construction.txt,EXISTING,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,"steel=50;glass=40;explosives=10;tools=20",cement=0,,gfx/interface/icons/production_method_icons/steel_frame_buildings.dds,UNCHANGED,PASS,"Approved future cement quantity 30 was not applied because no valid cement supply chain can be unlocked."
construction_demand,pm_arc_welded_buildings,Arc-Welded Buildings,common/production_methods/13_construction.txt,EXISTING,BLOCKED_MISSING_PORTLAND_CEMENT_TECH,"steel=50;glass=40;explosives=20;tools=40;electricity=40",cement=0,,gfx/interface/icons/production_method_icons/arc_welded_buildings.dds,UNCHANGED,PASS,"Approved future cement quantity 40 was not applied because no valid cement supply chain can be unlocked."
