Technology_ID,Category,Current_Era,Proposed_Era,Decision,Reason,Parent_Max_Era,Child_Min_Era,Unlock_Context,Start_Distribution_Impact
enclosed_dock_systems,military,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,buildings:building_port,NONE
organized_military_establishments,military,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_1,STRUCTURAL_OR_MODIFIER_ONLY,NONE
organized_naval_establishments,military,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",ROOT_OR_ALIAS,era_1,STRUCTURAL_OR_MODIFIER_ONLY,NONE
scientific_fortification_siegecraft,military,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,LEAF_OR_ALIAS,buildings:building_barrack;buildings:building_naval_fortification,NONE
state_dockyard_systems,military,era_1,era_1,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,buildings:building_naval_administration;buildings:building_shipyard,NONE
regulated_small_arms,military,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,buildings:building_arms_industry;combat_unit_types:combat_unit_type_dragoons,NONE
scientific_naval_architecture,military,era_2,era_2,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,ship_types:ship_type_ship_of_the_line,NONE
light_infantry_tactics,military,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,combat_unit_types:combat_unit_type_line_infantry,NONE
marine_chronometry,military,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_5,buildings:building_fishing_wharf;buildings:building_whaling_station,NONE
permanent_military_hospitals,military,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_5,mobilization_options:mobilization_option_first_aid,NONE
ship_classification_surveying,military,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_3,STRUCTURAL_OR_MODIFIER_ONLY,NONE
standardized_field_artillery,military,era_3,era_3,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,buildings:building_artillery_foundry;combat_unit_types:combat_unit_type_cannon_artillery;production_methods:pm_cannons,NONE
armament_standardization_inspection,military,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_5,STRUCTURAL_OR_MODIFIER_ONLY,NONE
copper_sheathing,military,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,LEAF_OR_ALIAS,production_methods:pm_copper_sheathing_building_shipyard,NONE
horse_artillery,military,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_3,era_5,combat_unit_types:combat_unit_type_hussars;combat_unit_types:combat_unit_type_mobile_artillery,NONE
military_topographic_surveying,military,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,STRUCTURAL_OR_MODIFIER_ONLY,NONE
permanent_engineer_services,military,era_4,era_4,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_1,era_4,combat_unit_types:combat_unit_type_low_tier_marines,NONE
battlefield_evacuation,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_7,STRUCTURAL_OR_MODIFIER_ONLY,NONE
casemated_fortifications,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_11,production_methods:pm_naval_fortification_reinforced,NONE
corps_organization,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_4,era_5,decrees:decree_enlistment_efforts;decrees:decree_violent_suppression;laws:law_national_militia;laws:law_professional_army;mobilization_options:mobilization_option_extra_supplies,NONE
diagonal_ship_framing,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_2,era_6,STRUCTURAL_OR_MODIFIER_ONLY,NONE
explosive_field_ammunition,military,era_5,era_5,MERGE_AND_ALIAS,Era retained only for compatibility metadata; node is no longer researchable.,ROOT_OR_ALIAS,LEAF_OR_ALIAS,STRUCTURAL_OR_MODIFIER_ONLY,NONE
field_engineering_pontoon_trains,military,era_5,era_5,ERA_OK,"No negative parent edge; current depth, unlock package and anticipation cost are coherent.",era_5,era_11,combat_unit_types:combat_unit_type_mid_tier_marines,NONE
