Owner_TAG,State_ID,Target_Building_Level,Road_PM,Canal_PM,Rail_PM,Passenger_PM,Required_Technologies,Tech_Distribution_Review,Historical_Rationale
ANH,STATE_ANHALT,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Basic state-maintained roads and post routes justify only the minimum structured road level. | No industrial canal network assigned.
AUS,STATE_AUSTRIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Imperial postal and trunk-road administration centered routes on Vienna | No regional industrial canal level justified at 1776 cutoff. | Imperial postal and trunk-road administration centered routes on Vienna; level kept conservative because many large road improvements accelerated later in the century.
AUS,STATE_BOHEMIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"A substantial territorial road network existed, but evidence for highly engineered state roads before the cutoff is mixed. | No regional industrial canal level recommended."
AUS,STATE_LOMBARDY,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,NO,Dense road connections centered on Milan and an economically integrated plain justify above-minimum road capacity. | CANAL level justified: Lombardy’s Navigli formed a long-established navigable canal system serving Milan.
AUS,STATE_MORAVIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"Commercial links to Vienna and Brno justify basic structured road capacity, but not a high road level. | No industrial canal network established for this state by the cutoff."
AUS,STATE_SLOVENIA,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Habsburg policy explicitly oriented road connections toward Trieste to integrate the imperial hinterland with the port. | No separate regional industrial canal network justified
AUS,STATE_STYRIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Alpine trade and state routes existed but evidence does not support a high engineered-road level. | No industrial canal network justified.
AUS,STATE_TYROL,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Brenner and Alpine routes served salt and imperial transit | No industrial canal network possible/justified. | Brenner and Alpine routes served salt and imperial transit; state postal organization was significant.
BAV,STATE_BAVARIA,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Important territorial roads existed but a high engineered-road network is not firmly demonstrated for 1776. | No industrial canal network assigned.
BEO,STATE_FLANDERS,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Paved trunk roads and waterways supported transit and export commerce. | organized canal network attested | The Austrian Netherlands developed an unusually dense paved-road system and connected waterways.
BEO,STATE_WALLONIA,2,pm_traditional_road_network,pm_industrial_canals,pm_no_rail_network,pm_no_passenger_trains,industrial_canals,YES,Roads and navigable waterways connected mining/manufacturing centres. | organized canal network attested | Paved roads and waterways served the mining and metalworking zone.
BRA,STATE_BRUNSWICK,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Brunswick adopted engineered road building around 1770 specifically to improve commerce. | No industrial canal network assigned.
DENNOR,STATE_EASTERN_NORWAY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 road network anchored by Kongsberg–Drammen/Christiania supply routes. | No industrial canal seed. | The Sølvveien and mining supply routes linking Kongsberg to Drammen were established regional transport infrastructure.
DENNOR,STATE_JUTLAND,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 traditional road network. | No industrial canal seed. | A basic crown/post-road network is justified.
DENNOR,STATE_WESTERN_NORWAY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 1 only; maritime transport remained dominant. | No canal seed. | Regional roads existed but western transport remained strongly maritime; keep road scale modest.
DENNOR,STATE_ZEALAND,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 traditional road network around Copenhagen and Zealand. | No industrial canal seed. | Dense capital-region roads and royal communications justify a stronger road network.
FRA,STATE_AQUITAINE,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road-network level | none required for this recommendation | Roads connected Bordeaux's wine hinterland with its port.
FRA,STATE_BRITTANY,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,"One road-network level | none required for this recommendation | Market and military roads linked Nantes, Brest and other Breton centres."
FRA,STATE_FRENCH_LOW_COUNTRIES,1,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,One road level. | none required for this recommendation | Dense northern market and mining/manufacturing roads supported regional trade.
FRA,STATE_ILE_DE_FRANCE,2,pm_traditional_road_network,pm_no_canal_network,pm_no_rail_network,pm_no_passenger_trains,NONE,NO,Level 2 for exceptionally important engineered roads | none required for this recommendation | The royal road system was centred on Paris and maintained by the Ponts et Chaussées.
