"phase_id","filename","title","region","topic","document_type","primary_verdict","secondary_verdicts","historical_status","canonical","superseded_by","predecessor","successor","markdown_path","companion_csv_path","commit","created_or_recorded_date","runtime_or_static","gameplay_changed","current_relevance","summary","notes"
"HOTFIX_DISPOSABLE_TEST_MOD_RETIREMENT","HOTFIX_DISPOSABLE_TEST_MOD_RETIREMENT.md","HOTFIX â€” Audit de retrait de la copie jetable Sepoy","global","library","REFERENCE","DISPOSABLE_TEST_MOD_SAFE_TO_RETIRE","NO_TEST_HARNESS_MERGED_TO_MAIN_MOD;DISPOSABLE_TEST_MOD_AUDITED;NO_UNMERGED_GAMEPLAY_IN_DISPOSABLE_COPY","CURRENT","false","","","HOTFIX_REPORT_LIBRARY_REORGANIZATION.md","docs/reports/hotfix/_index/HOTFIX_DISPOSABLE_TEST_MOD_RETIREMENT.md","","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Audit and future retirement plan for the disposable Sepoy test mod.","Created during AH"
"S","HOTFIX_MERGE_COMPLETION_ROADMAP.md","HOTFIX — Feuille de route de fin du merge","global","library","REFERENCE","NEXT_MERGE_BLOCK_IDENTIFIED","MERGE_REMAINING_WORK_INDEXED;MERGE_COMPLETION_ROADMAP_CREATED;POST_MERGE_BACKLOG_SEPARATED","CURRENT","true","","HOTFIX_REPORT_LIBRARY_REORGANIZATION.md","HOTFIX_NEXT_MERGE_PHASE_PROMPT.md","docs/reports/hotfix/_index/HOTFIX_MERGE_COMPLETION_ROADMAP.md","docs/reports/hotfix/_index/HOTFIX_MERGE_REMAINING_WORK.csv","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Three-way merge inventory and exact completion roadmap.","Created during section S"
"C1AI","HOTFIX_C1AI_CONCURRENT_WORK_RECONCILIATION.md","HOTFIX C1AI — Réconciliation des productions concurrentes","global","library","RECONCILIATION_REPORT","CONCURRENT_WORK_RECONCILED","GLOBAL_SCRIPT_DELTAS_WITH_RUSSIA_FIRST;NO_CONCURRENT_OUTPUT_LOST;CANONICAL_NEXT_PHASE_PUBLISHED;NO_GAMEPLAY_CHANGED;COLLISION_BACKUP_PRESERVED","CURRENT","true","","HOTFIX_MERGE_COMPLETION_ROADMAP.md","HOTFIX_NEXT_MERGE_PHASE_PROMPT.md","docs/reports/hotfix/_index/HOTFIX_C1AI_CONCURRENT_WORK_RECONCILIATION.md","docs/reports/hotfix/_index/HOTFIX_GLOBAL_DIFFERENCE_INVENTORY.csv","CURRENT_WORKTREE","2026-07-22","static","false","canonical/current","Reconciles Global Script Deltas as the next container with Russia Subjecthood as its first executable subphase.","Three-way inventory classified CANONICAL_SUPPORTING_INVENTORY; legacy 26-delta count UNVERIFIED"
"S","HOTFIX_NEXT_MERGE_PHASE_PROMPT.md","Prompt Codex — HOTFIX-6A.13F Merchant Banking GEN/VEN","italy","starting_law","CORRECTION_RUNTIME_SETUP","HOTFIX_6A13_RESIDUAL_GLOBAL_SCRIPT_SELECTION_COMPLETE","GEN_VEN_MERCHANT_BANKING_STARTING_LAW_SELECTED;NEXT_EXECUTION_PHASE=HOTFIX_6A13F_GEN_VEN_MERCHANT_BANKING_STARTING_LAW;RUNTIME_OPERATOR_ACTION_REQUIRED;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A13_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","HOTFIX_6A13F_GEN_VEN_MERCHANT_BANKING_STARTING_LAW.md","docs/reports/hotfix/_index/HOTFIX_NEXT_MERGE_PHASE_PROMPT.md","","CURRENT_WORKTREE","2026-07-30","static_setup","false","canonical/current","Prepares the selected two-file two-object two-hunk Merchant Banking starting-law alignment for Genoa and Venice.","Preserves merchant navy and all other starting laws; requires one human session with GEN and VEN; no automatic runtime or commit"
"HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT","HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT.md","HOTFIX-6A.1 — Alignement Russie / Subjecthood","russia","country_history","CORRECTION_REPORT","RUSSIA_SUBJECTHOOD_ALIGNMENT_COMPLETE","RUSSIA_SUBJECTHOOD_ALIGNMENT_STATIC_PASS;RUSSIA_SUBJECTHOOD_RUNTIME_DEFERRED_TO_GLOBAL","CURRENT","true","","HOTFIX_C1AI_CONCURRENT_WORK_RECONCILIATION.md","GLOBAL_RUNTIME","docs/reports/hotfix/_index/HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT.md","","CURRENT_WORKTREE","2026-07-22","static","true","canonical/current","Replaces the single RUS citizenship law activation with subjecthood while preserving all 1776 and NAVY setup.","Runtime inspection of RUS is mandatory in the consolidated global launch"
"HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_AUDIT","HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_AUDIT.md","HOTFIX-6A.2 — Audit Autriche, Croatie-Slavonie et Suisse occidentale","global","state_history","STATIC_AUDIT","AUSTRIA_CROATIA_WEST_SWITZERLAND_AUDIT_COMPLETE","BLOCKED_TARGET_HUNKS_UNVERIFIED;NO_GAMEPLAY_CHANGED;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A_RUSSIA_SUBJECTHOOD_ALIGNMENT.md","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION.md","docs/reports/hotfix/_index/HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_AUDIT.md","docs/reports/hotfix/_index/HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_DELTA_MAP.csv","f4d3398","2026-07-23","static","false","canonical/supporting","Identifies exact territorial and dependent hunks and the two blockers resolved by 6A.2R.","Twenty-eight classified records; no gameplay changed"
"HOTFIX_6A2R_TARGET_HUNK_RESOLUTION","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION.md","HOTFIX-6A.2R — Résolution des blockers Suisse et NAVY","global","state_history_and_navy","STATIC_RESOLUTION","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION_COMPLETE","READY_FOR_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX;SWISS_POP_HUNK_SHOULD_BE_OMITTED;SHIPYARD_CROATIA_REQUIRED_COMPATIBLE;AUS_FLEET_REQUIRED_RECONSTRUCTED;AGRAM_MIGRATION_REQUIRED_MINIMAL;NO_GAMEPLAY_CHANGED;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_AUDIT.md","HOTFIX_6A2F_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX.md","docs/reports/hotfix/_index/HOTFIX_6A2R_TARGET_HUNK_RESOLUTION.md","docs/reports/hotfix/_index/HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_DELTA_MAP.csv","16da441","2026-07-23","static","false","canonical/supporting","Closes Swiss population and NAVY blockers with a zero-net-pop choice, compatible shipyard, reconstructed regional fleet and unchanged Agram migration.","Forty-seven sections; no gameplay changed"
"HOTFIX_6A2F_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX","HOTFIX_6A2F_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX.md","HOTFIX-6A.2F — Correction ciblée Autriche Croatie Slavonie Suisse","global","state_history_and_navy","CORRECTION_REPORT","AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX_STATIC_PASS","FAIL_RUNTIME_LOGS;RUNTIME_INVALID_MOD_NOT_LOADED;SWISS_POPULATION_NET_CHANGE_ZERO;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","SUPERSEDED","false","","HOTFIX_6A2R_TARGET_HUNK_RESOLUTION.md","HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION.md","docs/reports/hotfix/_index/HOTFIX_6A2F_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX.md","docs/reports/hotfix/_index/HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_DELTA_MAP.csv","CURRENT_WORKTREE","2026-07-23","static_and_failed_runtime","true","historical/supporting","Applies the initial closed hunks and preserves the invalid direct-launch runtime as historical evidence.","Superseded by runtime evidence and correction 6A.2F2"
"HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION","HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION.md","HOTFIX-6A.2F2 — Correction runtime population suisse et infrastructure navale croate","global","state_history_and_navy","CORRECTION_RUNTIME_REPORT","AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX_COMPLETE","HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_STATIC_PASS;SWISS_POP_ADDITION_RUNTIME_JUSTIFIED;AUSTRIAN_EAST_SWITZERLAND_30000_POP_CONFIRMED;NAVAL_BASE_CROATIA_RUNTIME_CONFIRMED;AUS_FLEET_MANPOWER_RUNTIME_PASS;RUSSIA_SUBJECTHOOD_NON_REGRESSION_PASS;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A2F_AUSTRIA_CROATIA_WEST_SWITZERLAND_TARGETED_FIX.md","HOTFIX_6A3_DEI_TARGETED_AUDIT.md","docs/reports/hotfix/_index/HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION.md","docs/reports/hotfix/_index/HOTFIX_6A2_AUSTRIA_CROATIA_WEST_SWITZERLAND_DELTA_MAP.csv","CURRENT_WORKTREE","2026-07-23","static_and_runtime","true","canonical/current","Adds the runtime-justified 30K Austrian Swiss pop and level-3 naval administration, then confirms Swiss GDP/SOL and full 2.30K fleet manpower.","One launcher runtime; fork positively mounted; building_naval_base proven obsolete and not added"
"HOTFIX_6A3_DEI_TARGETED_AUDIT","HOTFIX_6A3_DEI_TARGETED_AUDIT.md","HOTFIX-6A.3 — Audit ciblé DEI","east_indies","events_and_setup","STATIC_AUDIT","HOTFIX_6A3_DEI_TARGETED_AUDIT_COMPLETE","NO_REQUIRED_HOTFIX_DELTA_IDENTIFIED;DEI_CAPE_CEYLON_OUTCOME_UNVERIFIED;DEI_VANILLA_1_13_ALIGNMENT_REQUIRES_RESOLUTION;NAVY_PROTECTED;ADMIN_PROTECTED;NO_GAMEPLAY_CHANGED;GLOBAL_SCRIPT_DELTAS_REVIEW_CONTINUES","CURRENT","true","","HOTFIX_6A2F2_SWISS_POP_NAVAL_BASE_RUNTIME_CORRECTION.md","HOTFIX_6A3R_DEI_BREAKUP_HUNK_RESOLUTION.md","docs/reports/hotfix/_index/HOTFIX_6A3_DEI_TARGETED_AUDIT.md","docs/reports/hotfix/_index/HOTFIX_6A3_DEI_TARGETED_AUDIT_DELTA_MAP.csv","CURRENT_WORKTREE","2026-07-23","static","false","canonical/supporting","Finds no absent custom hotfix delta and isolates the decisions closed by 6A.3R.","Fourteen initial records; superseded blockers resolved without gameplay"
