register_id,category,diagnostic_type,identities,occurrences,unique_physical_files,classification,owner,action,notes
LOG13-D01,COUNTRY_LAW_DESIGN_DEBT,COUNTRY_LAW_DIAGNOSTIC,113,113,,KNOWN_FORK_DESIGN_DEBT_DEFERRED,TECH_TREE_1776_THEN_MAP_REWORK_THEN_LAW_SYSTEM_1776,DEFER,"Canonical country-law set; no law, variant, technology or Bavaria change in LOG-13."
LOG13-D02,STATE_RELIGION_DESIGN_DEBT,INVALID_DATABASE_OBJECT_STATE_RELIGION,17,18,17,KNOWN_FORK_DESIGN_DEBT_DEFERRED,LAW_SYSTEM_1776,DEFER,"Canonical 18 runtime rows in 17 country-history files."
LOG13-D03,PROTECTED_JAPAN,INVALID_DATABASE_OBJECT_AMENDMENT_FRUGAL_ORDINANCE,4,4,2,ALREADY_ACCOUNTED_FOR,PROTECTED_JAPAN,PRESERVE,"Canonical nonactionable Japan amendment identities."
LOG13-D04,OTHER_HISTORICAL_SETUP_DESIGN_DEBT,MIXED_DESIGN_DEPENDENCIES,113,113,,KNOWN_FORK_DESIGN_DEBT_DEFERRED,TECH_TREE_MAP_REWORK_HISTORICAL_SETUP,DEFER,"Starting buildings, pops, states, institutions, ruler/government consistency and related 1776 setup dependencies."
LOG13-D05,LEGACY_CHARACTER_ROLE_API,API_HAS_ROLE_POSTVALIDATE_PAIR,182,182,91,ALREADY_ACCOUNTED_FOR,CLOSED_CHARACTER_API_AUDITS,PRESERVE,"91 physical has_role sites; Script System and PostValidate identities are linked and do not represent 182 patch roots."
LOG13-D06,OTHER_PRIOR_CANONICAL_DISPOSITIONS,MIXED_ALREADY_ACCOUNTED,128,130,,ALREADY_ACCOUNTED_FOR,PRIOR_LOG_CLEANUP_AND_HOTFIX_AUDITS,PRESERVE,"Includes bounded naval, pinning, notification, Poland and other previously proved dispositions; excludes D03 and D05."
LOG13-D07,PROTECTED_JAPAN_LOCALIZATION,DUPLICATE_LOCALIZATION_KEY,506,506,,PROTECTED_SYSTEM,PROTECTED_JAPAN,PRESERVE,"Hotfix Hokkaido, Ryukyu, Zaibatsu and Sakoku override duplicates."
LOG13-D08,OTHER_PROTECTED_SYSTEMS,MIXED_PROTECTED,108,108,,PROTECTED_SYSTEM,CLOSED_JAPAN_MILITARY_CHARACTER_SYSTEMS,PRESERVE,"Protected formations, commanders/templates, Japan event wiring and accepted encoding warnings; excludes D07."
LOG13-D09,INTENTIONAL_LOCALIZATION_OVERRIDES,DUPLICATE_LOCALIZATION_KEY,96,96,,INTENTIONAL_FORK_DIVERGENCE,FORK_CONTENT,PRESERVE,"Non-Japan custom override pairs retained intentionally."
LOG13-D10,OTHER_INTENTIONAL_OVERRIDES,MIXED_INTENTIONAL,25,25,,INTENTIONAL_FORK_DIVERGENCE,FORK_CONTENT,PRESERVE,"Custom colonial journal wiring, legacy building semantics, template choices and deliberate database override keys; excludes D09."
LOG13-D11,VANILLA_OR_EXTERNAL,MIXED_VANILLA_EXTERNAL,270,302,,VANILLA_OR_EXTERNAL,PARADOX_OR_EXTERNAL,NO_FORK_PATCH,"Includes 121 achievement registry identities and current-vanilla content proven outside fork ownership."
LOG13-D12,VALID_BENIGN_VALIDATION_NOISE,MIXED_VALID_BENIGN,81,81,,VALID_CURRENT_API_OR_BENIGN,ENGINE_VALIDATION,NO_PATCH,"Unused/unset variable reachability warnings, accepted non-protected encoding warnings, orphan notices and duplicate JE-add warnings without operational failure."
LOG13-S01,ADDITIONAL_STATIC_PROTECTED_REFERENCES,CHARACTER_TEMPLATE_HQ_REMOVED_REGION,6,6,2,PROTECTED_SYSTEM,CLOSED_CHARACTER_TEMPLATE_SYSTEM,PRESERVE,"Five region_italy HQ references and one region_caucasus HQ reference; latent static findings, not runtime identities."
LOG13-S02,OZH_UZH_GUARDS,OPTIONAL_COUNTRY_SCOPE_AND_PACT_TARGET_GUARDS,0,0,1,VALID_DEFENSIVE_COMPATIBILITY_GUARD,LOG_CLEANUP_13,KEEP,"OZH has four and UZH one local 1776 state ownership sites; guards are valid, currently behavior-neutral and own no runtime error identity; the 23 January subject-relationships runtime passed."
LOG13-S03,FIVE_ABSENT_TARGET_PACT_GUARDS,STATIC_DEFENSIVE_PACT_TARGET_GUARDS,0,0,1,VALID_DEFENSIVE_COMPATIBILITY_GUARD,LOG_CLEANUP_13,KEEP,"DUR-KAF, USA-SEQ, USA-LIB, GBR-ORG and PER-ARM are protected static sites. The 23 January runtime disproves the earlier causal link to the assertion; five sites are not runtime identities."
LOG13-P01,INVALID_RELATIONS_ROOT,ACTIVE_SET_RELATIONS_TO_ABSENT_1776_TARGETS,1,1,1,FIXED_AND_RUNTIME_VALIDATED,LOG_CLEANUP_13,CLOSED,"One historical assertion identity linked with HIGH confidence to 20 active set_relations sites whose local 1776 parent existed and target did not; all 20 preserve parent, target and value under exact target-existence guards. Final runtime: assertion 0, diplomacy diagnostics 0, new attributable diagnostics 0."
