tech_id,category,era,before_prerequisites,after_prerequisites,removed_prerequisites,added_prerequisites,cross_tree_edges_removed,same_tree_edges_added,action,semantic_reason
electric_telegraph,military,era_7,optical_telegraph_networks,logistics,optical_telegraph_networks,logistics,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,Vanilla logistics is an active Military predecessor representing the communications and supply organization into which electric telegraphy is integrated; the optical bridge remains conceptual only.
modern_nursing,military,era_7,medical_degrees,battlefield_evacuation,medical_degrees,battlefield_evacuation,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,"Vanilla triage was absorbed by battlefield_evacuation, whose Military medical and evacuation capability is the canonical active predecessor."
breech_loading_artillery,military,era_8,shell_gun;interchangeable_manufacture,shell_gun,interchangeable_manufacture,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,shell_gun remains a Military naval/artillery ordnance predecessor; the Production tolerance dependency is implicit and no extra gate is needed.
self_propelled_torpedoes,military,era_8,nitroglycerin,shell_gun,nitroglycerin,shell_gun,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,shell_gun supplies the active Military/Naval explosive-ordnance foundation for compact naval warheads and replaces the Production explosives gate.
concrete_dockyards,military,era_10,floating_harbor;reinforced_concrete,floating_harbor,reinforced_concrete,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,floating_harbor remains the direct Military/Naval dockyard predecessor; reinforced concrete is an implicit material condition.
military_aviation,military,era_10,combustion_engine,wargaming,combustion_engine,wargaming,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,wargaming supplies the Military-internal experimentation and doctrine-integration capacity needed to evaluate and adopt a new operational domain; combustion engines remain an implicit industrial condition.
war_propaganda,military,era_10,enlistment_offices;political_agitation,enlistment_offices,political_agitation,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,enlistment_offices remains the direct Military mobilization institution; civilian agitation is context rather than a cross-tree research gate.
concrete_fortifications,military,era_11,defense_in_depth;reinforced_concrete;pneumatic_tools,defense_in_depth,reinforced_concrete;pneumatic_tools,NONE,2,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,defense_in_depth remains the direct Military fortification doctrine; concrete and powered tools remain implicit Production conditions.
dreadnought_tech,military,era_11,pre_dreadnought_tech;steam_turbine,pre_dreadnought_tech,steam_turbine,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,pre_dreadnought_tech preserves the direct Military/Naval hull progression; steam turbines remain an implicit propulsion condition.
chemical_warfare,military,era_12,nitrogen_fixation,trench_works,nitrogen_fixation,trench_works,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,trench_works supplies the Military battlefield environment and doctrine that made chemical agents an operational weapon; nitrogen fixation remains an implicit industrial condition.
mobile_armor,military,era_12,military_aviation;compression_ignition;stormtroopers,military_aviation;stormtroopers,compression_ignition,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,"military_aviation and stormtroopers retain Military mobility, combined-arms and infiltration foundations; compression ignition remains an implicit industrial condition."
telephone,production,era_9,electric_telegraph;electrical_generation,electrical_generation,electric_telegraph,NONE,1,0,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,electrical_generation remains a strong Production prerequisite; telegraph infrastructure is retained as historical context rather than a cross-tree gate.
camera,society,era_7,pressed_glass,experimental_research_laboratories,pressed_glass,experimental_research_laboratories,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,Controlled photographic chemistry and optics require experimental research capacity; experimental_research_laboratories is an active Society predecessor and does not restore the weak realism gate.
steel_frame_buildings,society,era_9,professional_civil_engineering,investment_banks,professional_civil_engineering,investment_banks,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,"investment_banks supplies Society-internal capital mobilization for large, high-risk urban steel-frame projects; the canonical civil-engineering owner is Production and cannot be a rendered prerequisite."
paved_roads,society,era_10,professional_civil_engineering,steel_frame_buildings,professional_civil_engineering,steel_frame_buildings,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings is the preceding Society urban-infrastructure node and represents the mature urban construction sector from which network-scale paved-road works progress.
zeppelins,society,era_10,combustion_engine,steel_frame_buildings,combustion_engine,steel_frame_buildings,1,1,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings supplies Society-internal rigid-frame structural engineering; combustion engines remain an implicit industrial condition.
mass_propaganda,society,era_11,film;radio;war_propaganda,political_agitation;film,radio;war_propaganda,political_agitation,2,1,REPLACE_AND_REMOVE_CROSS_TREE_PREREQUISITES,film provides mass visual media and political_agitation provides Society-internal mass-mobilization methods; radio and wartime military propaganda remain contextual.
