TAG,Country,Technology_ID,Current_Status,Historical_Target,Action,Confidence,Tree_Blocker,Classification_Blocker,Reason,Source_1,Source_2
ABB,Arab Emirates,codified_practical_knowledge,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,"institutionalized_scientific_exchange,periodical_print_networks",,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABB,Arab Emirates,distillation,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABB,Arab Emirates,international_relations,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABB,Arab Emirates,light_infantry_tactics,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,regulated_small_arms,,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABB,Arab Emirates,organized_textile_production,ABSENT,PRESENT,ADD,HIGH,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABB,Arab Emirates,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://omaninfo.om/en/pages/161/show/572
ABS,Absaroka,urbanization,PRESENT,ABSENT,REMOVE,HIGH,,,Nœud de compatibilité vide ou paquet gameplay moderne : aucune distribution historique automatique en 1776.,https://www.nps.gov/articles/comanches-and-horses.htm,
ABU,Trucial States,codified_practical_knowledge,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,"institutionalized_scientific_exchange,periodical_print_networks",,KEEP interprété selon le statut régional documenté; le statut local est recalculé séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABU,Trucial States,light_infantry_tactics,ABSENT,PRESENT,PENDING_TREE_FIX,MEDIUM,regulated_small_arms,,"REVIEW arbitré PRESENT après confrontation du statut historique, de la confiance, du motif et du seuil gameplay.",https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://www.cambridge.org/core/journals/itinerario/article/tolerated-terror-rahmah-bin-jabir-and-the-age-of-revolutions-in-the-gulf-17601830/4C332006F7B0981A66C3728281C458F9
ABU,Trucial States,traditional_food_processing,ABSENT,PRESENT,ADD,MEDIUM,,,ADD régional historiquement justifié; l’arbre est évalué séparément.,https://www.cambridge.org/core/journals/journal-of-the-royal-asiatic-society/article/arabians-for-guns-wahhabi-matchlocks-world-trade-and-the-rise-of-the-first-saudi-state/3606B23BB80F31DF6FF46C8ACC0BE651,https://omaninfo.om/en/pages/161/show/572
