TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,atmospheric_engine,TIER,REMOVE,HIGH,ABSENT,"Prerequisite chain is currently present or internally satisfied, but local evidence does not justify the child; do not preserve the chain for consistency alone.",Mine-pumping steam engine node; requires actual local mine-pump infrastructure.,"The relevant British industrial technique existed elsewhere, but there was no British colony here in 1776 and no local infrastructure corresponding to this industrial node. Local Indigenous material systems must not inherit metropolitan machinery.",https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://collection.sciencemuseumgroup.org.uk/objects/co50900/newcomen-atmospheric-engine
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,coke_smelting,TIER,REMOVE,HIGH,ABSENT,"Prerequisite chain is currently present or internally satisfied, but local evidence does not justify the child; do not preserve the chain for consistency alone.",Unlocks steel mill/tooling workshop; requires local coke-fired ironmaking infrastructure.,"The relevant British industrial technique existed elsewhere, but there was no British colony here in 1776 and no local infrastructure corresponding to this industrial node. Local Indigenous material systems must not inherit metropolitan machinery.",https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://historicengland.org.uk/listing/the-list/list-entry/1054135?section=official-list-entry
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,commercial_insurance_markets,TIER,REMOVE,HIGH,ABSENT,"Prerequisite chain is currently present or internally satisfied, but local evidence does not justify the child; do not preserve the chain for consistency alone.","loi:law_mercantilism, loi:law_mercantilism_navigation_acts",The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,distillation,TIER,REMOVE,HIGH,ABSENT,,"PM:pm_pot_stills, PM:pm_spiced_food_preparations",The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,enclosed_dock_systems,TIER,REMOVE,HIGH,ABSENT,,Unlocks port infrastructure; beach landing/canoe use is not an enclosed dock system.,The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,REVIEW,MEDIUM,ABSTRACT,,Unlocks multiple farm/plantation/ranch buildings; sophisticated land management is relevant but not automatically equivalent to this agrarian package.,"Local Indigenous land and food-resource management was sophisticated, but this node unlocks a broad farm/plantation/ranch package that does not map cleanly onto 1776 local systems. A global tree-level abstraction decision is needed.",https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,institutionalized_public_credit,TIER,REMOVE,HIGH,ABSENT,,loi:law_merchant_banking,The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,institutionalized_scientific_exchange,TIER,REMOVE,HIGH,ABSENT,,loi:law_freedom_of_conscience,The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,REVIEW,MEDIUM,ABSTRACT,,"No direct gameplay unlock; can abstract structured diplomacy, tribute, alliance and inter-polity relations.","The colonial polity did not exist, while Indigenous nations maintained exchange and inter-group relations. Because the node is highly abstract and has no direct unlock, do not interpret it as British colonial diplomacy without a synthesis-level ruling.",https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
NSW,New South Wales,Oceania and Pacific,Australia — colonial label / local Indigenous territory,tier_2,REPLACE_WITH_EXPLICIT_SETUP,,organized_forestry,TIER,REMOVE,HIGH,ABSENT,,Unlocks logging camp; skilled timber selection/canoe construction alone is not organized forestry at this gameplay scale.,The British colonial polity and its institutions did not exist locally on 1 January 1776. Available evidence for local Indigenous technology does not establish the state/industrial/financial institution represented by this node.,https://www.parliament.nsw.gov.au/about-parliament/heritage-history/history-democracy-nsw/1788-to-1810-early-european-settlement,https://australian.museum/learn/cultures/first-nations-collections/timeline/
