scenario_id,option,purpose,root_country,required_overlord,required_states_owned,required_states_absent,required_subjects,required_receivers,required_capitals,required_saved_scopes,required_variables,activation_method,activation_method_verified,expected_option_available,expected_bic_core,expected_independence,expected_transfers,expected_radicals,protected_exceptions,logs_to_check,pass_criteria,failure_criteria,notes
"A-1","2.a","Breakup general avec sujets et receveurs","BIC (MANDATORY)","GBR (MANDATORY pour la fin attendue)","Au moins un state BIC en North India et un en South India","Aucun","Au moins un sujet direct BIC avec capitale eligible","Au moins un pays voisin a heritage sud-asiatique","Capitales sujet/receveur en North India; South India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope est local","Aucune","Copie jetable + harnais de scenario + copie de sauvegarde baseline","NO - harnais non cree en C0","YES; option par defaut","Aucun noyau durable; reliquat annexe par GBR si BIC est son sujet","Tous les sujets directs qui passent le filtre de capitale","Transferts prioritaires puis states restants vers princes voisins eligibles","Aucun effet final dedie","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA","sepoy_mutiny_events.2; make_independent; set_state_owner; random_scope_state; while; Invalid scope","Sujets eligibles independants; ownership total; boucle terminee; GBR annexe le reliquat","Boucle non terminee; state sans owner; sujet eligible conserve; BIC non annexe malgre sujet GBR","Relever owner/controller avant et apres"
"A-2","2.a","Breakup sans receveur valide","BIC (MANDATORY)","GBR (MANDATORY)","Un state BIC redistribuable hors listes prioritaires","Aucun","Aucun sujet eligible requis","Aucun receveur generique valide; preconditions des receveurs prioritaires fausses","Aucune capitale voisine satisfaisant heritage et zone","Aucun scope entrant; prince_scope local seulement","Aucune","Copie jetable + harnais isolant la topologie","NO - harnais non cree en C0","YES; option par defaut","Reliquat BIC jusqu'a annexion finale GBR","Aucune independance attendue hors sujet eventuel non eligible","Aucun transfert generique pour le state isole; annexion finale du reliquat par GBR","Aucun","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA non utilises dans ce cas","sepoy_mutiny_events.2; while; random_scope_state; set_state_owner; Invalid scope","La boucle ne demarre pas pour le state isole; aucun owner nul; fin 2.a complete","Boucle infinie; transfert vers pays ineligible; state sans owner","Utiliser STATE_BIHAR ou equivalent hors reprises prioritaires si la topologie est neutralisee"
"A-3","2.a","Breakup avec deux receveurs concurrents","BIC (MANDATORY)","GBR (MANDATORY)","Un state BIC redistribuable adjacent a exactement deux receveurs","Aucun","Aucun sujet obligatoire","Deux pays a heritage sud-asiatique eligibles et voisins du meme state","Deux capitales eligibles en North/South India ou exceptions explicites","Aucun scope entrant; prince_scope local et efface","Aucune","Copie jetable + harnais; cinq rechargements du meme pre-save","NO - harnais non cree en C0","YES; option par defaut","Aucun noyau durable","Selon sujets eventuellement ajoutes","Le state va a un seul des deux receveurs par execution; variation aleatoire admise","Aucun","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA selon state choisi","sepoy_mutiny_events.2; random_scope_state; any_neighbouring_state; save_scope_as; while","Chaque run termine; un seul owner; les deux receveurs sont valides sur l'ensemble des repetitions","Double ownership; aucun transfert; boucle infinie; receveur hors filtre","Comparer cinq runs issus du meme fichier de sauvegarde"
"B-1","2.b","Retraite vers Bengal","BIC (MANDATORY)","GBR (RECOMMENDED)","STATE_WEST_BENGAL et idealement STATE_EAST_BENGAL; un state North India avec pops hindous/sunnites","Aucun","Au moins un sujet direct hors noyau pour observer make_independent","Princes sud-asiatiques voisins des states redistribuables hors noyau","Capitales en North/South India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + harnais; baseline 1776 deja compatible avec la garde","NO - harnais non cree en C0","YES si BIC possede un region state West Bengal","Bengal attendu: West Bengal + East Bengal; conservation effective a mesurer","Sujets directs eligibles deviennent independants","Reprises prioritaires puis redistribution des states hors noyau; boucle large a surveiller","Large radicals hindous/sunnites dans les states BIC restants de region_north_india","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA","sepoy_mutiny_events.2; STATE_WEST_BENGAL; STATE_EAST_BENGAL; region_north_india; set_state_owner; Invalid scope","Option disponible; noyau Bengal conserve; radicaux seulement North India; ownership complet","Option absente; Bengal transfere; radicaux South India; erreur de scope","East Bengal absent ne bloque pas l'option mais penalise l'IA"
"C-1","2.c","Retraite vers Madras","BIC (MANDATORY)","GBR (RECOMMENDED)","Un region state BIC dans STATE_MADRAS; un state South India avec pops hindous/sunnites","Aucun","Au moins un sujet direct hors noyau","Princes sud-asiatiques voisins des states redistribuables hors noyau","Capitales en South/North India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + harnais attribuant un region state Madras a BIC","NO - harnais non cree en C0","YES si BIC possede un region state Madras","STATE_MADRAS attendu; conservation effective a mesurer","Sujets directs eligibles deviennent independants","Reprises prioritaires puis redistribution hors noyau","Large radicals hindous/sunnites dans les states BIC restants de region_south_india","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA","sepoy_mutiny_events.2; STATE_MADRAS; region_south_india; set_state_owner; Invalid scope","Option disponible; Madras conserve; radicaux seulement South India; boucle terminee","Option absente; Madras transfere; radicaux North India; erreur de scope","Setup 1776 initial: FRA/DENNOR/PUD possedent Madras; BIC n'a qu'une claim"
"E-1","2.e","Retraite Bombay avec West Bengal et Bombay presents","BIC (MANDATORY)","GBR (RECOMMENDED)","Un region state BIC dans STATE_WEST_BENGAL et un dans STATE_BOMBAY; un state South India avec pops cibles","Aucun","Au moins un sujet direct hors noyau occidental","Princes sud-asiatiques voisins des states redistribuables","Capitales en North/South India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + harnais attribuant Bombay a BIC","NO - harnais non cree en C0","YES selon la garde actuelle West Bengal","Bombay suggere par localisation et omission des listes; pas de protection explicite contre la boucle generique","Sujets directs eligibles deviennent independants","Reprises prioritaires puis redistribution; verifier que Bombay reste BIC","Large radicals hindous/sunnites dans les states BIC restants de region_south_india","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA","sepoy_mutiny_events.2; STATE_WEST_BENGAL; STATE_BOMBAY; region_south_india; while","Option disponible; comportement Bombay documente; ownership complet; radicaux South India","Option absente; Bombay perdu de facon inattendue; erreur scope/loop","Ce scenario seul ne prouve pas le bug de garde"
"E-2","2.e","Bombay present sans West Bengal","BIC (MANDATORY)","GBR (RECOMMENDED)","Un region state BIC dans STATE_BOMBAY","Aucun region state BIC dans STATE_WEST_BENGAL","Aucun sujet obligatoire car option attendue bloquee","Aucun receveur obligatoire car option attendue bloquee","Sans objet pour l'effet; root BIC seulement","Aucun","Aucune","Copie jetable + harnais retirant West Bengal du scope BIC et ajoutant Bombay","NO - harnais non cree en C0","NO selon le code actuel; YES selon l'intention Bombay probable","Aucun effet car option indisponible; noyau intentionnel Bombay","Aucune","Aucun transfert car option ne doit pas etre cliquable","Aucun","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA non executes","sepoy_mutiny_events.2; STATE_WEST_BENGAL; STATE_BOMBAY; Invalid scope","2.e absente ou grisee uniquement a cause de West Bengal; autres options restent stables","2.e disponible sans West Bengal; effet territorial declenche spontanement; crash","Test decisif de la dependance exclusive a West Bengal"
"E-3","2.e","West Bengal present sans Bombay","BIC (MANDATORY)","GBR (RECOMMENDED)","Un region state BIC dans STATE_WEST_BENGAL; un state South India avec pops cibles","Aucun region state BIC dans STATE_BOMBAY","Au moins un sujet eligible pour observer les effets si option choisie","Au moins un receveur sud-asiatique voisin","Capitales en North/South India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + copie du setup 1776 courant","NO - harnais non cree en C0","YES selon le code actuel; incoherent avec l'intention","Aucun noyau Bombay reel; West Bengal ne remplace pas explicitement ce noyau","Sujets directs eligibles deviennent independants","Reprises prioritaires puis redistribution; comportement sans Bombay a relever","Large radicals hindous/sunnites dans les states BIC restants de region_south_india","Himalaya; STATE_PASHTUNISTAN; STATE_QUETTA","sepoy_mutiny_events.2; STATE_WEST_BENGAL; STATE_BOMBAY; region_south_india; while","Option disponible; aucun owner nul; resultat complet documente","Option indisponible malgre garde; crash; state sans owner; boucle infinie","Le setup 1776 courant est naturellement proche de ce scenario"
"F-1","2.a representative","Valider l'exception Himalaya","BIC (MANDATORY)","GBR (MANDATORY pour 2.a)","Au moins un state BIC dont la strategic region est region_himalayas","States de controle hors scenario selon harnais","Aucun sujet obligatoire","Au moins un receveur sud-asiatique valide voisin du state Himalaya","Capital du receveur dans une zone admise","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + harnais d'exception frontaliere","NO - harnais non cree en C0","YES pour 2.a","Selon option; aucun noyau durable en 2.a","Selon sujets eventuels","State Himalaya transfere au receveur voisin ou reste dans le reliquat GBR si aucun receveur","Aucun pour 2.a","region_himalayas","sepoy_mutiny_events.2; region_himalayas; random_scope_state; set_state_owner; Invalid scope","Exception incluse; ownership valide; boucle terminee","State ignore; owner nul; transfert vers pays ineligible; erreur de scope","Repeter plus tard sur B/C/E seulement si 2.a revele une divergence"
"F-2","2.a representative","Valider l'exception Pashtunistan","BIC (MANDATORY)","GBR (MANDATORY pour 2.a)","Un region state BIC dans STATE_PASHTUNISTAN","States de controle hors scenario selon harnais","Aucun sujet obligatoire","Au moins un receveur sud-asiatique valide voisin","Capital du receveur dans North/South India; Pashtunistan ou Quetta","Aucun scope entrant; prince_scope local","Aucune","Copie jetable + harnais d'exception frontaliere","NO - harnais non cree en C0","YES pour 2.a","Selon option; aucun noyau durable en 2.a","Selon sujets eventuels","Pashtunistan traite par l'exception explicite puis ownership valide","Aucun pour 2.a","STATE_PASHTUNISTAN","sepoy_mutiny_events.2; STATE_PASHTUNISTAN; random_scope_state; set_state_owner; Invalid scope","Exception prise en compte; aucun owner nul; boucle terminee","State ignore; owner nul; erreur de scope; boucle infinie","Ne pas remplacer l'exception par geographic_region_india"
