diagnostic_type,normalized_message,suspected_api,relative_path,line,script_line,object,object_start,object_type,structural_depth,raw_excerpt,fresh_count,source_file_present,source_object_present,vanilla_file_present,vanilla_object_present,fork_syntax,source_syntax,vanilla_syntax,protected_area,existing_block,existing_report,current_classification,family_id,generation,log_file,log_line
parser,Unexpected token: commander_leader_chance,commander_leader_chance,common/interest_groups/00_landowners.txt,710,707,FILE_SCOPE,1,interest_group,1,commander_leader_chance = {,1,false,false,true,true,commander_leader_chance = {,FILE_ABSENT,limit = {,,common/interest_groups,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_C,SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS,parser,debug.log,2532
parser,Unexpected token: executive_leader_chance,executive_leader_chance,common/interest_groups/00_landowners.txt,716,714,FILE_SCOPE,1,interest_group,1,executive_leader_chance = {,1,false,false,true,true,executive_leader_chance = {,FILE_ABSENT,value = 0.01,,common/interest_groups,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_C,SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS,parser,debug.log,2533
parser,Unknown trigger type: is_ruler,is_ruler,common/dynamic_country_names/00_dynamic_country_names.txt,4189,4187,dynamic_country_name,4175,dynamic_country_name,5,is_ruler = yes,1,true,true,true,true,is_ruler = yes,is_ruler = yes,is_ruler_of_own_country = yes,EXISTING_PROTECTED_CONCURRENT_WORK,common/dynamic_country_names,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2535
parser,Unknown trigger type: is_heir,is_heir,events/acceptance_events.txt,32,28,acceptance_events.1,3,event,3,is_heir = yes,1,true,true,true,true,is_heir = yes,is_heir_of_own_country = yes,is_heir_of_own_country = yes,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_HEIR,parser,debug.log,2537
parser,Unknown trigger type: is_ruler,is_ruler,events/amazon_events.txt,294,288,amazon.4,266,event,3,is_ruler = no,1,true,true,true,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler_of_own_country = no,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2538
parser,Unknown trigger type: is_ruler,is_ruler,events/amazon_events.txt,313,308,amazon.4,266,event,4,is_ruler = no,1,true,true,true,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler_of_own_country = no,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2539
parser,Unknown trigger type: is_heir,is_heir,events/boxer_rebellion_events.txt,234,233,boxer_rebellion_events.3,177,event,6,is_heir = yes,1,true,true,true,true,is_heir = yes,is_heir_of_own_country = yes,is_heir_of_own_country = yes,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_HEIR,parser,debug.log,2540
parser,Unknown trigger type: is_ruler,is_ruler,events/character_events.txt,136,133,character_events.3,107,event,3,is_ruler = no,1,true,true,true,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler_of_own_country = no,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2541
parser,Unknown trigger type: is_ruler,is_ruler,events/character_events.txt,149,146,character_events.3,107,event,4,is_ruler = no,1,true,true,true,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler_of_own_country = no,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2542
parser,Unknown trigger type: is_ruler,is_ruler,events/character_events.txt,160,159,character_events.3,107,event,4,is_ruler = no,1,true,true,true,true,is_ruler = no,is_ruler_of_own_country = no,is_ruler_of_own_country = no,,events,docs/reports/hotfix/_index/HOTFIX_6A26_GLOBAL_NON_PINNING_DIAGNOSTIC_REINDEX_AND_API_FAMILY_AUDIT.md,FAMILY_B,API_IS_RULER,parser,debug.log,2543
