TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,regulated_small_arms,TIER,KEEP,HIGH,ESTABLISHED,Prerequisites historically justified/recommended: scientific_fortification_siegecraft.,"Unlocks: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry; Modifier: no","Armes réglementaires et capacité d'approvisionnement militaire centralisé attestées, au moins dans les principaux arsenaux/centres.",https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,light_infantry_tactics,TIER,KEEP,MEDIUM,SECTORAL,Prerequisites historically justified/recommended: regulated_small_arms.,Unlocks: —; Modifier: yes: unit_experience_gain_mult,Tactiques d'infanterie légère présentes ou émergentes dans les armées régulières; nœud frontière à traiter comme sectoriel.,https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,standardized_field_artillery,TIER,KEEP,MEDIUM,SECTORAL,Prerequisites historically justified/recommended: regulated_small_arms.,Unlocks: PM:pm_cannons; Modifier: no,Artillerie de campagne régulière et systèmes de pièces organisés attestés; nœud frontière mais plausible en 1776.,https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,distillation,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: PM:pm_pot_stills, PM:pm_spiced_food_preparations; Modifier: no",La distillation est une technique préindustrielle établie; aucun indice ne justifie de retirer ce socle à Sweden.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry; Modifier: no","Le nœud représente un socle agricole/élevage amélioré, compatible avec les pratiques établies de Sweden en 1776.",https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,organized_textile_production,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: PM:pm_craftsman_sewing, bâtiment:building_textile_mill; Modifier: no",Production textile artisanale/proto-industrielle établie; le nœud ne suppose pas encore la mécanisation britannique.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,shaft_mining,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry; Modifier: no",Exploitation minière en puits ou industrie extractive organisée attestée à l'échelle pertinente de Sweden.,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,international_relations,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,Unlocks: —; Modifier: no,Capacité diplomatique et relations extérieures institutionnalisées établies en 1776.,https://www.kva.se/en/about-us/history/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,codified_practical_knowledge,TIER,KEEP,HIGH,ESTABLISHED,"Prerequisites historically justified/recommended: institutionalized_scientific_exchange, periodical_print_networks.",Unlocks: —; Modifier: no,"Savoirs administratifs et pratiques codifiés plausibles, mais la chaîne de prérequis doit être historiquement vérifiée plutôt que complétée mécaniquement.",https://www.kva.se/en/about-us/history/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,systematic_administrative_statistics,TIER,KEEP,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance; Modifier: yes: country_institution_home_affairs_max_investment_add, state_incorporation_speed_mult, state_tax_capacity_add",Appareil administratif capable de collecte/usage régulier de données; le degré de diffusion varie fortement selon les territoires.,https://www.kva.se/en/about-us/history/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,specialized_technical_academies,EXPLICIT,KEEP,HIGH,SECTORAL,Prerequisites historically justified/recommended: institutionalized_scientific_exchange.,Unlocks: bâtiment:building_university; Modifier: no,Les institutions minières/scientifiques et la formation technique spécialisée sont anciennes; le Bergskollegium et les milieux savants constituent un équivalent sectoriel crédible du nœud.,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,colonization,EXPLICIT,REMOVE,HIGH,ABSENT,Prerequisites historically justified/recommended: international_relations.,"Unlocks: bâtiment:building_suez_canal, loi:law_colonial_exploitation, loi:law_colonial_resettlement, loi:law_extraction_economy, loi:law_frontier_colonization; Modifier: yes: country_infamy_generation_against_unrecognized_mult, country_institution_colonial_affairs_max_investment_add","Le gameplay du nœud implique un appareil colonial actif. Au 1er janvier 1776 la Suède ne possède pas encore Saint-Barthélemy (acquise en 1784); les projets coloniaux de 1776 sont des projets, pas une capacité coloniale établie.",https://sok.riksarkivet.se/sbl/Presentation.aspx?forceOrdinarySite=true&id=8240,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,urbanization,TIER,KEEP,MEDIUM,ABSTRACT,No direct prerequisite.,"Unlocks: bâtiment:building_construction_sector, bâtiment:building_urban_center; Modifier: no",Nœud abstrait de compatibilité débloquant centres urbains/construction; présence de villes et de métiers de construction suffisante.,https://www.kva.se/en/about-us/history/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,enclosed_dock_systems,ABSENT,ADD,HIGH,ESTABLISHED,No direct prerequisite.,Unlocks: bâtiment:building_port; Modifier: no,La marine suédoise dispose d’infrastructures navales permanentes; ce parent est cohérent avec les chantiers et bases de la flotte.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,scientific_fortification_siegecraft,ABSENT,ADD,MEDIUM,ESTABLISHED,No direct prerequisite.,"Unlocks: bâtiment:building_barrack, bâtiment:building_naval_fortification; Modifier: no",L’artillerie et les fortifications suédoises sont institutionnalisées; ce parent est historiquement plus plausible que de laisser regulated_small_arms sans lui.,https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,state_dockyard_systems,ABSENT,ADD,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: bâtiment:building_naval_administration, bâtiment:building_shipyard; Modifier: yes: country_admiral_rank_impact_mult",Chantiers et administration navale d’État sont clairement établis; Chapman travaille dans un système public de construction navale.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,scientific_naval_architecture,ABSENT,ADD,HIGH,ESTABLISHED,Prerequisites historically justified/recommended: state_dockyard_systems.,Unlocks: —; Modifier: no,Chapman publie Architectura Navalis Mercatoria en 1768 et applique une approche mathématique/systématique à la construction navale suédoise.,https://www.sjohistoriska.se/en/explore/collections/archives/ritningar/fredrik-henrik-af-chapman,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,armament_standardization_inspection,ABSENT,REVIEW,MEDIUM,SECTORAL,"Prerequisites historically justified/recommended: regulated_small_arms, standardized_field_artillery.",Unlocks: —; Modifier: no,"La centralisation de l’artillerie et des établissements militaires rend plausible une standardisation/inspection, mais les preuves disponibles ici ne documentent pas assez précisément un système national de contrôle comparable au nœud.",https://www.artillerimuseet.se/sv-SE/english-deutsch/english/history-of-artillery-45539508,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,applied_mineralogy,ABSENT,ADD,HIGH,SECTORAL,Prerequisites historically justified/recommended: shaft_mining.,"Unlocks: bâtiment:building_gold_field, bâtiment:building_gold_mine, bâtiment:building_phosphate_mine; Modifier: no","Le Bergskollegium possède laboratoire chimique, chambre d’essai et administration des mines; la minéralogie appliquée est sectoriellement très forte.",https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection,https://www.jernkontoret.se/en/the-steel-industry/the-history-of-swedish-steel-industry/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,institutionalized_scientific_exchange,ABSENT,ADD,HIGH,ESTABLISHED,No direct prerequisite.,"Unlocks: loi:law_freedom_of_conscience; Modifier: yes: country_diplomatic_play_maneuvers_mult, country_influence_mult, country_tech_spread_mult","L’Académie royale des sciences existe depuis 1739, publie et diffuse activement les connaissances utiles.",https://www.kva.se/en/about-us/history/,https://www.nrm.se/engelska/in-english/collections/geological-collections---minerals/history-of-our-collections/the-bergskollegium-collection
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,periodical_print_networks,ABSENT,ADD,MEDIUM,ESTABLISHED,No direct prerequisite.,"Unlocks: loi:law_censorship, loi:law_religious_schools; Modifier: yes: country_authority_mult, country_voting_power_mult",L’Académie diffuse des publications et la Suède dispose d’un espace imprimé périodique suffisant pour le sens gameplay du nœud.,https://www.kva.se/en/about-us/history/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,systematic_population_registration,ABSENT,ADD,HIGH,ESTABLISHED,Prerequisites historically justified/recommended: systematic_administrative_statistics.,"Unlocks: PM:pm_horizontal_drawer_cabinets, loi:law_per_capita_based_taxation; Modifier: no",Tabellverket fonctionne depuis 1749 et une commission permanente depuis 1756; c’est un des cas les plus solides de registre/statistique de population avant 1776.,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open,https://www.kva.se/en/about-us/history/
SWE,Sweden,Northern Europe,Sweden,tier_4,KEEP_TIER,tier_4,systematic_cadastral_surveying,ABSENT,ADD,HIGH,ESTABLISHED,Prerequisites historically justified/recommended: systematic_administrative_statistics.,Unlocks: —; Modifier: no,La Suède dispose depuis le XVIIe siècle d’un appareil cartographique cadastral et de registres géométriques détaillés.,https://www.lantmateriet.se/sv/kartor/vara-karttjanster/Historiska-kartor/Arkiven-som-ingar/Lantmateristyrelsens-arkiv---LMS/,https://www.scb.se/en/About-us/main-activity/history-of-statistics-sweden/?menu=open
DEN,Denmark,Northern Europe,Denmark proper,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,KEEP,HIGH,ESTABLISHED,Prerequisites historically justified/recommended: scientific_fortification_siegecraft.,"Unlocks: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry; Modifier: no","Armes réglementaires et capacité d'approvisionnement militaire centralisé attestées, au moins dans les principaux arsenaux/centres.",https://lex.dk/S%C3%B8v%C3%A6rnets_historie,https://royalacademy.dk/tidslinje/
