requirement_id,source_markdown_section,technology_id,visible_unlock_or_gate,object_type,object_id,current_display,current_effective_gate,expected_display,expected_effective_gate,exact_current_path,exact_future_path,prior_design_authority,new_user_authority,status,proposed_action,override_architecture,evidence,notes,post_tech6b3d_authoritative_update
P01,ARBRE PRODUCTION,mechanized_workshops,+10 economy-of-scale cap,MODIFIER,building_economy_of_scale_level_cap_add,not visible because owner technology is hidden,mechanized_workshops can_research=no,visible on a researchable owner,+10 on a researchable technology,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,,TECH2H;TECH3B compatibility alias,Explicit current user request,VISIBLE_DISPLAY_BUG,Choose an existing researchable owner before moving the modifier.,REPLACE_PATH_TECH_OBJECT_EDIT,Exact modifier is +10 on hidden mechanized_workshops.,Owner technology is not specified; human decision required.,
P02,ARBRE PRODUCTION,mechanical_tools,prerequisite,TECHNOLOGY,mechanical_tools,parent precision_boring,precision_boring,puddling_and_rolling shown as prerequisite,add puddling_and_rolling parent,common/technology/technologies/10_tech3a_production.txt,common/technology/technologies/10_tech3a_production.txt,TECH4C reconstructed graph,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Add exact prerequisite edge puddling_and_rolling -> mechanical_tools.,REPLACE_PATH_TECH_OBJECT_EDIT,Both exact IDs resolved in effective tree.,Mechanical tools currently era 5.,
P03,ARBRE PRODUCTION,coal_gasification,gas streetlights,PRODUCTION_METHOD,pm_gas_streetlights,ungated unlock list,empty unlocking_technologies,shown under coal_gasification,coal_gasification,common/production_methods/06_urban_center.txt,common/production_methods/06_urban_center.txt,TECH5B2 current targeted gate audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Set exact PM gate to coal_gasification.,SAME_PATH_SHADOW_MINIMAL,Exact empty field inspected.,True gameplay gate and UI unlock responsibility coincide.,
P04,ARBRE PRODUCTION,mechanized_spinning,dye workshops,PRODUCTION_METHOD,pm_dye_workshops,shown under organized_textile_production,organized_textile_production,shown under mechanized_spinning,mechanized_spinning,common/production_methods/01_industry.txt,common/production_methods/01_industry.txt,TECH5B2 current gate,Explicit current user override,NEW_USER_OVERRIDE,Replace exact PM gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact object and current field inspected.,User says early mechanized spinning.,
P05,ARBRE PRODUCTION,industrial_spinning,sewing machines,PRODUCTION_METHOD,pm_sewing_machines,shown under mechanized_spinning,mechanized_spinning,shown under industrial_spinning,industrial_spinning,common/production_methods/01_industry.txt,common/production_methods/01_industry.txt,TECH2H/TECH5B2 prior assignment,Explicit current user override,NEW_USER_OVERRIDE,Replace exact PM gate.,EXISTING_SHADOW_OBJECT_EDIT,Exact object and current field inspected.,New user instruction supersedes prior assignment.,
P06,ARBRE PRODUCTION,,late electric-sewing technology,PROPOSED_TECHNOLOGY,,no dedicated technology,not applicable,new late technology from industrial_spinning + electrical_capacitors,two exact parent IDs; new technology ID not yet authorized,,,No prior exact ID,Explicit request to create later,CONFLICT_REQUIRES_USER_DECISION,"Define name, ID, era, category and exact existing technology file in a design/implementation phase.",NO_PATH_OR_ID_INVENTED,Parent IDs industrial_spinning and electrical_capacitors exist.,No unknown existing ID; proposed object intentionally remains unnamed.,
P07,ARBRE PRODUCTION,electrical_capacitors,electric sewing machines,PRODUCTION_METHOD,pm_electric_sewing_machines,shown under electrical_capacitors,electrical_capacitors,shown under future late technology,future technology not yet named,common/production_methods/01_industry.txt,,TECH5B2 current gate,Explicit current user request,CONFLICT_REQUIRES_USER_DECISION,Retarget only after P06 receives an exact ID and path.,DEFERRED_OBJECT_EDIT,Exact current PM and gate inspected.,Cannot prepare implementation target yet.,
P08,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_rye_farm,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
P09,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_wheat_farm,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
P10,ARBRE PRODUCTION,improved_husbandry,organized farm construction,BUILDING,building_rice_farm,shown under enclosure,enclosure,shown under improved_husbandry,improved_husbandry,common/buildings/02_agro.txt,common/buildings/02_agro.txt,TECH5A building responsibility audit,Explicit current user override,GAMEPLAY_GATE_CORRECTION_REQUIRED,Create a minimal same-path building shadow and retarget only this building gate.,NEW_SAME_PATH_SHADOW_FROM_11311,Exact vanilla 1.13.11 object and gate inspected.,Fork currently inherits this file.,
