Owner_TAG,State_ID,Building_ID,Target_Level,Required_Technology,Country_Currently_Has_Tech,Conflict_Type,Recommended_Action,Reason,Historical_Source
AUS,STATE_AUSTRIA,building_barrack,2,organized_military_establishments,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Imperial capital and standing army concentration justify a major organized military establishment.,https://www.habsburger.net/en/chapter/military-reforms-under-maria-theresa
AUS,STATE_BOHEMIA,building_glassworks,3,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Exceptional export-oriented glass district merits level 3.,https://english.radio.cz/crystal-valley-week-turns-liberec-a-showcase-bohemian-glass-8895414
AUS,STATE_SLOVENIA,building_naval_administration,1,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Conservative one-level naval administration seed.,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/
AUS,STATE_SLOVENIA,building_port,3,enclosed_dock_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,"Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 3 for a major international commercial port, below only exceptional world-port scale.",https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/; https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384
AUS,STATE_SLOVENIA,building_shipyard,1,state_dockyard_systems,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | One level captures an identifiable maritime industrial cluster without equating it to Venice.,https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384
BAD,STATE_BADEN,building_tooling_workshop,1,organized_workshops,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | One conservative level.,https://www.schule-bw.de/faecher-und-schularten/gesellschaftswissenschaftliche-und-philosophische-faecher/landeskunde-landesgeschichte/module/epochen/technikgeschichte/technikgeschichte-bw/index.html
BAV,STATE_BAVARIA,building_food_industry,1,traditional_food_processing,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | One level as an aggregate of established processing trades.,https://www.britannica.com/place/Munich/Economy
BEO,STATE_FLANDERS,building_construction_sector,1,organized_financial_institutions,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is based on regional specialization; trade kept below Amsterdam/London scale.,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/
BEO,STATE_FLANDERS,building_food_industry,1,traditional_food_processing,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is based on regional specialization; trade kept below Amsterdam/London scale.,https://www.persee.fr/doc/rbph_0035-0818_2003_num_81_4_4777
BEO,STATE_FLANDERS,building_paper_mill,1,traditional_papermaking,NO,BUILDING_GATE_DISTRIBUTION_CONFLICT,KEEP_BUILDING_AND_REVIEW,Regional research explicitly marked Tech_Distribution_Review=YES; historical target is retained. | Level 1 is based on regional specialization; trade kept below Amsterdam/London scale.,https://www.persee.fr/doc/rbph_0035-0818_2003_num_81_4_4777
