TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,"Missing game-tree prerequisite(s): institutionalized_scientific_exchange, periodical_print_networks. Do not auto-add them solely to close the tree; treat as historical/tree abstraction unless independently justified.",Audit flag: NO_DIRECT_GAMEPLAY_UNLOCK,"The node is a broad, no-direct-unlock abstraction for codified administrative/practical knowledge. Literate state/corporate practice is plausible, but its missing print/scientific-exchange parents should not be granted automatically.",https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,distillation,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: PM:pm_pot_stills, PM:pm_spiced_food_preparations",Pot-still distillation and related artisanal food processing were long-established before 1776; the node does not require later fractional/industrial distillation.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,improved_husbandry,TIER,KEEP,MEDIUM,ESTABLISHED,,"Unlocks: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry",The gameplay node is the pre-mechanized agricultural base and farm/livestock organization. It is compatible with eighteenth-century agriculture; later tools and crop innovations remain separate frontier nodes.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,international_relations,TIER,KEEP,HIGH,ESTABLISHED,,Audit flag: NO_DIRECT_GAMEPLAY_UNLOCK,The polity participated in an eighteenth-century diplomatic order. The node has no direct gameplay unlock and does not imply modern international institutions.,https://www.cambridge.org/core/journals/central-european-history/article/abs/international-migration-germany-in-the-eighteenth-century/5D623136C2A329946EBC9B4607F2D208,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,light_infantry_tactics,TIER,REVIEW,MEDIUM,FRONTIER,Prerequisite(s) satisfied in the recommended setup: regulated_small_arms.,Modifier: yes: unit_experience_gain_mult,Light-infantry doctrine was real in 1776 but uneven. The generic tier does not prove that this minor polity institutionalized the practice.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,organized_textile_production,TIER,KEEP,MEDIUM,ESTABLISHED,,"Unlocks: PM:pm_craftsman_sewing, bâtiment:building_textile_mill","Urban and rural textile crafts/manufactures were established in the region before 1776; this node represents proto-industrial organization, not factory mechanization.",https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,regulated_small_arms,TIER,REVIEW,MEDIUM,SECTORAL,Missing game-tree prerequisite(s): scientific_fortification_siegecraft. Do not auto-add them solely to close the tree; treat as historical/tree abstraction unless independently justified.,"Unlocks: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry","A generic tier should not imply Prussian-style regulated arms production for every minor state, free city, Swiss canton or Italian duchy. Local arsenals and procurement need tag-specific proof.",https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,shaft_mining,TIER,REVIEW,MEDIUM,SECTORAL,,"Unlocks: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry",The generic tier grants a full mine-building package. The regional literature does not justify assuming comparable shaft-mining capacity for every small state or city-state; retain only after tag-specific confirmation.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,standardized_field_artillery,TIER,REVIEW,MEDIUM,FRONTIER,Prerequisite(s) satisfied in the recommended setup: regulated_small_arms.,Unlocks: PM:pm_cannons,The node is a 1776-frontier capability and should not be inherited automatically by every tier-4 polity; specific artillery organization must be demonstrated.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,systematic_administrative_statistics,TIER,KEEP,MEDIUM,ABSTRACT,,"Unlocks: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance | Modifier: yes: country_institution_home_affairs_max_investment_add, state_incorporation_speed_mult, state_tax_capacity_add","The polity had fiscal/administrative record systems, but the scale of “state statistics” varied sharply. Keep the gameplay administration access without reading it as Prussian/Austrian-level bureaucracy.",https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
ANH,Anhalt,Central Europe / German world / Italy,Anhalt,tier_4,REPLACE_WITH_EXPLICIT_SETUP,,urbanization,TIER,KEEP,HIGH,ABSTRACT,,"Unlocks: bâtiment:building_construction_sector, bâtiment:building_urban_center | Audit flag: COMPATIBILITY_EXCEPTION",The attached technology audit identifies this as a compatibility alias that unlocks basic construction/urban-center gameplay. Keeping it is not a historical claim that the polity had nineteenth-century urbanization.,https://www.amrevmuseum.org/germany-and-the-american-revolution,https://www.cambridge.org/core/books/abs/cultures-of-power-in-europe-during-the-long-eighteenth-century/military-culture-in-the-reich-c-16801806/F52FD6774258813E7A482606C91377B9
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,"Missing game-tree prerequisite(s): institutionalized_scientific_exchange, periodical_print_networks. Do not auto-add them solely to close the tree; treat as historical/tree abstraction unless independently justified.",Audit flag: NO_DIRECT_GAMEPLAY_UNLOCK,"The node is a broad, no-direct-unlock abstraction for codified administrative/practical knowledge. Literate state/corporate practice is plausible, but its missing print/scientific-exchange parents should not be granted automatically.",https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,distillation,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: PM:pm_pot_stills, PM:pm_spiced_food_preparations",Pot-still distillation and related artisanal food processing were long-established before 1776; the node does not require later fractional/industrial distillation.,https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry",The gameplay node is the pre-mechanized agricultural base and farm/livestock organization. It is compatible with eighteenth-century agriculture; later tools and crop innovations remain separate frontier nodes.,https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,international_relations,TIER,KEEP,HIGH,ESTABLISHED,,Audit flag: NO_DIRECT_GAMEPLAY_UNLOCK,The polity participated in an eighteenth-century diplomatic order. The node has no direct gameplay unlock and does not imply modern international institutions.,https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,light_infantry_tactics,TIER,KEEP,HIGH,FRONTIER,Prerequisite(s) satisfied in the recommended setup: regulated_small_arms.,Modifier: yes: unit_experience_gain_mult,"Professional armies in this polity/region used differentiated infantry and specialist formations by the mid-eighteenth century; the node is retained as a frontier military practice, not a universal tactical superiority claim.",https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
AUS,Austria,Central Europe / German world / Italy,Habsburg Central Europe,tier_4,KEEP_TIER,,organized_textile_production,TIER,KEEP,MEDIUM,ESTABLISHED,,"Unlocks: PM:pm_craftsman_sewing, bâtiment:building_textile_mill","Urban and rural textile crafts/manufactures were established in the region before 1776; this node represents proto-industrial organization, not factory mechanization.",https://ww1.habsburger.net/en/chapters/theresian-reforms-battle-koeniggraetz,https://doi.org/10.12987/yale/9780300178586.003.0005
