family,branch,tech_id,era,current_prerequisites,current_successors,chronological_order_hint,role_in_family,notes
agricultural_modernization,Production,sericulture,era_7,,,ancient; maturity long-established before 1836,ROOT,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
arts_visual_media,Society,realism,era_7,romanticism,camera,1840s; maturity 1840-1880,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
arts_visual_media,Society,romanticism,era_7,institutionalized_scientific_exchange,realism,1790s; maturity 1800-1840,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
food_industrialization,Production,baking_powder,era_7,fractional_distillation,,1840s; maturity 1850-1875,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
industrial_explosives,Production,nitroglycerin,era_7,industrial_acids,dynamite,1847; maturity 1860-1880,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
nationalism_imperialism,Society,nationalism,era_7,periodical_print_networks;national_sovereignty,civilizing_mission;corporatism;organized_sports;pan-nationalism,late 18th century; maturity 1830-1870,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
public_health,Society,quinine,era_7,colonization;pharmaceuticals,civilizing_mission,1820s isolation; maturity 1850-1900 mass use,MERGE_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
sports_mass_culture,Society,organized_sports,era_7,nationalism,,mid-19th century; maturity 1870-1910,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steam_power,Production,watertube_boiler,era_7,high_pressure_steam,rotary_valve_engine,1860s; maturity 1870-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
steel_metallurgy,Production,bessemer_process,era_7,hot_blast_smelting,open_hearth_process;reinforced_concrete,1855; maturity 1860-1880,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
administration_surveillance,Society,identification_documents,era_8,central_statistical_offices,central_planning,19th century; maturity 1870-1914,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
agricultural_modernization,Production,improved_fertilizer,era_8,intensive_agriculture,nitrogen_fixation,mid-19th century; maturity 1860-1900,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
agricultural_modernization,Production,mechanized_farming,era_8,threshing_machine,,early 19th century; maturity 1850-1900,DEAD_END,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
artillery,Military,breech_loading_artillery,era_8,rifling;shell_gun,handcranked_machine_gun;monitor_tech,1850s; maturity 1860-1885,BRANCH_NODE,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
arts_visual_media,Society,camera,era_8,realism,film,1830s; maturity 1850-1880,NORMAL,Family assignment is preparatory and should be validated during TECH-4B before layout changes.
