TAG,Country,Region,Category,Technology_ID,Classification,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Status,Tree_Issue,Classification_Issue,Reason,Source_1,Source_2
GBR,Great Britain,Western Europe,PRODUCTION,coke_smelting,A,ABSENT,ADD,HIGH,ESTABLISHED,ADD_WITH_PREREQUISITES,Historically plausible parent(s) also require addition: organized_forestry.,,Coke-smelted iron had been established at Coalbrookdale since 1709 and was a real British industrial capability by 1776.,https://historicengland.org.uk/campaigns/100-places/industry-trade-commerce/,https://collection.sciencemuseumgroup.org.uk/objects/co50900/newcomen-atmospheric-engine
GBR,Great Britain,Western Europe,PRODUCTION,distillation,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Distillation was a mature early-modern craft and commercial process by 1776.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,improved_husbandry,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Improved livestock husbandry and organized animal agriculture were established pre-1776; this does not imply later selective-breeding methods.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,industrial_acids,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,Lead-chamber sulfuric-acid manufacture was commercialized in Britain before 1776 and became an important early chemical industry.,https://www.persee.fr/doc/pharm_0035-2349_1973_num_61_217_8414_t1_0458_0000_1,https://historicengland.org.uk/campaigns/100-places/industry-trade-commerce/
GBR,Great Britain,Western Europe,PRODUCTION,organized_forestry,A,ABSENT,ADD,MEDIUM,SECTORAL,CLOSED,,,"Evidence supports organized/rationalized forest management or state/premium-driven timber supply in specific sectors. This decision uses the revised node definition, not mere wood cutting.",https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,organized_textile_production,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Organized textile workshops/manufactures were a mature preindustrial capability; this is distinct from mechanized spinning or power weaving.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,shaft_mining,A,PRESENT,KEEP,HIGH,ESTABLISHED,CLOSED,,,Deep/shaft mining and organized mineral extraction were established in important domestic mining districts before 1776.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,sugar_refining,A,ABSENT,REVIEW,HIGH,ABSTRACT,ADD_WITH_PREREQUISITES,Historically plausible parent(s) also require addition: traditional_food_processing.,CLASSIFICATION_TOO_EARLY,"Traditional sugar refining existed in the eighteenth century, but this gameplay node directly unlocks vacuum-pan, steam-evaporation, centrifuge and beet-sugar methods that are mainly nineteenth-century. The classification is too early for the node as implemented.",https://www.scielo.org.mx/scielo.php?pid=S0187-893X2012000200010&script=sci_arttext,https://www.sugar.org/sugar/history/
GBR,Great Britain,Western Europe,PRODUCTION,traditional_food_processing,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,Organized traditional food processing was a mature urban/rural manufacturing activity by 1776.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,PRODUCTION,traditional_furniture_making,A,ABSENT,ADD,HIGH,ESTABLISHED,CLOSED,,,Organized furniture/cabinetmaking workshops were established pre-1776. Under the revised tree this craft is independent of organized_forestry.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
