tag,country_name,region,standing_force_establishment,standing_force_effective,infantry_personnel,cavalry_personnel,artillery_personnel,engineer_or_specialist_personnel,garrison_personnel,colonial_or_company_personnel,other_permanent_personnel,infantry_organizational_units,cavalry_organizational_units,artillery_batteries_or_units,artillery_pieces,militia,levy,reserve,mobilization_potential,regular_force_definition,irregular_force_definition,date_of_evidence,evidence_window,source_1,source_2,source_3,source_disagreement,recommended_historical_range,identity_confidence,quantitative_confidence,composition_confidence,research_status,notes
ACE,Aceh,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
AGC,Angoche,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
AIT,Ait Abbas,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
ALK,Alaska,Americas,,,,,,,,,,,,,,,,,,The fork tag does not map cleanly to an independent 1776 national military establishment.,Any local militia/garrison/imperial force must be attributed to the historical sovereign/colonial structure before conversion.,,,,,,,,HIGH,VERY_LOW,VERY_LOW,STRUCTURAL_DEFER,Russian-American Company had not yet been founded; the fork's centralized Alaska tag is not a clean 1776 sovereign military polity.
ANH,Anhalt,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
ANK,Ankole,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
ARB,Arabistan,Middle East / North Africa,,,,,,,,,,,,,,,,,,Central/household/paid troops where identifiable.,"Tribal, provincial, feudal/household and emergency campaign contingents must be separated from permanent establishment.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No exact Jan-1776 total established for this polity in this pass; do not infer standing strength from a single campaign army.
ASH,Ashanti,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Centralized Ashanti state under Osei Kwadwo with expanding bureaucratic control and military capacity.,Provincial/tributary mobilization not reducible to a fixed professional establishment.,Osei Kwadwo reign 1762–77,Directly covers target date,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/ashanti-question-and-the-british-eighteenthcentury-origins/31ECA3E746C70147090FCA23AF454AC4,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/aspects-of-bureaucratization-in-ashanti-in-the-nineteenth-century/5874B34DEB4C74775774A02B7488563F,,,QUALITATIVE_ONLY; no defensible 1776 national personnel total located.,HIGH,VERY_LOW,LOW,QUALITATIVE_ONLY,Strong regional power is historically supported; exact conversion must use relative-scale modeling in 2D-2.
AUS,Austria,Europe,"220,000",,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",1777,1777 (one year after target),https://journals.sagepub.com/doi/10.1177/0968344513483071,,,Near-date 1777 figure; no exact 1 Jan 1776 strength in the cited table.,"220,000 near-date establishment; allow a narrow 1776 adjustment only if 2D-2 finds country-specific evidence.",HIGH,HIGH,LOW,QUANTITATIVE_HIGH_CONFIDENCE,"Use as establishment-scale anchor, not a direct V3 target. Composition requires separate approximation."
AWA,Awadh,South Asia,,,,,,,,,,,,,,,,,,Permanent/household/core troops where identifiable; European-drilled infantry and artillery were spreading after 1750.,"Mercenary war bands, cavalry retainers, jagirdar/tributary contingents and campaign levies must remain separate from permanent strength.",c.1750–1800 regional framework,Regional structural evidence; exact 1776 national total not located in this pass.,https://www.cambridge.org/core/books/abs/asian-military-revolution/military-revolution-in-south-asia-17501850/4CE7B83571AA90662C44497252E8F42A,https://www.cambridge.org/core/journals/modern-asian-studies/article/abs/warriors-and-states-military-labour-in-southern-india-circa-17501800/6D1E15184371BC18D75954F0E2E7A865,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact Jan-1776 national total located; retain qualitative-only rather than fabricate precision.
BAD,Baden,Europe,,,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,No defensible exact 1775–77 total located for this smaller polity in this research pass; qualitative status retained.
BAL,Bali,Southeast Asia,,,,,,,,,,,,,,,,,,Court/core troops and permanent garrisons where documented.,"Mandala/tributary levies, manpower corvée, local retainers, riverine and mercenary forces vary by polity.",15th–19th c. regional synthesis,Regional structural evidence,https://www.cambridge.org/core/books/abs/cambridge-history-of-war/warfare-in-southeast-asia-14481851/E1F8804B3EFF6CCFE3FF6861C83C27FF,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact Jan-1776 strength not established; Southeast Asian military systems should not be normalized to a European regiment model.
BAV,Bavaria,Europe,"8,000",,,,,,,,,,,,,,,,,Permanent crown/state establishment; garrison and field establishment should be distinguished where sources allow.,"Militia, provincial levies and wartime auxiliaries excluded from standing total unless source explicitly includes them.",1777,1777 (one year after target),https://journals.sagepub.com/doi/10.1177/0968344513483071,,,Near-date 1777 figure; no exact 1 Jan 1776 strength in the cited table.,"8,000 near-date establishment; allow a narrow 1776 adjustment only if 2D-2 finds country-specific evidence.",HIGH,HIGH,LOW,QUANTITATIVE_HIGH_CONFIDENCE,"Use as establishment-scale anchor, not a direct V3 target. Composition requires separate approximation."
BEN,Benin,Sub-Saharan Africa / Indian Ocean,,,,,,,,,,,,,,,,,,Court/royal retainers and permanent specialist forces where demonstrable.,"Provincial, tributary, cavalry, slave-soldier, clan/lineage or campaign levies must not be counted as permanent without evidence.",,,,,,,,HIGH,LOW,LOW,QUALITATIVE_ONLY,Exact 1776 personnel totals are generally poorly documented in accessible scholarly material; qualitative status retained rather than inventing headcounts.
