technology_id,category,era_before,era_after,prerequisites_before,prerequisites_after,change_reason,gameplay_risk,expected_layout_effect
anarchism,society,era_9,era_8,egalitarianism;early_socialism_cooperativism,egalitarianism;early_socialism_cooperativism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
art_silk,production,era_11,era_10,aniline,aniline,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
automatic_bottle_blowers,production,era_11,era_10,vulcanization,vulcanization,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
bolt_action_rifles,military,era_11,era_10,repeaters,repeaters,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
breech_loading_artillery,military,era_9,era_8,rifling;shell_gun,rifling;shell_gun,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
camera,society,era_9,era_8,realism,realism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
central_planning,society,era_11,era_10,identification_documents,identification_documents,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
centralization,society,era_7,era_7,tech_bureaucracy,tech_bureaucracy;nationalism,Connect the temporary urban-administration-finance component to the main Society graph through a same-era nation-state prerequisite.,LOW,Merge the former 30-node component into the main Society component without a long cross-era edge.
civilizing_mission,society,era_9,era_8,quinine;nationalism,quinine;nationalism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
combustion_engine,production,era_11,era_10,rotary_valve_engine,rotary_valve_engine,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
concrete_dockyards,military,era_11,era_10,floating_harbor,floating_harbor,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
conveyors,production,era_11,era_10,vulcanization;shift_work;electrical_generation,vulcanization;shift_work;electrical_generation,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
corporate_management,society,era_11,era_10,investment_banks,investment_banks,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
corporatism,society,era_9,era_8,labor_movement;nationalism,labor_movement;nationalism,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
crystal_glass,production,era_7,era_6,lathe,lathe,The mechanically mapped era_7 placement made the lathe-to-crystal-glass family occupy one crowded compatibility band despite being pre-1836.,LOW,Create an adjacent era_5 to era_6 continuation and shorten the family's visual span.
dynamite,production,era_9,era_8,nitroglycerin,nitroglycerin,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
electric_arc_process,production,era_11,era_10,open_hearth_process,open_hearth_process,"Topological frontier split of the provisional vanilla era_11 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_10, shorten incoming edges, and keep same-group dependents in era_11 without changing prerequisites."
electric_telegraph,military,era_9,era_8,logistics;optical_telegraph_networks,logistics;optical_telegraph_networks,"Topological frontier split of the provisional vanilla era_9 group: this compatibility node had no prerequisite in its own group, so it belongs to the earlier interpolated layer.",LOW_MEDIUM,"Populate previously empty era_8, shorten incoming edges, and keep same-group dependents in era_9 without changing prerequisites."
