tier_id,category,current_hidden_tech,current_visible_equivalents,recommended_action,recommended_target,era,reason,affects_how_many_country_setups,human_review_required,notes
effect_starting_technology_tier_3_tech,society,academia,colonization[era_4];cotton_gin[era_4];distillation[era_1];international_relations[era_1];medical_degrees[era_3];romanticism[era_7];shaft_mining[era_1],REPLACE_WITH_VISIBLE_TECH,specialized_technical_academies,era_3,"Tier 3: Tier 3 is narrow enough for an era-3 technical-education baseline, subject to future country overrides. Reference date is strictly 1776-01-01.",14,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=higher education and qualification capacity; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|cotton_gin:REMOVE_STARTING_GRANT|romanticism:REMOVE_STARTING_GRANT|international_relations:KEEP_CURRENT_VISIBLE_TECH|colonization:REMOVE_STARTING_GRANT|medical_degrees:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_3_tech,military,admiralty,colonization[era_4];cotton_gin[era_4];distillation[era_1];international_relations[era_1];medical_degrees[era_3];romanticism[era_7];shaft_mining[era_1],REMOVE_STARTING_GRANT,,,Tier 3: A generic tier includes landlocked polities; naval administration must be country-specific. Reference date is strictly 1776-01-01.,14,NO,OLD_VANILLA_ROLE=naval administration and dockyard capacity; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|cotton_gin:REMOVE_STARTING_GRANT|romanticism:REMOVE_STARTING_GRANT|international_relations:KEEP_CURRENT_VISIBLE_TECH|colonization:REMOVE_STARTING_GRANT|medical_degrees:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_4_tech,military,admiralty,distillation[era_1];international_relations[era_1];shaft_mining[era_1],REMOVE_STARTING_GRANT,,,Tier 4: Naval administration is not coherent across a 209-country generic tier. Reference date is strictly 1776-01-01.,209,NO,OLD_VANILLA_ROLE=naval administration and dockyard capacity; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|international_relations:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_3_tech,military,army_reserves,colonization[era_4];cotton_gin[era_4];distillation[era_1];international_relations[era_1];medical_degrees[era_3];romanticism[era_7];shaft_mining[era_1],REMOVE_STARTING_GRANT,,,Tier 3: Organized reserves and corps-scale mobilization are later than 1776. Reference date is strictly 1776-01-01.,14,NO,OLD_VANILLA_ROLE=reserve mobilization; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|cotton_gin:REMOVE_STARTING_GRANT|romanticism:REMOVE_STARTING_GRANT|international_relations:KEEP_CURRENT_VISIBLE_TECH|colonization:REMOVE_STARTING_GRANT|medical_degrees:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_3_tech,military,artillery,colonization[era_4];cotton_gin[era_4];distillation[era_1];international_relations[era_1];medical_degrees[era_3];romanticism[era_7];shaft_mining[era_1],REPLACE_WITH_VISIBLE_TECH,standardized_field_artillery,era_3,Tier 3: Standardized field artillery fits the 1750-1774 capability band. Reference date is strictly 1776-01-01.,14,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=field-artillery standardization; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|cotton_gin:REMOVE_STARTING_GRANT|romanticism:REMOVE_STARTING_GRANT|international_relations:KEEP_CURRENT_VISIBLE_TECH|colonization:REMOVE_STARTING_GRANT|medical_degrees:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_4_tech,military,artillery,distillation[era_1];international_relations[era_1];shaft_mining[era_1],REPLACE_WITH_VISIBLE_TECH,standardized_field_artillery,era_3,Tier 4: The visible era-3 node is the period-compatible artillery baseline. Reference date is strictly 1776-01-01.,209,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=field-artillery standardization; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|international_relations:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_1_tech,society,central_archives,atmospheric_engine[era_2];coke_smelting[era_1];commercial_insurance_markets[era_1];distillation[era_1];enclosed_dock_systems[era_1];general_staff[era_6];improved_husbandry[era_1];institutionalized_public_credit[era_1];institutionalized_scientific_exchange[era_1];international_relations[era_1];mechanical_tools[era_5];organized_forestry[era_1];organized_textile_production[era_1];percussion_cap[era_5];periodical_print_networks[era_1];railways[era_6];scientific_fortification_siegecraft[era_1];shaft_mining[era_1];state_dockyard_systems[era_1];stock_exchange[era_1];traditional_food_processing[era_1];traditional_papermaking[era_1],REPLACE_WITH_VISIBLE_TECH,systematic_administrative_statistics,era_2,Tier 1: A central archive is best represented by the era-2 administrative-statistics capacity. Reference date is strictly 1776-01-01.,1,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=central administrative records; VISIBLE_TIER_FOLLOWUP=railways:REMOVE_STARTING_GRANT|mechanical_tools:REPLACE_WITH_EARLIER_VISIBLE_TECH|atmospheric_engine:KEEP_CURRENT_VISIBLE_TECH|general_staff:REMOVE_STARTING_GRANT|percussion_cap:REMOVE_STARTING_GRANT
effect_starting_technology_tier_1_tech,society,central_banking,atmospheric_engine[era_2];coke_smelting[era_1];commercial_insurance_markets[era_1];distillation[era_1];enclosed_dock_systems[era_1];general_staff[era_6];improved_husbandry[era_1];institutionalized_public_credit[era_1];institutionalized_scientific_exchange[era_1];international_relations[era_1];mechanical_tools[era_5];organized_forestry[era_1];organized_textile_production[era_1];percussion_cap[era_5];periodical_print_networks[era_1];railways[era_6];scientific_fortification_siegecraft[era_1];shaft_mining[era_1];state_dockyard_systems[era_1];stock_exchange[era_1];traditional_food_processing[era_1];traditional_papermaking[era_1],ALREADY_REPRESENTED_BY_OTHER_STARTING_TECH,institutionalized_public_credit,era_1,"Tier 1: Tier 1 already researches all era-1 nodes, including institutionalized_public_credit. Reference date is strictly 1776-01-01.",1,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=public-credit and central finance; VISIBLE_TIER_FOLLOWUP=railways:REMOVE_STARTING_GRANT|mechanical_tools:REPLACE_WITH_EARLIER_VISIBLE_TECH|atmospheric_engine:KEEP_CURRENT_VISIBLE_TECH|general_staff:REMOVE_STARTING_GRANT|percussion_cap:REMOVE_STARTING_GRANT
effect_starting_technology_tier_3_tech,society,centralization,colonization[era_4];cotton_gin[era_4];distillation[era_1];international_relations[era_1];medical_degrees[era_3];romanticism[era_7];shaft_mining[era_1],ALREADY_REPRESENTED_BY_OTHER_STARTING_TECH,systematic_administrative_statistics,era_2,Tier 3: The tech_bureaucracy row in this tier is recommended to supply the same visible capacity. Reference date is strictly 1776-01-01.,14,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=central state information and administration; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|cotton_gin:REMOVE_STARTING_GRANT|romanticism:REMOVE_STARTING_GRANT|international_relations:KEEP_CURRENT_VISIBLE_TECH|colonization:REMOVE_STARTING_GRANT|medical_degrees:KEEP_CURRENT_VISIBLE_TECH
effect_starting_technology_tier_4_tech,society,centralization,distillation[era_1];international_relations[era_1];shaft_mining[era_1],ALREADY_REPRESENTED_BY_OTHER_STARTING_TECH,systematic_administrative_statistics,era_2,Tier 4: The tech_bureaucracy row in the same tier supplies this visible capacity. Reference date is strictly 1776-01-01.,209,NO,TARGET_EXISTS=YES; TARGET_RESEARCHABLE=YES; TARGET_CATEGORY_VALID=YES; OLD_VANILLA_ROLE=central state information and administration; VISIBLE_TIER_FOLLOWUP=shaft_mining:KEEP_CURRENT_VISIBLE_TECH|distillation:KEEP_CURRENT_VISIBLE_TECH|international_relations:KEEP_CURRENT_VISIBLE_TECH
