record_id,subsection,tag,polity,formation,hq_region_or_area,reference_date,current_general,current_repo_status,candidate_general,candidate_assessment,historical_birth_date,birth_date_precision,historical_birth_place,birth_polity,mapped_v3_birth_state,age_on_1776_01_01,historical_death_date,death_date_precision,religion,culture,rank_or_title_1776,exact_military_function,office_start,office_end,theatre,mapping_class,decision,confidence,evidence_at_reference_date,structure_caveat,dna_template_status,source_1,source_2,source_3,notes
GEN1776-098,F1 NORTH AFRICA,TUN,Regency of Tunis,cleanup2d3b_tun_land_1,North Africa / Tunisia,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,"Ismaʿil Kahiya / Ali Bey (examined, not adopted)","REJECT. Ismaʿil Kahiya is securely attested as Ali Bey’s minister and son-in-law, but the final source check did not establish him as the unique land-formation commander on 1776-01-01. Hammuda ibn Ali’s formal Bey al-Mahalla appointment belongs to 1777.",,UNKNOWN,,,,,,UNKNOWN,Sunni/Ottoman-Tunisian court context,Ottoman-Tunisian court elite; exact V3 culture mapping unresolved,,,,,North Africa / Tunisia,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,Court office and kinship are secure; direct formation command is not. The method therefore rejects the candidate.,The mahalla was a military-fiscal institution. Ministerial or dynastic status must not be converted automatically into generalship.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://islamicart.museumwnf.org/database_item.php?id=monument%3BISL%3Btn%3BMon01%3B17%3Ben,"Jamil M. Abun-Nasr, The Tunisian state in the eighteenth century.",,Hammuda ibn Ali: REJECT_FOR_REFERENCE_DATE for the formal 1777 Bey al-Mahalla appointment.
GEN1776-099,F1 NORTH AFRICA,TRI,Karamanli Tripoli,cleanup2d3b_tri_land_1,North Africa / Tripolitania,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Ali Pasha Karamanli (examined),"REJECT AS GENERAL. Ruler in office, but no sufficiently direct evidence of personal command of the represented land formation on the reference date.",,UNKNOWN,,,,,,UNKNOWN,Sunni Islam,Ottoman-Tripolitanian / Karamanli elite,Pasha / ruler,,1754,1793,North Africa / Tripolitania,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,A pasha or ruler is not automatically the formation general.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Specialized biographical/encyclopedic references on Ali Pasha Karamanli and the qāʾid-based Karamanli regime.,,,
GEN1776-100,F1 NORTH AFRICA,MAS,Beylik of Mascara / Western Beylik of Algiers,Jaish_alMohammadi,North Africa / Oran-Mascara,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Ibrahim Bey of Mascara,ADOPT. Incumbent bey for 1775–1776 and directly associated with the 1775 military resistance to O’Reilly’s expedition together with his khalifa Muhammad Lekhal.,,UNKNOWN,,,,,,UNKNOWN,Sunni Islam (office/polity context),Ottoman-Algerian / Maghrebi; exact personal origin unresolved,Bey of Mascara,Regional military-political commander of the western beylik; documented participant in the defense against the Spanish expedition.,1775,1776,Western Algeria / Mascara-Oran-Algiers,THEATRE_COMMAND,IMPLEMENT_HISTORICAL,MEDIUM,"A specialist chronology places Ibrahim as bey in 1775–1776 and explicitly states that he participated, with his khalifa, against the 1775 expedition.","Exact day of succession during 1776 was not recovered; confidence is therefore MEDIUM, but his tenure starts in 1775 and covers 1776-01-01.",NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.archivodelafrontera.com/docs/cronologias-y-algunos-personajes/,"Ismet Terki-Hassaine, work on Spanish-Ottoman Algerian relations, underlying chronology.",,Mohammed el-Kébir starts as bey only in 1779: reject for setup.
GEN1776-101,F1 NORTH AFRICA,AIT,Aït Abbas / Mokrani sphere,cleanup2d3b_ait_land_1,North Africa / Kabylia-Constantine,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,El Hadj Bouzid Mokrani (examined),"Do not adopt a single general: dynastic, clan and regional military authority cannot be securely collapsed into one formation command for 1776.",,UNKNOWN,,,,,,UNKNOWN,Islam (regional context),Kabyle/Amazigh,,,,,North Africa / Kabylia-Constantine,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,The formation aggregates clan/dynastic command rather than a modern national army.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Specialized studies of the Mokrani / Beni Abbas political structure and chronology.,,,
GEN1776-102,F1 NORTH AFRICA,CON,Beylik of Constantine,cleanup2d3b_con_land_1,North Africa / Constantine,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Salah Bey,"ADOPT, specifically because of documented campaigning and military command, not because he was governor/bey.",1725,YEAR,İzmir (Smyrna),Ottoman Empire,STATE_AYDIN (repo ID exists; province-to-state mapping should be rechecked during implementation),50-51,1792,YEAR,Sunni Islam,Ottoman/Turkish-born; Algerian-Ottoman elite,Bey of Constantine,Regional commander with documented military expeditions/campaigns; associated with resistance to the Spanish expedition of 1775.,1771,1792,Eastern Algerian beylik; Algiers theatre in 1775,THEATRE_COMMAND,IMPLEMENT_HISTORICAL,HIGH,The 1771–1792 tenure covers the date and specialized work explicitly treats Salah Bey’s military campaigns. Sources also connect him with the 1775 defense.,"Use only as regional theatre command. The valid logic is documented command, not “governor = general”.",NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://bina.bulac.fr/s/bina/item/335499,Specialized Algerian study on the military campaigns of Salah Bey during his rule of Constantine (1771–1792).,CRASC/Insaniyat regional biographical studies.,
GEN1776-103,F1 NORTH AFRICA,DFR,Darfur Sultanate,cleanup2d3b_dfr_land_1,Nile Basin / Darfur,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Muhammad Tayrab ibn Ahmad Bukr (examined),"REJECT AS FORMATION GENERAL. His long reign and later campaigns are clear, but a unique personal 1776 formation command was not established.",,UNKNOWN,,,,,,UNKNOWN,Islam,Fur / Darfur court,Sultan of Darfur,,c.1752,1787,Nile Basin / Darfur,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Sovereignty plus later campaigning is not enough for a January 1776 general assignment.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Specialized scholarship on the Keira sultanate and Muhammad Tayrab.,,,
GEN1776-104,F1 NORTH AFRICA,MOR,Sultanate of Morocco,cleanup2d3b_mor_land_1,North Africa / Morocco,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,Sidi Tahar ben Abdelhaq Fennich,"ADOPT as specialist-arm/higher-command abstraction. Sources identify him as commander of Moroccan artillery, attested in connection with his 1773 and 1777 diplomatic missions.",,UNKNOWN,Salé (probable family/local association; exact birth evidence remains insufficient),Sultanate of Morocco,,,,UNKNOWN,Sunni Islam,"Moroccan/Maghrebi; Salé notable family, often described as Andalusi-origin",Qāʾid / commander of Moroccan artillery,Commander of the Moroccan artillery; military specialist also employed as a diplomat.,by 1773,after 1777,Moroccan royal army / artillery arm,HIGHER_COMMAND_ABSTRACTION,IMPLEMENT_HISTORICAL,MEDIUM,The title “commander of Moroccan artillery” is attached to Fennich in sources for 1773 and 1777. Continuity through 1776 is a reasonable but inferential bridge.,Do not present him as commander-in-chief of all Moroccan land forces.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://en.yabiladi.com/articles/details/66826/moroccan-diplomats-tahar-fennish-sultan,https://founders.archives.gov/documents/Jefferson/01-11-02-0077,"Rabih Saied, dissertation on French views of Moroccan envoys, as cited in later studies.",
GEN1776-105,F1 NORTH AFRICA,TUG,Touggourt / Sultanate of Touggourt,cleanup2d3b_tug_land_1,North Africa / Eastern Sahara,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No individual commander can be placed on the Touggourt formation on 1776-01-01 with acceptable confidence; the early dynastic source base is sparse and partly legend-dependent.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,North Africa / Eastern Sahara,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Prefer procedural over converting a name from an uncertain dynastic list into a general.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,"L. C. Féraud, historical work on Touggourt, to be used with source criticism.",Persée source-critical review/discussion of Touggourt traditions.,,
GEN1776-182,F2 SUB-SAHARAN AFRICA,AGC,Angoche Sultanate,cleanup2d3b_agc_land_1,East Africa / Mozambique,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,,No date-safe 1776 individual command recovered; the early Angoche polity is reconstructed from later traditions and regional networks.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Mozambique,COLLECTIVE_HIGH_COMMAND,PROCEDURAL_REQUIRED_COLLECTIVE_STRUCTURE,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not impose a modern centralized national army on early Angoche.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,https://www.cambridge.org/core/journals/journal-of-african-history/article/early-history-of-the-sultanate-of-angoche/BD49CBB7EA60F18F4EEFBC28D421C5ED,,,
GEN1776-183,F2 SUB-SAHARAN AFRICA,ANK,Ankole,cleanup2d3b_ank_land_1,East Africa / Great Lakes,1776-01-01,procedural (template = default),PROCEDURAL_ALLOWED,,No date-safe individual commander can be fixed to 1776 with sufficient confidence; early Great Lakes chronologies depend heavily on later oral dynastic traditions.,,UNKNOWN,,,,,,UNKNOWN,,,,,,,East Africa / Great Lakes,NO_DEFENSIBLE_MAPPING,KEEP_PROCEDURAL,HIGH,No source meeting the threshold established a unique individual land command on 1776-01-01.,Do not fabricate exact reign or command dates from retrospective king lists.,NO_EXISTING_CANDIDATE_DNA_OR_TEMPLATE_IDENTIFIED,Great Lakes oral-history and chronology scholarship (including Vansina/Newbury source-critical work).,,,
