issue_id,priority,domain,tag,country,formation,issue_type,source_file,root_cause,evidence,safe_fix_direction,historical_research_required,runtime_required,notes
2D0-001,P0,naval,SPA,Spain,Real_Armada_Espaola x2,EXACT_DUPLICATE_FLEET_DEFINITIONS,common/history/military_formations/00_military_formations_europe.txt:4037-4069,"Two separate adjacent create_military_formation blocks in the same active fork file use the same name, HQ, and exact ship composition; they have distinct scopes and distinct admirals.",Both fleets contain 10 ship-of-the-line units and 30 frigate units in region_southern_europe; scopes spanishnavy1 and spanishnavy2 prove two instantiated objects rather than one object loaded twice.,"In CLEANUP-2D-2, retain one fleet unless 2D-1 proves two historical squadrons; if two are retained, give distinct historically supported names and compositions.",YES,YES,Not caused by vanilla/mod coexistence: the mod file shadows the same relative vanilla file.
2D0-002,P0,engine/VFS,,GLOBAL,,STALE_PRE_TGW_DEFINES_OVERRIDE,common/defines/00_defines.txt,The active mod file shadows target 1.13.9 common/defines/00_defines.txt but contains an older NMilitary schema.,"Active mod NMilitary has 101 keys versus target 165; 76 target keys are absent, including SAILORS_PER_ASSIGNMENT_SLOT and SAILORS_PER_BUILDING_LEVEL. The global NAVAL_BASE_BUILDING still points to obsolete building_naval_base while the effective target building is building_naval_administration.",Rebase or minimize the defines override against target 1.13.9 before any naval rebalance; preserve intentional fork deltas explicitly.,NO,YES,Audit only; no defines were changed in CLEANUP-2D-0.
2D0-003,P0,fleet,PRU,Prussia,Kniglich_Preuische_Marine,EMPTY_FORMATION,common/history/military_formations/00_military_formations_europe.txt:478,An active create_military_formation block contains no active combat_unit/ship entries.,domain=fleet; hq=region_central_europe,Determine whether the formation should receive historically researched units or be removed in 2D-2.,YES,YES,
2D0-004,P0,commander,GBR,Great Britain,colborne_gen,DUPLICATE_COMMANDER_SCOPE,common/history/military_formations/00_military_formations_europe.txt,"Multiple created commanders save to the same scope in one country block, so later scope resolution is ambiguous.",scope=colborne_gen; count=2,Assign unique commander scopes after identifying the intended transfer target.,YES,YES,
2D0-005,P0,commander,BIC,East India,<unnamed>,INVALID_COMMANDER_IDEOLOGY_REFERENCE,common/history/military_formations/05_military_formations_india.txt:206,A created commander references an identifier absent from the effective 1.13 ideology database.,ideology=moderate,Replace with the intended valid current ideology identifier in a later repair phase.,NO,YES,
2D0-006,P1,commander,GBR,Great Britain,army_med_army,TRANSFER_SCOPE_WITHOUT_CREATED_COMMANDER,common/history/military_formations/00_military_formations_europe.txt:1415,A transfer_to_formation source scope does not match a created commander scope in the same country block.,source_scope=aylmer_gen; target_scope=army_med_army,Trace the intended character source before changing the transfer.,YES,YES,
2D0-007,P1,commander,BIC,East India,madras_army,TRANSFER_SCOPE_WITHOUT_CREATED_COMMANDER,common/history/military_formations/05_military_formations_india.txt:112,A transfer_to_formation source scope does not match a created commander scope in the same country block.,source_scope=maitland_gen; target_scope=madras_army,Trace the intended character source before changing the transfer.,YES,YES,
2D0-008,P1,commander,BIC,East India,madras_army,TRANSFER_TARGET_FORMATION_SCOPE_MISSING,common/history/military_formations/05_military_formations_india.txt:112,A transfer_to_formation target does not match any formation save scope in the same active country block.,source_scope=maitland_gen; target_scope=madras_army,Trace the intended formation before changing either scope.,YES,YES,
2D0-009,P1,naval,AUS,Austria,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=5400; sailor_capacity=3000; shortfall=2400,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-010,P0,naval,BEO,Austrian Netherlands (BEO/Belgium),ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/00_military_formations_europe.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=500; sailor_capacity=0; fleets=1,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-011,P0,naval,BRZ,Brazil,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/02_military_formations_south_america.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=4800; sailor_capacity=0; fleets=1,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-012,P0,naval,CHI,China,ALL_STARTING_FLEETS,NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET,common/history/military_formations/06_military_formations_asia.txt,"Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.",ship_crew_required=7500; sailor_capacity=0; fleets=2,Add/reconcile naval administration only in 2D-2 after 2D-1 establishes the intended active navy.,YES,YES,
2D0-013,P1,naval,FRA,France,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=45100; sailor_capacity=24000; shortfall=21100,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
2D0-014,P1,naval,GBR,Great Britain,ALL_STARTING_FLEETS,NAVAL_SAILOR_CAPACITY_SHORTFALL,common/history/military_formations/00_military_formations_europe.txt,Starting ship crew demand exceeds the literal naval-administration sailor ceiling.,ship_crew_required=123800; sailor_capacity=33000; shortfall=90800,Reconcile fleet equivalents and naval administration together in 2D-2.,YES,YES,
