tech_id,tech_name,localization_description,category,vanilla_era,technology_definition_file,icon,icon_exists,shared_icon,name_localization_exists,description_localization_exists,name_localization_source,description_localization_source,localization_validation,vanilla_prerequisites,vanilla_ai_weight,ai_weight_class,vanilla_direct_modifiers,scripted_modifiers_or_effects,other_direct_properties,can_research,unlock_count,unlock_summary,reference_count,reference_summary,current_mod_status,definition_delta,prerequisite_delta,modifier_delta,unlock_delta,ai_weight_delta,localization_delta,historical_concept,historical_window_estimate,early_tree_relevance,best_matching_v1_branch,best_matching_v1_node,secondary_matching_nodes,overlap_class,primary_action,secondary_actions,recommended_target_era,recommended_prerequisite_changes,recommended_unlock_changes,historical_problem,gameplay_problem,duplication_problem,implementation_risk,hardcoded_or_engine_sensitive,naval_great_wave_dependency,defer_to_tech_1b,regionalization_candidate,ai_weight_rework_risk,confidence,notes,source_definition_file
admiralty,Admiralty,The Admiralty is a complex system of ranks connected by a rigid chain of command to help the navy work more efficiently.,Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/admiralty.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:69,localization/english/inventions_l_english.yml:70,OK,navigation,value = 3,STATIC,NONE,NONE,NONE,yes(default),1,buildings=1,11,BUILDING_REQUIREMENT=1; EVENT_EFFECT=3; LOCALIZATION_ONLY=2; PREREQUISITE=2; TRIGGER=3,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,State Dockyard Systems; The Admiralty is a complex system of ranks connected by a rigid chain of command to help the navy work more efficiently.,~1690–1719,DIRECT_1700_1836,Military V1,state_dockyard_systems,standardized_naval_signals;scientific_naval_architecture,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA I,Rewire toward V1 prerequisite logic: BASELINE_SHIPBUILDING,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"3 indexed relations and 11 occurrences make SPLIT an integration task, not a label-only edit.",VANILLA_BROADER overlap with state_dockyard_systems: Naval administration is broader than a technical node.,VERY_HIGH,YES,YES,YES,NO,NO,MEDIUM,Naval administration is broader than a technical node.,common/technology/technologies/20_military.txt:139
army_reserves,Army Reserves,Army Reserves is the concept that a set of semi professional soldiers made up of citizens could work as a support for the regular army.,Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/army_reserves.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:85,localization/english/inventions_l_english.yml:86,OK,line_infantry,value = 1,STATIC,state_conscription_rate_mult=0.2;country_general_rank_impact_mult=0.2,NONE,NONE,yes(default),1,mobilization_options=1,8,EVENT_EFFECT=2; LOCALIZATION_ONLY=2; PREREQUISITE=2; TRIGGER=1; UNIT_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=1,NONE,NONE,Corps Organization; Army Reserves is the concept that a set of semi professional soldiers made up of citizens could work as a support for the regular army.,~1800–1824,DIRECT_1700_1836,Military V1,corps_organization,NONE,PARTIAL,RETIME,REWIRE,ERA V,Rewire toward V1 prerequisite logic: horse_artillery; permanent_engineer_services,Preserve indexed unlocks initially; retime/rewire after dependency review.,Broad or inherited capability needs differentiated pre-1836 timing.,"5 indexed relations and 8 occurrences make RETIME an integration task, not a label-only edit.",PARTIAL overlap with corps_organization: Reserve systems support mass armies but are institutionally distinct.,MEDIUM,NO,NO,NO,NO,NO,MEDIUM,Reserve systems support mass armies but are institutionally distinct.,common/technology/technologies/20_military.txt:158
artillery,Artillery,"Long-range bombardment with heavy munitions intimidates and scatters enemy forces without risking your own troops. Inaccurate, slow-moving, and expensive, yet a crucial ingredient in any modern army.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/artillery.dds,YES,NO,YES,YES,localization/english/goods_l_english.yml:6,localization/english/inventions_l_english.yml:119,SHARED_KEY_WITH_GOOD,gunsmithing,value = 2,STATIC,NONE,NONE,NONE,yes(default),2,combat_unit_types=1; production_methods=1,91,EVENT_EFFECT=2; GUI_ONLY=80; LOCALIZATION_ONLY=2; PM_REQUIREMENT=1; PREREQUISITE=2; TRIGGER=3; UNIT_REQUIREMENT=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=18,NONE,NONE,"Standardized Field Artillery Systems; Long-range bombardment with heavy munitions intimidates and scatters enemy forces without risking your own troops. Inaccurate, slow-moving, and expensive, yet a crucial ingredient in any modern army.",~1750–1774,DIRECT_1700_1836,Military V1,standardized_field_artillery,horse_artillery,STRONG,SPLIT,REWIRE;RETIME,ERA III,Rewire toward V1 prerequisite logic: BASELINE_ARTILLERY,Partition current unlocks by historical mechanism among split nodes.,Usable concept; timing and granularity must be reconciled with the 1700-1836 V1 node.,"4 indexed relations and 91 occurrences make SPLIT an integration task, not a label-only edit.",STRONG overlap with standardized_field_artillery: Broad artillery gateway versus standardized systems and specialization.,HIGH,NO,NO,NO,NO,NO,MEDIUM,Broad artillery gateway versus standardized systems and specialization.,common/technology/technologies/20_military.txt:84
drydocks,Drydocks,Creating enclosed areas where ships can be docked on dry land allows for easier and more thorough maintenance of cargo vessels and warships alike.,Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/drydock.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:317,localization/english/inventions_l_english.yml:318,OK,navigation,value = 1 if = { limit = { navy_size >= 5 } add = 0.5 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),1,ship_types=1,6,EVENT_EFFECT=2; LOCALIZATION_ONLY=2; NAVAL_DESIGN_REQUIREMENT=1; PREREQUISITE=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,State Dockyard Systems; Creating enclosed areas where ships can be docked on dry land allows for easier and more thorough maintenance of cargo vessels and warships alike.,~1690–1719,DIRECT_1700_1836,Military V1,state_dockyard_systems,enclosed_dock_systems;mechanized_naval_dockyards,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA I,Rewire toward V1 prerequisite logic: BASELINE_SHIPBUILDING,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"2 indexed relations and 6 occurrences make SPLIT an integration task, not a label-only edit.","VANILLA_BROADER overlap with state_dockyard_systems: State arsenals, commercial docks and later mechanization are conflated.",VERY_HIGH,YES,YES,YES,NO,YES,MEDIUM,"State arsenals, commercial docks and later mechanization are conflated.",common/technology/technologies/20_military.txt:27
gunsmithing,Gunsmithing,"Gunsmithing allows the creation of explosive powered weaponry, making the relevance of physical strength much less important.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/gunsmithing.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:238,localization/english/inventions_l_english.yml:239,OK,standing_army,value = 2,STATIC,NONE,NONE,NONE,yes(default),5,buildings=2; company_types=3,20,BUILDING_REQUIREMENT=2; COMPANY_REQUIREMENT=6; EVENT_CONDITION=2; EVENT_EFFECT=6; LOCALIZATION_ONLY=2; PREREQUISITE=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=6,NONE,NONE,"Regulated Small Arms; Gunsmithing allows the creation of explosive powered weaponry, making the relevance of physical strength much less important.",~1720–1749,DIRECT_1700_1836,Military V1,regulated_small_arms,armament_standardization_inspection,V1_BROADER,REPLACE,REWIRE;RETIME,ERA II,Rewire toward V1 prerequisite logic: BASELINE_FLINTLOCK_FIREARMS,Transfer indexed unlocks to the replacement after semantic and AI validation.,Broad or inherited capability needs differentiated pre-1836 timing.,"7 indexed relations and 20 occurrences make REPLACE an integration task, not a label-only edit.",V1_BROADER overlap with regulated_small_arms: V1 frames regulated and inspected arms supply rather than generic craft.,HIGH,NO,NO,NO,NO,NO,MEDIUM,V1 frames regulated and inspected arms supply rather than generic craft.,common/technology/technologies/20_military.txt:68
line_infantry,Line Infantry,"Soldiers equipped with standardized gear and trained with standardized methods give a greater uniformity to an army, and in that way give it a greater reliability.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/line_infantry.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:561,localization/english/inventions_l_english.yml:562,OK,mandatory_service;military_drill,value = 2,STATIC,NONE,NONE,NONE,yes(default),4,combat_unit_types=4,14,EVENT_EFFECT=4; LOCALIZATION_ONLY=2; PREREQUISITE=2; TRIGGER=2; UNIT_REQUIREMENT=4,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=33,NONE,NONE,"Regulated Small Arms; Soldiers equipped with standardized gear and trained with standardized methods give a greater uniformity to an army, and in that way give it a greater reliability.",~1720–1749,DIRECT_1700_1836,Military V1,regulated_small_arms,light_infantry_tactics,PARTIAL,SPLIT,REWIRE;RETIME,ERA II,Rewire toward V1 prerequisite logic: BASELINE_FLINTLOCK_FIREARMS,Partition current unlocks by historical mechanism among split nodes.,Broad or inherited capability needs differentiated pre-1836 timing.,"6 indexed relations and 14 occurrences make SPLIT an integration task, not a label-only edit.",PARTIAL overlap with regulated_small_arms: Unit doctrine combines weapon standardization and tactics.,HIGH,NO,NO,NO,NO,NO,MEDIUM,Unit doctrine combines weapon standardization and tactics.,common/technology/technologies/20_military.txt:177
mandatory_service,Mandatory Service,"Volunteers and mercenaries might not meet all the manpower demands of a modern military force. Sometimes, the nation simply must demand service from all its citizens.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/mandatory_service.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:557,localization/english/inventions_l_english.yml:558,OK,standing_army,value = 2,STATIC,state_conscription_rate_mult=0.2;country_general_rank_impact_mult=0.2,NONE,NONE,yes(default),3,decrees=1; journal_entries=1; laws=1,13,EVENT_EFFECT=4; JOURNAL_REQUIREMENT=1; LAW_REQUIREMENT=1; LOCALIZATION_ONLY=2; PREREQUISITE=1; TRIGGER=3; UNLOCK=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=5,NONE,NONE,"Corps Organization; Volunteers and mercenaries might not meet all the manpower demands of a modern military force. Sometimes, the nation simply must demand service from all its citizens.",~1800–1824,DIRECT_1700_1836,Military V1,corps_organization,NONE,PARTIAL,REWIRE,NONE,ERA V,Rewire toward V1 prerequisite logic: horse_artillery; permanent_engineer_services,Preserve indexed unlocks initially; retime/rewire after dependency review.,Broad or inherited capability needs differentiated pre-1836 timing.,"6 indexed relations and 13 occurrences make REWIRE an integration task, not a label-only edit.",PARTIAL overlap with corps_organization: Conscription and corps organization overlap in mass-army capacity only.,MEDIUM,NO,NO,NO,NO,NO,MEDIUM,Conscription and corps organization overlap in mass-army capacity only.,common/technology/technologies/20_military.txt:48
military_drill,Military Drill,"As the saying goes, ""practice makes perfect,"" and this is as true for soldiers as it is for musicians. There is no army more prized by generals than an army that can react to all commands instantly and without confusion.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/military_drill.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:559,localization/english/inventions_l_english.yml:560,OK,standing_army,value = 1.5,STATIC,unit_experience_gain_mult=0.05,NONE,NONE,yes(default),3,laws=3,10,EVENT_EFFECT=3; LAW_REQUIREMENT=3; LOCALIZATION_ONLY=2; PREREQUISITE=1; TRIGGER=1,UNTOUCHED,NONE,NONE,NONE,NO_TECH_OVERRIDE; mod references=0,NONE,NONE,"Light Infantry Tactics; As the saying goes, ""practice makes perfect,"" and this is as true for soldiers as it is for musicians. There is no army more prized by generals than an army that can react to all commands instantly and without confusion.",~1750–1774,DIRECT_1700_1836,Military V1,light_infantry_tactics,corps_organization,PARTIAL,REWIRE,NONE,ERA III,Rewire toward V1 prerequisite logic: regulated_small_arms,Preserve indexed unlocks initially; retime/rewire after dependency review.,Broad or inherited capability needs differentiated pre-1836 timing.,"5 indexed relations and 10 occurrences make REWIRE an integration task, not a label-only edit.",PARTIAL overlap with light_infantry_tactics: Drill and light-infantry doctrine overlap partly.,MEDIUM,NO,NO,NO,NO,NO,MEDIUM,Drill and light-infantry doctrine overlap partly.,common/technology/technologies/20_military.txt:100
napoleonic_warfare,Napoleonic Warfare,"Napoleon revolutionized warfare, emphasizing the importance of properly utilizing artillery.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/napoleonic_warfare.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:309,localization/english/inventions_l_english.yml:310,OK,line_infantry;artillery,value = 1.5 if = { limit = { has_journal_entry = je_sick_man_army } add = 100 },MILITARY_CONDITIONAL,NONE,NONE,NONE,yes(default),4,combat_unit_types=2; journal_entries=2,21,EVENT_CONDITION=3; EVENT_EFFECT=7; JOURNAL_REQUIREMENT=2; LOCALIZATION_ONLY=2; PREREQUISITE=2; TRIGGER=3; UNIT_REQUIREMENT=2,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=6,NONE,NONE,"Corps Organization; Napoleon revolutionized warfare, emphasizing the importance of properly utilizing artillery.",~1800–1824,DIRECT_1700_1836,Military V1,corps_organization,military_supply_services;field_engineering_pontoon_trains;standardized_field_artillery,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA V,Rewire toward V1 prerequisite logic: horse_artillery; permanent_engineer_services,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"6 indexed relations and 21 occurrences make SPLIT an integration task, not a label-only edit.",VANILLA_BROADER overlap with corps_organization: Several operational and organizational reforms are compressed.,HIGH,NO,NO,NO,NO,YES,MEDIUM,Several operational and organizational reforms are compressed.,common/technology/technologies/20_military.txt:118
navigation,Navigation,"Through various different methods, from stars, to maps, to a compass it is possible to correctly chart a course across the world.",Military,era_1,common/technology/technologies/20_military.txt,gfx/interface/icons/invention_icons/navigation.dds,YES,NO,YES,YES,localization/english/inventions_l_english.yml:319,localization/english/inventions_l_english.yml:320,OK,ROOT,value = 2,STATIC,NONE,NONE,NONE,yes(default),4,buildings=3; journal_entries=1,13,BUILDING_REQUIREMENT=3; EVENT_EFFECT=3; GUI_ONLY=1; JOURNAL_REQUIREMENT=1; LOCALIZATION_ONLY=2; PREREQUISITE=2; TRIGGER=1,REFERENCED_BY_MOD,NO_DEFINITION_OVERRIDE,NONE,NONE,NO_TECH_OVERRIDE; mod references=3,NONE,NONE,"Marine Chronometry; Through various different methods, from stars, to maps, to a compass it is possible to correctly chart a course across the world.",~1750–1774,DIRECT_1700_1836,Military V1,marine_chronometry,hydrographic_surveying;ship_classification_surveying,VANILLA_BROADER,SPLIT,REWIRE;RETIME,ERA III,Rewire toward V1 prerequisite logic: BASELINE_CELESTIAL_NAVIGATION,Partition current unlocks by historical mechanism among split nodes.,Vanilla framing compresses several historically distinct transitions.,"6 indexed relations and 13 occurrences make SPLIT an integration task, not a label-only edit.","VANILLA_BROADER overlap with marine_chronometry: Generic navigation bundles chronometry, hydrography and surveying.",VERY_HIGH,YES,YES,YES,NO,NO,MEDIUM,"Generic navigation bundles chronometry, hydrography and surveying.",common/technology/technologies/20_military.txt:14
