"record_id","tag","country_name","formation","hq_region","formation_state_summary","reference_date","current_general","decision","mapping_classification","candidate_general","first_name","last_name","name_variants","historical_birth_date","birth_date_precision","historical_birth_place","historical_birth_country_or_polity","mapped_v3_birth_state","historical_death_date","death_date_precision","grade_or_title_1776","exact_military_function","command_start","command_end","active_on_1776_01_01","culture","religion","social_political_profile","portrait_or_contemporary_description","existing_historical_character","existing_dna_or_template","confidence","decision_rationale","repo_evidence","source_1","source_2","source_3","research_notes"
"GEN1776-MEC-001","IR1","Mamluk Iraq","cleanup2d3e_r1_ir1_land_1","region_near_east","Core: STATE_BAGHDAD; synthetic Mamluk Iraq field formation","1776-01-01","GEN1776-106 — procedural","IMPLEMENT_HISTORICAL","THEATRE_COMMAND","Süleyman Ağa","Süleyman","Ağa","Sulaiman Agha; Soliman Aga; later Büyük Süleyman Paşa / Sulayman Pasha the Great","UNKNOWN (scholarly estimate only: 1720s)","UNKNOWN — DECADE_ESTIMATE_ONLY","Caucasus, exact locality unknown","UNKNOWN — Caucasian origin before entry into Ottoman/Mamluk service","UNRESOLVED","1802-08-08","DAY","Mütesellim of Basra (Süleyman Ağa)","Defender and effective military commander of Basra during the Zand siege; organized and sustained the city defense","By 1775-04-07 (start of siege)","1776-04-15/16 (capitulation and capture)","YES","Caucasian Mamluk; exact ethnicity unresolved (do not force Georgian/Circassian)","Sunni Muslim context highly probable; individual confession not separately verified","Ottoman-Iraqi Mamluk military-administrative elite; later governor of Basra, Baghdad and Shahrizor","No securely authenticated contemporary individual portrait verified in this audit","NO for Süleyman Ağa. IR1 already has historical ruler Omar Pasha, a different person.","NONE FOUND for Süleyman Ağa","HIGH for command/activity; MEDIUM-LOW for birth biography","Directly documented defender of Basra throughout 1775-1776. The title mütesellim alone is not the basis: the retained mapping rests on explicit command of the defense. IR1 has one synthetic Iraq army, so THEATRE_COMMAND is defensible.","common/history/military_formations/04_military_formations_middle_east.txt; common/history/characters/ir1 - mamluk iraq.txt","Qatar Digital Library, J.G. Lorimer, Gazetteer of the Persian Gulf, vol. I: https://www.qdl.qa/en/archive/81055/vdc_100023575942.0x000059","Qatar Digital Library, Lorimer, surrender of Basra: https://www.qdl.qa/en/archive/81055/vdc_100023575948.0x000011","TDV İslâm Ansiklopedisi, Bağdat: https://islamansiklopedisi.org.tr/bagdat","Do not manufacture 1722 or any exact birth date. Exact birthplace and ethnicity remain unresolved. QDL also preserves contemporary India Office correspondence with Soliman Aga."
"GEN1776-MEC-002","TUR","Ottoman Empire","cleanup2d3b_tur_land_1","region_balkans","Synthetic large Ottoman formation; Balkan core with very broad conscript pool including Egypt","1776-01-01","GEN1776-107 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","","","","","","","","","","","","","","","","","","Sultan Abdülhamid I exists as historical ruler; not a formation commander","No relevant 1776 formation-commander template identified","HIGH","The V3 formation is a synthetic standing aggregate. Ottoman command in 1776 was campaign/province specific. Grand vizier Derviş Mehmed Paşa cannot be turned into a standing general merely from office; serdâr-ı ekrem is campaign-context command. No one-to-one commander active on 1776-01-01 was verified.","common/history/military_formations/04_military_formations_middle_east.txt","TDV İslâm Ansiklopedisi, Serdar: https://islamansiklopedisi.org.tr/serdar","TDV İslâm Ansiklopedisi, Derviş Mehmed Paşa: https://islamansiklopedisi.org.tr/mehmed-pasa-dervis","","Canikli Ali Paşa became Kars serasker only in December 1776, too late for the start date."
"GEN1776-MEC-003","TUR","Ottoman Empire","cleanup2d3b_tur_land_2","region_balkans","Synthetic Rumeli-oriented formation; Albania core and Egyptian conscript representation","1776-01-01","GEN1776-108 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","","","","","","","","","","","","","","","","","","Sultan Abdülhamid I exists as historical ruler; not a formation commander","No relevant 1776 formation-commander template identified","HIGH","No permanent historical command corresponding to this artificial formation was documented on 1776-01-01. Do not convert a pasha, provincial governor, or grand vizier into its general without an actual command relationship.","common/history/military_formations/04_military_formations_middle_east.txt","TDV İslâm Ansiklopedisi, Serdar: https://islamansiklopedisi.org.tr/serdar","TDV İslâm Ansiklopedisi, Derviş Mehmed Paşa: https://islamansiklopedisi.org.tr/mehmed-pasa-dervis","","Egyptian military power under Murad Bey is historically real but cannot be mapped to this broad TUR formation without misrepresenting Ottoman command."
"GEN1776-MEC-004","TUR","Ottoman Empire","cleanup2d3b_tur_land_3","region_near_east","Synthetic Near East formation; Adana-centered","1776-01-01","GEN1776-109 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","","","","","","","","","","","","","","","","","","Sultan Abdülhamid I exists as historical ruler; not a formation commander","No relevant 1776 formation-commander template identified","HIGH","No named officer was verified as commander of a standing Near Eastern formation matching this V3 abstraction on the reference date. Appointment to Kars/other seraskerates later in 1776 is temporally inadmissible.","common/history/military_formations/04_military_formations_middle_east.txt","TDV İslâm Ansiklopedisi, Serdar: https://islamansiklopedisi.org.tr/serdar","Rıza Karagöz, Canikli Ali Paşa (TTK, 2003), BOA-based chronology; online scan metadata: https://dokumen.pub/canikli-ali-paa-975161564x.html","","Canikli Ali Paşa’s Kars serasker appointment is dated 3-11 December 1776, explicitly rejected for the 1 January setup."
"GEN1776-MEC-005","TUR","Ottoman Empire","cleanup2d3b_tur_land_4","region_near_east","Synthetic Near East formation; Adana core with Lower Egypt representation","1776-01-01","GEN1776-110 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","","","","","","","","","","","","","","","","","","Sultan Abdülhamid I exists as historical ruler; not a formation commander","No relevant 1776 formation-commander template identified","HIGH","The formation combines territories with distinct military authorities. No single historical commander can be attached without creating a false permanent hierarchy.","common/history/military_formations/04_military_formations_middle_east.txt","TDV İslâm Ansiklopedisi, Serdar: https://islamansiklopedisi.org.tr/serdar","TDV İslâm Ansiklopedisi, İbrahim Bey (Egypt context): https://islamansiklopedisi.org.tr/ibrahim-bey","","Murad Bey is a future Egypt candidate if EGY receives its own formation; he should not command this aggregate TUR army."
"GEN1776-MEC-006","OMA","Oman","cleanup2d3e_r1_oma_land_1","region_greater_persia","Baluchistan-centered synthetic land formation; Zanzibar conscript component","1776-01-01","GEN1776-111 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","Hilal bin Ahmad (near-miss, not retained)","","","","","","","","","","","","UNRESOLVED for Hilal","","","","","Ahmad bin Said al-Busaidi exists as historical ruler; not auto-promoted to general","No Hilal DNA/template found","MEDIUM-HIGH","Hilal bin Ahmad genuinely led the Omani expedition sent to aid Basra in 1775, but the withdrawal is described as occurring at the beginning of 1776 and the expedition was a mixed naval/land Gulf intervention, not a command of the mod’s Baluchistan/Zanzibar land formation. Exact-day and formation mapping are insufficient.","common/history/military_formations/04_military_formations_middle_east.txt","Atheer History, based on Sultan Qaboos University thesis and Oman National Records & Archives Authority publication: https://www.atheer.om/archive/6503/","J.G. Lorimer, Gazetteer of the Persian Gulf, Qatar Digital Library: https://www.qdl.qa/en/archive/81055/vdc_100023575942.0x000059","","Do not use Imam Ahmad merely because he was ruler. Hilal remains a documented historical commander but is rejected for this exact formation/date mapping."
"GEN1776-MEC-007","PER","Zand Persia / Iran","cleanup2d3e_r1_per_land_1","region_greater_persia","Single broad Persian land formation; Armenia/Irakajemi core and broad Zand manpower pool","1776-01-01","GEN1776-112 — procedural","IMPLEMENT_HISTORICAL","FORMATION_COMMAND","Moḥammad Ṣādeq Khan Zand","Moḥammad Ṣādeq","Khan Zand","Ṣādeq Khan Zand; Sadeq Khan Zand; Sadiq Khan Zand; Muhammad Sadeq Khan Zand","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNRESOLVED","1781-02","MONTH","Khan; senior Zand lieutenant and dynastic commander","Commander of the approximately 30,000-man Zand army besieging Basra","1775","1776-04 (capture of Basra; thereafter remained in command/administration in the occupied area)","YES","Zand; Lak branch of the northern Lors (historical ethnographic classification); exact V3 culture key unresolved","Twelver Shi’a — high-confidence Zand/army context, not separately documented as a personal confession in the sources used","Zand dynastic military elite; capable younger brother and lieutenant of Karim Khan Zand","No securely authenticated contemporary individual portrait verified in this audit","NO exact Ṣādeq Khan character found by repository text search","NONE for Ṣādeq. Related Karim Khan Zand has dna_karim_khan_zand + per_karim_khand_zand_template; do not reuse automatically.","HIGH","Iranica explicitly identifies Ṣādeq Khan as commander of the Zand army’s sole full-scale operation at its height, the Basra siege of 1775-76. He is directly active on the reference date and maps well to PER’s single broad land formation.","common/history/military_formations/04_military_formations_middle_east.txt; common/character_templates/country_per.txt; common/dna_data/00_karim_khan_zand.txt","Encyclopaedia Iranica, ARMY iv. Afšar and Zand Periods: https://www.iranicaonline.org/articles/army-iv/","Encyclopaedia Iranica, KARIM KHAN ZAND: https://www.iranicaonline.org/articles/karim-khan-zand/","Encyclopaedia Iranica, ZAND DYNASTY: https://www.iranicaonline.org/articles/zand-dynasty/","Do not infer a birth year or birthplace from Karim Khan. Agha Mohammad Qajar has a repo template/DNA but was Karim Khan’s hostage at Shiraz and is not admissible as the 1776 field commander."
"GEN1776-MEC-008","DUR","Durrani Empire","cleanup2d3e_r1_dur_land_1","region_greater_persia","Main broad Durrani formation; Herat/Balkh core plus extensive Afghan/Punjab conscript representation","1776-01-01","GEN1776-113 — procedural","IMPLEMENT_HISTORICAL","HIGHER_COMMAND_ABSTRACTION","Tīmūr Shah Dorrānī","Tīmūr Shah","Dorrānī","Timur Shah Durrani; Taimur Shah Durrani; Timur Shah Sadōzay/Sadozai","1746","YEAR","Mashhad","Afsharid Iran / Khorasan","STATE_KHORASAN","1793-05-18","DAY","Shah of the Durrani Empire","Supreme dynastic military authority over the Durrani realm; organizer of the central royal military base after transfer of the capital to Kabul, not commander of a permanent numbered corps","1772 (accession); capital and military power base shifted to Kabul in 1775","1793-05-18","YES","Pashtun, Durrani/Pōpalzay-Sadōzay; repo has cu:pashtun","Sunni Muslim","Sadozai royal tribal aristocracy; reduced dependence on Pashtun tribal chiefs by relying more on urban Persianized Tajik/Qizilbash elements and royal troops","Period portrait tradition exists, but no securely authenticated exact 1776 likeness was validated in this audit","YES — existing DUR historical ruler Timur Shah Durrani","No explicit Timur DNA/template found in the audited 1776 ruler definition","MEDIUM-HIGH","Use only as HIGHER_COMMAND_ABSTRACTION for the main DUR formation. The Durrani army was a composite of tribal contingents and royal troops rather than two standing V3 corps; Timur was the sovereign military authority, and the main formation represents that realm-wide force. Do not duplicate him onto the second Balkh formation.","common/history/military_formations/04_military_formations_middle_east.txt; common/history/characters/dur.txt; common/character_templates/historical_commanders_asia.txt","Encyclopaedia Iranica, AFGHANISTAN x. Political History: https://www.iranicaonline.org/articles/afghanistan-x-political-history/","Encyclopaedia Iranica, AFGHANISTAN xi. Administration: https://www.iranicaonline.org/articles/afghanistan-xi-admin/","Willem Vogelsang, The Afghans (Blackwell, 2002), birth 1746 at Mashhad; bibliographic preview: https://www.scribd.com/document/724067944/Willem-Vogelsang-The-Afghans-Blackwell-2002","Iranica gives death 7 Shawwal 1207 / 18 May 1793 and transfer of capital to Kabul in 1189/1775. The repository’s age=29 is broadly compatible with a 1746 birth year."
"GEN1776-MEC-009","DUR","Durrani Empire","cleanup2d3e_r1_dur_land_2","region_greater_persia","Secondary Balkh-centered synthetic Durrani formation","1776-01-01","GEN1776-114 — procedural","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","","","","","","","","","","","","","","","","","","Timur Shah exists as historical ruler but is deliberately not duplicated","No distinct 1776 Balkh commander template identified","HIGH","No distinct named commander for the synthetic second formation was documented on 1776-01-01. Durrani forces depended on tribal khans and royal contingents; duplicating Timur across two formations would imply a false corps structure.","common/history/military_formations/04_military_formations_middle_east.txt","Encyclopaedia Iranica, AFGHANISTAN xi. Administration: https://www.iranicaonline.org/articles/afghanistan-xi-admin/","Encyclopaedia Iranica, AFGHANISTAN x. Political History: https://www.iranicaonline.org/articles/afghanistan-x-political-history/","","Keep procedural unless a separately documented Balkh theatre commander for 1 January 1776 is later found."
"GEN1776-MEC-010","ARB","Arabistan / Banu Kaʿb polity","cleanup2d3e_r1_arb_land_1","region_greater_persia","Khuzestan-centered formation","1776-01-01","GEN1776-115 — procedural (pending structure rework)","KEEP_PROCEDURAL","NO_DEFENSIBLE_MAPPING","","","","Potential polity leader Barakat bin Uthman not retained","","","","","","","","","","","","","","","","","No defensible 1776 military commander found in repo","NONE FOUND","MEDIUM-HIGH","The Banu Kaʿb had substantial military/naval power and participated in the Basra crisis, but the audited high-quality sources do not establish a named individual’s personal land command over the mod formation on 1776-01-01. A shaykh/ruler title is insufficient under the project rule.","common/history/military_formations/04_military_formations_middle_east.txt","Encyclopaedia Iranica, SHATT AL-ARAB: https://www.iranicaonline.org/articles/shatt-al-arab/","Encyclopaedia Iranica, KARIM KHAN ZAND (Banu Kaʿb context): https://www.iranicaonline.org/articles/karim-khan-zand/","","Repository already labels this procedural case as pending structure rework; historical research supports keeping that caution."
