tech_id,category,era,tech4c_prerequisites,proposed_prerequisites,removed_cross_tree_prerequisites,added_same_tree_prerequisites,vanilla_prerequisites,decision,semantic_reason,root_after,dead_end_after
electric_telegraph,military,era_7,optical_telegraph_networks,logistics,optical_telegraph_networks,logistics,logistics,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,Vanilla logistics is an active Military predecessor representing the communications and supply organization into which electric telegraphy is integrated; the optical bridge remains conceptual only.,no,yes
field_works,military,era_7,general_staff,general_staff,NONE,NONE,napoleonic_warfare,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
ironclad_tech,military,era_7,iron_hull_construction,iron_hull_construction,NONE,NONE,screw_frigate,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
modern_nursing,military,era_7,medical_degrees,battlefield_evacuation,medical_degrees,battlefield_evacuation,triage,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,"Vanilla triage was absorbed by battlefield_evacuation, whose Military medical and evacuation capability is the canonical active predecessor.",no,yes
breech_loading_artillery,military,era_8,shell_gun;interchangeable_manufacture,shell_gun,interchangeable_manufacture,NONE,rifling;shell_gun,REMOVE_CROSS_TREE_WITHOUT_REPLACEMENT,shell_gun remains a Military naval/artillery ordnance predecessor; the Production tolerance dependency is implicit and no extra gate is needed.,no,no
enlistment_offices,military,era_8,logistics;corps_organization,logistics;corps_organization,NONE,NONE,logistics,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
gantry_cranes,military,era_8,mechanized_naval_dockyards,mechanized_naval_dockyards,NONE,NONE,hydraulic_cranes;screw_frigate,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
monitor_tech,military,era_8,ironclad_tech;breech_loading_artillery,ironclad_tech;breech_loading_artillery,NONE,NONE,ironclad_tech;breech_loading_artillery,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
repeaters,military,era_8,rifling;percussion_cap,rifling;percussion_cap,NONE,NONE,rifling,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
self_propelled_torpedoes,military,era_8,nitroglycerin,shell_gun,nitroglycerin,shell_gun,power_of_the_purse,REPLACE_CROSS_TREE_WITH_SAME_TREE_PREREQUISITE,shell_gun supplies the active Military/Naval explosive-ordnance foundation for compact naval warheads and replaces the Production explosives gate.,no,no
bolt_action_rifles,military,era_9,repeaters,repeaters,NONE,NONE,repeaters,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
floating_harbor,military,era_9,gantry_cranes,gantry_cranes,NONE,NONE,gantry_cranes,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
handcranked_machine_gun,military,era_9,repeaters,repeaters,NONE,NONE,repeaters;breech_loading_artillery,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
jeune_ecole,military,era_9,self_propelled_torpedoes,self_propelled_torpedoes,NONE,NONE,self_propelled_torpedoes,KEEP_SAME_TREE,All TECH-4C prerequisites already share the target effective category and remain semantically defensible.,no,no
