tag_hint,country,ruler_name,native_name,title_1776,birth_date,death_date,age_1776,office_start,office_end,house,religion,ruler_type,recommended_v3_role,date_policy,confidence,source_1,source_2,implementation_note
GBR,Great Britain,George III,George William Frederick,King of Great Britain and Ireland; Elector of Hanover,1738-06-04,1820-01-29,37,1760-10-25,1820-01-29,Hanover,Protestant / Church of England,effective,Ruler,exact_birth_date,HIGH,https://www.royal.uk/george-iii,https://www.royal.uk/royal-archives-coronation,Keep as ruler. Current mod age 37 is historically correct; audit name/title/localisation rather than replacing identity.
FRA,Kingdom of France,Louis XVI,Louis-Auguste de France,King of France and Navarre,1754-08-23,1793-01-21,21,1774-05-10,1792-09-21,Bourbon,Roman Catholic,effective,Ruler,exact_birth_date,HIGH,https://catalogue.bnf.fr/ark:/12148/cb120081657.public,https://www.chateauversailles.fr/decouvrir/histoire/grands-personnages/louis-xvi,"Identity and age 21 are correct if current ruler is Louis XVI. Correct erroneous imperial title: he was king, not emperor."
SPA,Spain,Charles III,Carlos III de Borbón,King of Spain and the Indies,1716-01-20,1788-12-14,59,1759,1788-12-14,Bourbon,Roman Catholic,effective,Ruler,exact_birth_date,HIGH,https://ejercito.defensa.gob.es/museo/en/HECHOS_HISTORICOS/HECHOS_HISTORICOS/01.20_enero_Nacimiento_Carlos_III.html,https://pares.mcu.es/ParesBusquedas20/catalogo/autoridad/46852/imprimir,Replace any generic/late ruler with Carlos III.
POR,Kingdom of Portugal,Joseph I,D. José I,King of Portugal and the Algarves,1714-06-06,1777-02-24,61,1750,1777-02-24,Braganza,Roman Catholic,effective,Ruler,exact_birth_date,HIGH,https://antt.dglab.gov.pt/exposicoes-virtuais-2/nascimento-d-jose/,https://www.parlamento.pt/VisitaParlamento/Paginas/BiogDJose.aspx,"Must be José I on 1776-01-01, not Maria I and not a generated ruler."
RUS,Russian Empire,Catherine II,Ekaterina II / Catherine the Great,Empress and Autocrat of All the Russias,1729-05-02,1796-11-17,46,1762,1796-11-17,Romanov (by marriage); Anhalt-Zerbst by birth,Russian Orthodox,effective,Ruler,exact_birth_date_new_style,HIGH,https://virtual.rusmuseumvrm.ru/mikh_palace/collection/russkoe_iskusstvo_xviii_veka/portret_ekaterini_ii/index.php?lang=ru,https://www.britishmuseum.org/collection/term/BIOG22234,Current identity Catherine is correct; age should be 46 on 1776-01-01.
PRU,Prussia,Frederick II,Friedrich II,King of Prussia,1712-01-24,1786-08-17,63,1740,1786-08-17,Hohenzollern,Reformed Protestant,effective,Ruler; military role only if existing design justifies it,exact_birth_date,HIGH,https://frederick.mml.ox.ac.uk/history,https://www.deutsche-biographie.de/sfz56983.html,"Replace the child Friedrich Wilhelm. If represented as a general too, audit formation assignment separately."
AUS,Habsburg Monarchy / Austria,Maria Theresa,Maria Theresia,Archduchess of Austria; Queen of Hungary and Bohemia; ruler of the Habsburg Monarchy,1717-05-13,1780-11-29,58,1740,1780-11-29,Habsburg-Lorraine,Roman Catholic,effective_primary,Ruler,exact_birth_date,HIGH,https://www.habsburger.net/en/persons/habsburg-emperor/maria-theresa,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,"Use Maria Theresa as the single V3 ruler. Joseph II was co-regent and Holy Roman Emperor from 1765, but Maria Theresa continued to rule the Habsburg Monarchy. Do not create two simultaneous country rulers."
AUS_SECONDARY,Habsburg Monarchy / Austria,Joseph II,Joseph II,Holy Roman Emperor; co-regent of the Habsburg Monarchy,1741-03-13,1790-02-20,34,1765,1790-02-20,Habsburg-Lorraine,Roman Catholic,co_regent_secondary,Secondary historical political character; not a second ruler,exact_birth_date,HIGH,https://www.habsburger.net/en/persons/habsburg-emperor/joseph-ii,https://www.habsburger.net/en/chapter/joseph-ii-co-regent,Create/preserve as secondary historical character if technically useful; avoid duplicate ruler slot.
SWE,Sweden,Gustav III,Gustav III,King of Sweden,1746-01-24,1792-03-29,29,1771,1792-03-29,Holstein-Gottorp,Lutheran,effective,Ruler,exact_birth_date,HIGH,https://collection.nationalmuseum.se/sv/artists/artist/5609/,https://www.universalis.fr/encyclopedie/gustave-iii/,Replace Bernadotte/late ruler with Gustav III.
DEN,Denmark–Norway,Christian VII,Christian VII,King of Denmark and Norway,1749-01-28,1808-03-13,26,1766-01-14,1808-03-13,Oldenburg,Lutheran,nominal_and_legal,Ruler,exact_birth_date,HIGH,https://denkongeligesamling.dk/en/the-collection/persons/christian-vii-1749-1808/,,"In 1776 Struensee was already gone; Christian VII remained king. Government was heavily managed by ministers, but do not replace him with Struensee."
PLC,Polish–Lithuanian Commonwealth,Stanisław August Poniatowski,Stanisław August Poniatowski,King of Poland and Grand Duke of Lithuania,1732-01-17,1798-02-12,43,1764-09-07,1795-11-25,Poniatowski,Roman Catholic,effective,Ruler,exact_birth_date,HIGH,https://mnk.pl/en/wystawy/stanislaw-august-poniatowski-the-enlightened-king/,https://www.britishmuseum.org/collection/term/BIOG144349,Use Stanisław August; audit current PLC tag and title localization.
TUR,Ottoman Empire,Abdülhamid I,I. Abdülhamid,Ottoman Sultan,1725-03-20,1789-04-07,50,1774-01-21,1789,Ottoman,Sunni Islam,effective,Ruler,exact_birth_date,HIGH,https://islamansiklopedisi.org.tr/abdulhamid-i,https://www.larousse.fr/encyclopedie/personnage/Abd%C3%BClhamid_I_er/103767,Replace Mahmud II/random ruler with Abdülhamid I.
CHI,Qing Empire,Hongli (Qianlong Emperor),Aisin-Gioro Hongli / 乾隆帝,Emperor of the Great Qing,1711-09-25,1799-02-07,64,1735/1736,1796,Aisin Gioro,Qing imperial / Confucian state representation,effective,Ruler,exact_birth_date,HIGH,https://www.slam.org/collection/constituents/4032/,https://www.britishmuseum.org/collection/term/BIOG132266,Use Hongli/Qianlong. Codex should map religion to an existing V3 key without inventing a new historical claim.
JAP,Tokugawa Shogunate,Tokugawa Ieharu,徳川家治,10th Shōgun of the Tokugawa shogunate,1737-06-20,1786-09-17,38,1760,1786,Tokugawa,Buddhist/Shinto context; use existing game mapping,effective,Ruler,exact_birth_date,HIGH,https://www.pbs.org/empires/japan/timeline_1700.html,https://jref.com/articles/tokugawa-ieharu-1737-1786.931/,"Replace Ienari. In a shogunate country, Ieharu is the effective political ruler; do not substitute the emperor."
