tech_id,reference_class,referencing_object_type,referencing_object_id,file,line_or_context,notes
academia,BUILDING_REQUIREMENT,buildings,building_university,common/buildings/07_government.txt,44: academia,
academia,EVENT_EFFECT,history,COUNTRIES,common/history/countries/chi - china.txt,6: add_technology_researched = academia,
academia,EVENT_EFFECT,history,COUNTRIES,common/history/countries/haw - hawaii.txt,6: add_technology_researched = academia,
academia,EVENT_EFFECT,history,COUNTRIES,common/history/countries/jap - japan.txt,5: add_technology_researched = academia,
academia,EVENT_EFFECT,history,COUNTRIES,common/history/countries/lan - lanfang.txt,8: add_technology_researched = academia,
academia,EVENT_EFFECT,history,COUNTRIES,common/history/countries/tur - ottoman empire.txt,5: add_technology_researched = academia,
academia,TRIGGER,ideologies,ideology_modernizer_leader,common/ideologies/01_character_ideologies.txt,10474: has_technology_researched = academia,
academia,TRIGGER,ideologies,ideology_mitogaku,common/ideologies/01_character_ideologies.txt,11802: has_technology_researched = academia,
academia,TRIGGER,interest_groups,ig_intelligentsia,common/interest_groups/00_intelligentsia.txt,296: has_technology_researched = academia,
academia,JOURNAL_REQUIREMENT,journal_entries,je_british_dictate_universities,common/journal_entries/04_india_british_dictates.txt,"348: icon = ""gfx/interface/icons/invention_icons/academia.dds""",
academia,LAW_REQUIREMENT,laws,law_private_schools,common/laws/00_education_system.txt,164: academia,
academia,LAW_REQUIREMENT,laws,law_terakoya,common/laws/00_education_system.txt,274: academia,
academia,TRIGGER,parties,free_trade_party,common/parties/free_trade_party.txt,582: has_technology_researched = academia,
academia,TRIGGER,political_movements,movement_modernizer,common/political_movements/00_ideological_movements.txt,7302: has_technology_researched = academia,
academia,EVENT_EFFECT,scripted_effects,effect_starting_technology_tier_3_tech,common/scripted_effects/00_starting_inventions.txt,70: add_technology_researched = academia,
academia,PREREQUISITE,technology,romanticism,common/technology/technologies/30_society.txt,134: academia,
academia,PREREQUISITE,technology,medical_degrees,common/technology/technologies/30_society.txt,326: academia,
academia,PREREQUISITE,technology,empiricism,common/technology/technologies/30_society.txt,367: academia,
academia,EVENT_CONDITION,event,character_events.2,events/character_events.txt,25: has_technology_researched = academia,
academia,LOCALIZATION_ONLY,technology_localization,academia,localization/english/inventions_l_english.yml,"585: academia:0 ""Academia""",English name/description key.
academia,LOCALIZATION_ONLY,technology_localization,academia_desc,localization/english/inventions_l_english.yml,"586: academia_desc:1 ""Institutions of higher education don't just improve individual minds, but bring the nation's best and brightest together, where they can create extraordinary things.""",English name/description key.
admiralty,TRIGGER,ai_strategies,ai_strategy_default,common/ai_strategies/00_default_strategy.txt,4977: has_technology_researched = admiralty,
admiralty,BUILDING_REQUIREMENT,buildings,building_naval_administration,common/buildings/05_military.txt,106: admiralty,
admiralty,TRIGGER,character_traits,basic_naval_commander,common/character_traits/skill_traits.txt,753: has_technology_researched = admiralty,
admiralty,TRIGGER,character_traits,convoy_raider_commander,common/character_traits/skill_traits.txt,843: has_technology_researched = admiralty,
admiralty,EVENT_EFFECT,history,COUNTRIES,common/history/countries/per - persia.txt,13: add_technology_researched = admiralty,
admiralty,EVENT_EFFECT,scripted_effects,effect_starting_technology_tier_3_tech,common/scripted_effects/00_starting_inventions.txt,57: add_technology_researched = admiralty,
admiralty,EVENT_EFFECT,scripted_effects,effect_starting_technology_tier_4_tech,common/scripted_effects/00_starting_inventions.txt,97: add_technology_researched = admiralty,
admiralty,PREREQUISITE,technology,paddle_steamer,common/technology/technologies/20_military.txt,204: admiralty,
admiralty,PREREQUISITE,technology,power_of_the_purse,common/technology/technologies/20_military.txt,403: admiralty,
admiralty,LOCALIZATION_ONLY,technology_localization,admiralty,localization/english/inventions_l_english.yml,"69: admiralty:0 ""Admiralty""",English name/description key.
admiralty,LOCALIZATION_ONLY,technology_localization,admiralty_desc,localization/english/inventions_l_english.yml,"70: admiralty_desc:0 ""The Admiralty is a complex system of ranks connected by a rigid chain of command to help the navy work more efficiently.""",English name/description key.
analytical_philosophy,PM_REQUIREMENT,production_methods,pm_analytical_philosophy_department,common/production_methods/07_government.txt,237: analytical_philosophy,
analytical_philosophy,LOCALIZATION_ONLY,technology_localization,analytical_philosophy,localization/english/inventions_l_english.yml,"629: analytical_philosophy:0 ""Analytical Philosophy""",English name/description key.
analytical_philosophy,LOCALIZATION_ONLY,technology_localization,analytical_philosophy_desc,localization/english/inventions_l_english.yml,"630: analytical_philosophy_desc:1 ""A rigorous, argumentative approach to philosophy, the formal logic and near-mathematical attitude of analytic philosophy provides a solid framework to approach social movements with.""",English name/description key.
anarchism,TRIGGER,character_templates,RUS_alexey_aleksandrovich_solonovich,common/character_templates/country_rus.txt,1937: has_technology_researched = anarchism,
anarchism,TRIGGER,character_templates,RUS_olha_illivna_taratuta,common/character_templates/country_rus.txt,1969: has_technology_researched = anarchism,
anarchism,TRIGGER,ideologies,ideology_anarchist,common/ideologies/01_character_ideologies.txt,5186: has_technology_researched = anarchism,
anarchism,TRIGGER,ideologies,ideology_utopian,common/ideologies/01_character_ideologies.txt,10300: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_communism_1,common/journal_entries/00_communism.txt,10: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_prohibition,common/journal_entries/00_prohibition_laws.txt,8: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_nihilist_movement,common/journal_entries/01_nihilism.txt,130: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_the_paris_commune_display,common/journal_entries/01_paris_commune.txt,11: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_populist_unrest,common/journal_entries/02_vargas.txt,10: has_technology_researched = anarchism,
anarchism,JOURNAL_REQUIREMENT,journal_entries,je_spanish_anarchism,common/journal_entries/06_spanish_anarchism.txt,15: has_technology_researched = anarchism,
anarchism,LAW_REQUIREMENT,laws,law_anarchy,common/laws/00_distribution_of_power.txt,1162: anarchism,
anarchism,TRIGGER,parties,agrarian_party,common/parties/agrarian_party.txt,651: has_technology_researched = anarchism,
anarchism,UNLOCK,parties,anarchist_party,common/parties/anarchist_party.txt,76: anarchism,
anarchism,TRIGGER,parties,free_trade_party,common/parties/free_trade_party.txt,765: has_technology_researched = anarchism,
anarchism,TRIGGER,political_movements,movement_anarchist,common/political_movements/00_ideological_movements.txt,2829: has_technology_researched = anarchism,
anarchism,TRIGGER,political_movements,movement_nihilist,common/political_movements/00_ideological_movements.txt,5564: has_technology_researched = anarchism,
anarchism,TRIGGER,political_movements,movement_nihilist,common/political_movements/00_ideological_movements.txt,5593: has_technology_researched = anarchism,
anarchism,TRIGGER,scripted_effects,adopt_random_antigovernment_ideology,common/scripted_effects/00_victoria_scripted_effects.txt,461: has_technology_researched = anarchism,
anarchism,PREREQUISITE,technology,political_agitation,common/technology/technologies/30_society.txt,1439: anarchism,
anarchism,EVENT_CONDITION,event,historical_agitators.10,events/agitators_events/historic_agitator_events.txt,863: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,historical_agitators.11,events/agitators_events/historic_agitator_events.txt,971: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,anarchism_events.1,events/iberia_events/ip4_anarchism_events.txt,54: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,anarchism_events.2,events/iberia_events/ip4_anarchism_events.txt,222: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,anarchism_events.3,events/iberia_events/ip4_anarchism_events.txt,365: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,anarchism_events.4,events/iberia_events/ip4_anarchism_events.txt,498: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,nihilism.3,events/nihilism.txt,333: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,nihilism.3,events/nihilism.txt,362: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,nihilism.3,events/nihilism.txt,402: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,nihilism.3,events/nihilism.txt,431: has_technology_researched = anarchism,
anarchism,EVENT_CONDITION,event,utopian.2,events/utopians.txt,127: has_technology_researched = anarchism,
anarchism,LOCALIZATION_ONLY,technology_localization,anarchism,localization/english/inventions_l_english.yml,"73: anarchism:0 ""Anarchism""",English name/description key.
anarchism,LOCALIZATION_ONLY,technology_localization,anarchism_desc,localization/english/inventions_l_english.yml,"74: anarchism_desc:0 ""A political ideology promoting self-governance and opposition to authority. Anarchism seeks to do away with the state and other institutions which rule over people against their will, replacing them with voluntary associations.""",English name/description key.
aniline,BUILDING_REQUIREMENT,buildings,building_synthetics_plant,common/buildings/01_industry.txt,226: aniline,
aniline,COMPANY_REQUIREMENT,company_types,company_basf,common/company_types/00_companies_germany.txt,463: has_technology_researched = aniline,
aniline,COMPANY_REQUIREMENT,company_types,company_basf,common/company_types/00_companies_germany.txt,480: has_technology_researched = aniline,
aniline,PREREQUISITE,technology,art_silk,common/technology/technologies/10_production.txt,781: aniline,
aniline,LOCALIZATION_ONLY,technology_localization,aniline,localization/english/inventions_l_english.yml,"75: aniline:0 ""Aniline""",English name/description key.
aniline,LOCALIZATION_ONLY,technology_localization,aniline_desc,localization/english/inventions_l_english.yml,"76: aniline_desc:0 ""Aniline makes certain dye colors trivial to produce.""",English name/description key.
antibiotics,TRIGGER,character_templates,JAP_taisho_yamato,common/character_templates/country_jap.txt,126: NOT = { has_technology_researched = antibiotics },
antibiotics,EVENT_CONDITION,event,russia_monarchy.8,events/russia_events.txt,490: has_technology_researched = antibiotics,
antibiotics,EVENT_CONDITION,event,lobby_events.57,events/soi_events/00_lobbies_events_03.txt,2147: target = { has_technology_researched = antibiotics },
