action,source,target,replacement_source,replacement_target,old_status,new_status,reason
KEEP,early_socialism_cooperativism,anarchism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,electric_arc_process,arc_welding,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,aniline,art_silk,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,bolt_action_rifles,automatic_machine_guns,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,handcranked_machine_gun,automatic_machine_guns,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,sea_lane_strategies,battlefleet_tactics,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,dreadnought_tech,battleship_tech,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,hot_blast_smelting,bessemer_process,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,repeaters,bolt_action_rifles,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,shell_gun,breech_loading_artillery,,,STRONG,CROSS_BRANCH_JUSTIFIED,Direct continuation within the same conceptual technology family.
KEEP,dreadnought_tech,carrier_tech,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,identification_documents,central_planning,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,nationalism,civilizing_mission,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,quinine,civilizing_mission,,,WEAK,PLAUSIBLE,Reliable tropical medicine materially enabled sustained imperial administration and the expansionist doctrine represented by the civilizing mission.
KEEP,rotary_valve_engine,combustion_engine,,,PLAUSIBLE,PLAUSIBLE,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by combustion_engine; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,combustion_engine,compression_ignition,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,floating_harbor,concrete_dockyards,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,defense_in_depth,concrete_fortifications,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,electrical_generation,conveyors,,,PLAUSIBLE,PLAUSIBLE,"electrical_generation supplies a concrete technical, institutional or doctrinal input used by conveyors; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,shift_work,conveyors,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,vulcanization,conveyors,,,PLAUSIBLE,PLAUSIBLE,"vulcanization supplies a concrete technical, institutional or doctrinal input used by conveyors; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,investment_banks,corporate_management,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,labor_movement,corporatism,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,nationalism,corporatism,,,PLAUSIBLE,PLAUSIBLE,"nationalism supplies a concrete technical, institutional or doctrinal input used by corporatism; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,trench_works,defense_in_depth,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,monitor_tech,destroyer,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,conveyors,dough_rollers,,,PLAUSIBLE,PLAUSIBLE,"conveyors supplies a concrete technical, institutional or doctrinal input used by dough_rollers; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,pre_dreadnought_tech,dreadnought_tech,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,nitroglycerin,dynamite,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,open_hearth_process,electric_arc_process,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,electrical_capacitors,electric_railway,,,PLAUSIBLE,PLAUSIBLE,"electrical_capacitors supplies a concrete technical, institutional or doctrinal input used by electric_railway; the link is retained as a bounded enabling dependency rather than temporal association."
KEEP,steel_railway_cars,electric_railway,,,STRONG,ESSENTIAL,Direct continuation within the same conceptual technology family.
KEEP,optical_telegraph_networks,electric_telegraph,,,STRONG,CROSS_BRANCH_JUSTIFIED,Direct continuation within the same conceptual technology family.
KEEP,electrical_generation,electrical_capacitors,,,STRONG,STRONG,Direct continuation within the same conceptual technology family.
KEEP,rotary_valve_engine,electrical_generation,,,PLAUSIBLE,PLAUSIBLE,"rotary_valve_engine supplies a concrete technical, institutional or doctrinal input used by electrical_generation; the link is retained as a bounded enabling dependency rather than temporal association."
