source,target,source_branch,target_branch,source_era,target_era,classification,cross_branch,reason,future_review_priority
fractional_distillation,baking_powder,Production,Production,era_6,era_7,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
hot_blast_smelting,bessemer_process,Production,Production,era_6,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
national_sovereignty,nationalism,Society,Society,era_4,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
periodical_print_networks,nationalism,Society,Society,era_1,era_7,WEAK,no,At least one endpoint is transversal or not cleanly assigned; direct necessity is unclear.,MEDIUM
industrial_acids,nitroglycerin,Production,Production,era_2,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
nationalism,organized_sports,Society,Society,era_7,era_7,WEAK,no,"National identity encouraged organized sport, but nationalism is not a direct technical prerequisite.",MEDIUM
colonization,quinine,Society,Society,era_4,era_7,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
pharmaceuticals,quinine,Society,Society,era_6,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
romanticism,realism,Society,Society,era_7,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
institutionalized_scientific_exchange,romanticism,Society,Society,era_1,era_7,WEAK,no,At least one endpoint is transversal or not cleanly assigned; direct necessity is unclear.,MEDIUM
high_pressure_steam,watertube_boiler,Production,Production,era_5,era_7,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
early_socialism_cooperativism,anarchism,Society,Society,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
rifling,breech_loading_artillery,Military,Military,era_5,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
shell_gun,breech_loading_artillery,Military,Military,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
realism,camera,Society,Society,era_7,era_8,ARBITRARY,no,An artistic movement does not technically enable photographic apparatus.,HIGH
nationalism,civilizing_mission,Society,Society,era_7,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
quinine,civilizing_mission,Society,Society,era_7,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
labor_movement,corporatism,Society,Society,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
nationalism,corporatism,Society,Society,era_7,era_8,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
nitroglycerin,dynamite,Production,Production,era_7,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
logistics,electric_telegraph,Military,Military,era_5,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
optical_telegraph_networks,electric_telegraph,Society,Military,era_4,era_8,STRONG,yes,Direct continuation within the same conceptual technology family.,LOW
corps_organization,enlistment_offices,Military,Military,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
logistics,enlistment_offices,Military,Military,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
human_rights,feminism,Society,Society,era_4,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
corps_organization,field_works,Military,Military,era_5,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
iron_hull_construction,gantry_cranes,Naval,Naval,era_6,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
mechanized_naval_dockyards,gantry_cranes,Naval,Naval,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
central_statistical_offices,identification_documents,Society,Society,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
intensive_agriculture,improved_fertilizer,Production,Production,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
iron_hull_construction,ironclad_tech,Naval,Naval,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
threshing_machine,mechanized_farming,Production,Production,era_4,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
medical_degrees,modern_nursing,Society,Military,era_3,era_8,STRONG,yes,Direct continuation within the same conceptual technology family.,LOW
institutionalized_public_credit,mutual_funds,Society,Society,era_1,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
postal_savings,mutual_funds,Society,Society,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
bessemer_process,open_hearth_process,Production,Production,era_7,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
nationalism,pan-nationalism,Society,Society,era_7,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
medical_degrees,philosophical_pragmatism,Society,Society,era_3,era_8,WEAK,no,Professional medicine and philosophical pragmatism are historically adjacent but not a direct dependency.,MEDIUM
bessemer_process,reinforced_concrete,Production,Production,era_7,era_8,PLAUSIBLE,no,Mass steel production supports steel reinforcement in concrete construction.,LOW
hydraulic_cements,reinforced_concrete,Production,Production,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
percussion_cap,repeaters,Military,Military,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
rifling,repeaters,Military,Military,era_5,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
watertube_boiler,rotary_valve_engine,Production,Production,era_7,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
chemical_bleaching,rubber_mastication,Production,Production,era_4,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
fractional_distillation,rubber_mastication,Production,Production,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
state_dockyard_systems,self_propelled_torpedoes,Naval,Naval,era_1,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
interchangeable_manufacture,shift_work,Production,Production,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
early_socialism_cooperativism,socialism,Society,Society,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
labor_movement,socialism,Society,Society,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
intensive_agriculture,steam_donkey,Production,Production,era_5,era_8,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
professional_civil_engineering,steel_frame_buildings,Production,Society,era_5,era_8,CROSS_BRANCH_JUSTIFIED,yes,Canonical TECH-3B civil-engineering bridge into steel-frame construction.,LOW
railways,steel_railway_cars,Production,Production,era_6,era_8,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
interchangeable_manufacture,vacuum_canning,Production,Production,era_6,era_8,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
rubber_mastication,aniline,Production,Production,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
rotary_valve_engine,electrical_generation,Production,Production,era_8,era_9,PLAUSIBLE,no,Related technology families with a credible enabling relationship.,LOW
gantry_cranes,floating_harbor,Naval,Naval,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
breech_loading_artillery,handcranked_machine_gun,Military,Military,era_8,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
repeaters,handcranked_machine_gun,Military,Military,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
mutual_funds,investment_banks,Society,Society,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
stock_exchange,investment_banks,Society,Society,era_1,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
self_propelled_torpedoes,jeune_ecole,Naval,Naval,era_8,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
electric_telegraph,military_statistics,Military,Military,era_8,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
general_staff,military_statistics,Military,Military,era_6,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
breech_loading_artillery,monitor_tech,Military,Naval,era_8,era_9,CROSS_BRANCH_JUSTIFIED,yes,Modern naval gun systems support monitor warship development.,LOW
ironclad_tech,monitor_tech,Naval,Naval,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
dynamite,pumpjacks,Production,Production,era_8,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
steam_donkey,pumpjacks,Production,Production,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
electric_telegraph,trench_works,Military,Military,era_8,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
field_works,trench_works,Military,Military,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
general_staff,trench_works,Military,Military,era_6,era_9,WEAK,no,"Same broad branch, but the direct enabling relationship is not strong.",MEDIUM
rubber_mastication,vulcanization,Production,Production,era_8,era_9,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
aniline,art_silk,Production,Production,era_9,era_10,STRONG,no,Direct continuation within the same conceptual technology family.,LOW
