Required_Technology,Building_ID,PM_ID,Conflict_Count,Affected_TAG_Count,Affected_State_Count,Current_Gate,Decision,Replacement_Gate,Starting_Tech_Changes_Required,Building_Definition_Change,PM_Definition_Change,Reason,Risk
applied_mineralogy,building_gold_mine,,6,5,5,BUILDING:applied_mineralogy,CHANGE_BUILDING_GATE,shaft_mining,RECALCULATE_AGAINST_REPLACEMENT_GATE:shaft_mining,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] A commercial gold mine can exist with era-1 shaft mining; applied mineralogy is too late for the base picks-and-shovels PM.,MEDIUM
coke_smelting,building_steel_mill,pm_coke_blast_furnaces,7,4,7,BUILDING:coke_smelting,MOVE_GATE_TO_PM,building:organized_workshops;pm:pm_coke_blast_furnaces,RECALCULATE_AFTER_NEW_BASE_PM,YES,YES,"[C — PM_GATE_NOT_BUILDING_GATE] The historical target includes pre-coke ironworks, but the current default PM is already coke blast furnaces. A traditional base PM is required before moving coke_smelting to the coke PM.",HIGH
enclosed_dock_systems,building_port,,189,72,178,BUILDING:enclosed_dock_systems,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The base port PM is an anchorage. Ancient ports cannot require enclosed dock systems; later dock PMs retain their own gates.,MEDIUM
improved_husbandry,building_coffee_plantation,,2,2,2,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_dye_plantation,,1,1,1,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_livestock_ranch,,39,25,22,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_millet_farm,,5,5,2,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_spice_plantation,,4,1,4,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_sugar_plantation,,7,5,3,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_tobacco_plantation,,1,1,1,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_vineyard,,6,3,6,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
improved_husbandry,building_wheat_farm,,15,7,14,BUILDING:improved_husbandry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,[B — BUILDING_GATE_TOO_ADVANCED] The building's default PM is basic cultivation or husbandry. Improved techniques are already represented by later PM gates.,MEDIUM
industrial_canals,building_railway,pm_industrial_canals,10,5,10,PM:industrial_canals,KEEP_GATE_ADD_TECH,industrial_canals,YES — 5 TAGS: BEO|FRA|GBR|NET|RUS,NO,NO,"[A — COUNTRY_SHOULD_HAVE_TECH] This is a PM gate, not a building gate. The ten exact canal targets justify the technology and must keep rail disabled.",MEDIUM
marine_chronometry,building_fishing_wharf,,39,16,38,BUILDING:marine_chronometry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,"[B — BUILDING_GATE_TOO_ADVANCED] The default PM is simple coastal fishing. Marine chronometry belongs to advanced navigation, not existence of a fishing wharf.",LOW
marine_chronometry,building_whaling_station,,6,3,6,BUILDING:marine_chronometry,REMOVE_BUILDING_GATE,NONE,NO,YES,NO,"[B — BUILDING_GATE_TOO_ADVANCED] The default PM is simple whaling, historically older than marine chronometry; later equipment remains gated separately.",MEDIUM
