"test_id","status","operator_evidence","failure_attributable_to_prep1e","root_cause","followup_fix_required"
"PREP1E-00","PASS","Operator completed exactly one human launch","NO","","NO"
"PREP1E-01","PASS","Operator checklist: Trafalgar remains correct","NO","","NO"
"PREP1E-02","PASS","Operator checklist: Delaware frontend remains correct","NO","","NO"
"PREP1E-03","PASS","Operator heard Cantus Firmus start at menu entry","NO","","NO"
"PREP1E-04","PASS","Operator confirmed exactly SWE BEO DAI DENNOR","NO","","NO"
"PREP1E-05","PASS","Operator confirmed the Austrian-Netherlands BEO flag is visible","NO","","NO"
"PREP1E-06","PASS","Operator confirmed BEO is no longer a blank white flag","NO","","NO"
"PREP1E-07","PASS","Operator accepted the Austrian/Brabant 1776 presentation","NO","","NO"
"PREP1E-08","PASS","Operator reports complete readable French tutorial texts","NO","","NO"
"PREP1E-09","PASS","Operator reports no raw key or unexpected fallback","NO","","NO"
"PREP1E-10","PASS","Operator reports no major overflow","NO","","NO"
"PREP1E-11","PASS","Objective card retains the striped BIC company ensign","NO","In-game BIC receives the British overlord canton through existing dynamic flag rules; this differs from the base objective CoA by design path","NO"
"PREP1E-12","PASS","Operator confirmed the VOC-lettered objective flag remains correct","NO","","NO"
"PREP1E-13","PASS","Operator confirmed the Bourbon objective flag remains correct","NO","","NO"
"PREP1E-14","PASS","Operator confirmed all four customized paintings remain present","NO","","NO"
"PREP1E-15","PASS","Operator entered a game as BIC without crash","NO","","NO"
"PREP1E-16","PASS","Operator closed game and launcher; process check returned zero; launch count 1/1","NO","","NO"
"PREP1E-17","PASS","Fresh error.log contains zero BEO/CoA/objective/frontend scoped errors","NO","One malformed-token diagnostic names unchanged 07_NM_Flags.txt and is not attributable to the added BEO block","NO"
