"tag","country","region","current_government","current_ruler","reason_detected","explicit_character_found","shared_monarch_found","regency_found","delegated_executive_found","expected_engine_generation","confidence","requires_historical_research","requires_government_research","map_dependency","notes"
"ACE","Aceh","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"AGC","Angoche","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"AIT","Ait Abbas","NORTH_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"ALK","Alaska","NORTH_AMERICA","law_colonial_administration","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MAJOR","Static 1776 setup audit; no external historical research performed."
"ANK","Ankole","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"ARB","Arabistan","MIDDLE_EAST","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","MINOR","Static 1776 setup audit; no external historical research performed."
"ASH","Ashanti","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"AWA","Awadh","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BAL","Bali","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BEN","Benin","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BGI","Bagirmi","CENTRAL_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BHN","Bahrain","ARABIAN_PENINSULA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BHU","Bhutan","SOUTH_ASIA","law_presidential_republic","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BHV","Bhavnagar","INDIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BLG","Bulungan","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BNJ","Banjar","SOUTHEAST_ASIA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BNY","Bunyoro","EAST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
"BOR","Bornu","WEST_AFRICA","law_monarchy","Engine-generated ruler (name not captured)","Active centralized tag minus explicit ruler/shared monarch/regency/delegated executive","NO","NO","NO","NO","YES","HIGH","YES","YES","NO","Static 1776 setup audit; no external historical research performed."
