phase,reference_date,gen_id,country_tag,polity_1776,formation_key,current_repo_status,recommendation,candidate_name,native_or_original_name,alternate_names_transliterations,birth_date,birth_date_precision,age_on_1776_01_01,birth_date_notes,birth_place,birth_polity,birth_state_v3,birth_state_v3_confidence,death_date,death_place,military_function_1776,function_dates,command_1776,campaign_or_activity_1776_01_01,culture_historical,culture_v3_candidate,religion,social_origin,traits_historically_argumentable,portrait_status,portrait_description,existing_dna_or_template,overall_confidence,decision_reason,source_1,source_2,source_3
CLEANUP-2D-5K,1776-01-01,GEN1776-151,DEI,VOC territorial administration / Dutch East India Company,Koninklijk_Nederlandsch_Indisch_Leger,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,Gideon Dulez/Dubez; Johan George Englert,,Gideon Dulez / Dubez; Johan George Englert,,not established,,,,,,,,,"Named VOC artillery/military majors are attested during 1776, but exact status on 1776-01-01 is unproven.",,,No exact formation-wide commander securely tied to the reference date was identified.,Dutch / European VOC officer corps (candidate-specific data incomplete),,not established candidate-by-candidate,,None recommended without exact-reference-date identity.,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,"Contemporary VOC records identify named majors in Batavia later in 1776, but the evidence located is post-reference-date and does not prove formation-wide command on 1776-01-01. Do not backdate them. Note separately that the formation label 'KNIL' is itself later than 1776, but renaming formations is outside this research phase.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-152,BUR,Konbaung Kingdom (Burma),tatmadaw,IMPLEMENT_NAMED_HISTORICAL_GENERAL,REBUILD_NAMED_HISTORICAL_GENERAL,Maha Thiha Thura,မဟာသီဟသူရ,Maha Thiha Thura; Maha Thihathura; Maha Thihathura; childhood name reported as Maung Tha,1720,YEAR_ONLY_DISPUTED,~55 if 1720 is accepted; conflicting Thai tradition implies ~72 in 1775,"Modern Burmese-language biographical source gives 1720-1782 and Mu River/Shwebo origin. A Thai institutional narrative for the 1775 campaign reports the Burmese commander as age 72, implying c.1703. No exact civil birth record was located. Recommended: encode 1720 only if the engine requires a year, with an explicit disputed-year research note; never preserve an unreferenced procedural age.",Mu River valley / Shwebo area,"Upper Burma, pre-Konbaung / Burmese realm",STATE_MANDALAY (approximate mapping for Shwebo/Mu Valley),MEDIUM,1782,Ava / Upper Burma (executed after Bodawpaya's accession crisis),Senior Royal Burmese Army commander; commander-in-chief / overall commander of the 1775-1776 Siam campaign.,Top command documented across the late 1760s-1776; active as overall commander in the 1775 invasion.,Main Burmese invasion forces operating through the Martaban-Myawaddy-Raheng/Sukhothai-Phitsanulok axis; subordinate columns operated elsewhere.,Burmese-Siamese War of 1775-1776; campaigning in northern Siam around Phitsanulok. Withdrawal occurs only after Hsinbyushin's death later in 1776.,Bamar/Burmese (probable; native upper-Burma military elite),Burmese/Bamar culture key — verify exact mod/vanilla key at implementation time,"Theravada Buddhist — historically very probable, but no personal devotional record located in the consulted core sources",Mu Valley/Shwebo military elite; selected into Alaungpaya's fighting cadre according to Burmese biographical tradition,"experienced commander [HIGH]; strategic commander [HIGH]; offensive campaigner [HIGH]; pragmatic/diplomatic commander [MEDIUM, based on Qing peace decision]",NO_AUTHENTICATED_CONTEMPORARY_PORTRAIT_LOCATED,Later generic/retrospective depictions may exist; none located that can be authenticated as a contemporary likeness.,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH military identity / MEDIUM birth data,"The named commander is correct, but the personal profile must be rebuilt. He was the senior Burmese commander leading the 1775-1776 invasion of Siam. Birth data are disputed enough that a procedural-looking exact age must not be retained.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://www.myawady.net.mm/kunbheaangkhette-ccsuukiimhaasiihsuur,"Maung Htin Aung, A History of Burma, Cambridge University Press, 1967, pp. 184-186 (1775 invasion and 1776 withdrawal)."
CLEANUP-2D-5K,1776-01-01,GEN1776-153,PHI,Spanish Captaincy General of the Philippines,ejercito_de_filipinas,PROCEDURAL_ALLOWED,IMPLEMENT_NAMED_HISTORICAL_GENERAL,Simón de Anda y Salazar,Simón de Anda y Salazar,Simon de Anda; Simón Anda y Salazar,1709-10-28,EXACT,66,1709 is preferred. A minority tertiary tradition gives 1701; Basque reference and authority records support 28 Oct 1709.,"Subijana / Subijana-Morillas, Álava",Crown of Spain,STATE_NAVARRA (approximate V3 mapping for Álava/Basque provinces),MEDIUM,1776-10-30,"Cavite, Philippines",Governor and Captain General of the Philippines; supreme colonial military authority.,1770-1776 (second governorship/captaincy-general period),"Captaincy General forces, including direct personnel authority over the Manila Infantry Regiment.",No active major war identified on the exact date; garrison/defence administration and strengthening of military defences. His earlier 1762-1764 resistance to the British demonstrates real field-military experience.,"Basque (Álava), in Spanish imperial service",Basque if available; otherwise Spanish only as a fallback mapping,Roman Catholic,"Educated Basque legal/administrative elite; former Dominican novice, jurist and royal official before military-colonial command",experienced commander [HIGH]; defensive strategist [HIGH]; organizer/administrator [HIGH but may not map to a general trait],PORTRAIT/ENGRAVING_AVAILABLE; DATE/AUTHENTICITY_OF_LIKENESS_TO_BE_CHECKED,"Historical portraits and later monuments exist; use only a rights-cleared period portrait/engraving if one can be sourced, not a monument as DNA evidence.",Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,"Admissible not merely as governor: he formally held the office of Governor and Captain General, and an Archivo General de Indias file records him on 1775-12-30 giving his opinion on officer appointments to companies of the Manila Infantry Regiment. This is direct military-administrative authority immediately before the reference date.",https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,https://pares.mcu.es/ParesBusquedas20/catalogo/description/13086945,https://www.fbbva.es/publicaciones/la-politica-religiosa-del-alaves-simon-de-anda-y-salazar-en-filipinas-es/
CLEANUP-2D-5K,1776-01-01,GEN1776-156,ACE,Sultanate of Aceh,cleanup2d3b_ace_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No separately identifiable non-sovereign field commander with sufficient biographical data and a demonstrable command on 1776-01-01 was located in the consulted sources. Do not substitute the sultan merely because he was ruler.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-157,BAL,Balinese kingdoms / aggregate Bali tag,cleanup2d3b_bal_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,Bali in 1776 was politically fragmented. A single 'national general' would project a unitary hierarchy onto multiple courts. No formation-specific commander was securely identified; preserve the structural-rework flag.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-158,BLG,Bulungan polity / sultanate,cleanup2d3b_blg_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No sufficiently documented non-sovereign commander tied to the current formation on 1776-01-01 was located. Preserve a procedural commander rather than elevate a ruler or later figure.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-159,BNJ,Sultanate of Banjar/Banjarmasin,cleanup2d3b_bnj_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No separately documented officer with exact-reference-date formation command and reconstructable biography was located. Do not use the reigning sultan by default.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-160,BRU,Sultanate of Brunei,cleanup2d3b_bru_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,The sources located chiefly expose sovereigns and dynastic office-holders. No non-sovereign formation commander securely documented for 1776-01-01 was identified.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-161,BTN,Sultanate of Buton,cleanup2d3b_btn_land_1,PROCEDURAL_ALLOWED,KEEP_PROCEDURAL,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,MEDIUM,No independently attested formation-level commander with enough personal data for a historical character was located for the exact reference date.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
CLEANUP-2D-5K,1776-01-01,GEN1776-162,CAM,Kingdom of Cambodia,cleanup2d3b_cam_land_1,PROCEDURAL_ALLOWED_PENDING_STRUCTURE_REWORK,KEEP_PROCEDURAL_PENDING_STRUCTURE_REWORK,,,,,,,,,,,,,,,,,,,,,,,,,Current formation entry uses template=default; no explicit DNA is present in that formation entry.,HIGH,Cambodia was in a period of intense Siamese/Vietnamese dynastic intervention. No commander matching the current abstract formation without relying on the sovereign was established. Preserve the structural-rework status.,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/06_military_formations_asia.txt,,
