requirement_id,category,object_id,source_status,tech6b3c_decision,implementation_status,file,old_state,new_state,validation,notes,post_tech6b3d_authoritative_update
P01,PRODUCTION,building_economy_of_scale_level_cap_add,VISIBLE_DISPLAY_BUG,Move +10 scale cap from hidden mechanized_workshops to interchangeable_manufacture,IMPLEMENTED,common/technology/technologies/10_tech3a_production.txt;common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,not visible because owner technology is hidden; mechanized_workshops can_research=no,interchangeable_manufacture owns +10; mechanized_workshops owns none,PASS_OBJECT_SCOPED,Minimal authorized change only,
P02,PRODUCTION,mechanical_tools,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/technology/technologies/10_tech3a_production.txt,parent precision_boring; precision_boring,puddling_and_rolling shown as prerequisite; add puddling_and_rolling parent,PASS_OBJECT_SCOPED,Minimal authorized change only,
P03,PRODUCTION,pm_gas_streetlights,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/06_urban_center.txt,ungated unlock list; empty unlocking_technologies,shown under coal_gasification; coal_gasification,PASS_OBJECT_SCOPED,Minimal authorized change only,
P04,PRODUCTION,pm_dye_workshops,NEW_USER_OVERRIDE,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/production_methods/01_industry.txt,shown under organized_textile_production; organized_textile_production,shown under mechanized_spinning; mechanized_spinning,PASS_OBJECT_SCOPED,Minimal authorized change only,
P05,PRODUCTION,pm_sewing_machines,NEW_USER_OVERRIDE,TARGET_TECH_CHANGED: industrial_spinning label corrected to advanced_spinning ID,IMPLEMENTED,common/production_methods/01_industry.txt,shown under mechanized_spinning; mechanized_spinning,pm_sewing_machines -> advanced_spinning,PASS_OBJECT_SCOPED,Minimal authorized change only,
P06,PRODUCTION,none,CONFLICT_REQUIRES_USER_DECISION,No Electric Sewing technology; retain electrical_capacitors,SUPERSEDED_BY_TECH6B3C,none,no dedicated technology; not applicable,No new technology,PASS_SUPERSEDED,Minimal authorized change only,
P07,PRODUCTION,pm_electric_sewing_machines,CONFLICT_REQUIRES_USER_DECISION,Keep pm_electric_sewing_machines at electrical_capacitors,SUPERSEDED_BY_TECH6B3C,common/production_methods/01_industry.txt,shown under electrical_capacitors; electrical_capacitors,pm_electric_sewing_machines -> electrical_capacitors,PASS_SUPERSEDED,Minimal authorized change only,
P08,PRODUCTION,building_rye_farm,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P09,PRODUCTION,building_wheat_farm,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P10,PRODUCTION,building_rice_farm,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P11,PRODUCTION,building_maize_farm,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P12,PRODUCTION,building_millet_farm,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P13,PRODUCTION,building_livestock_ranch,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/02_agro.txt,shown under enclosure; enclosure,shown under improved_husbandry; improved_husbandry,PASS_OBJECT_SCOPED,Minimal authorized change only,
P14,PRODUCTION,building_cotton_plantation,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/buildings/04_plantations.txt,shown under enclosure; enclosure,shown under cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P15,PRODUCTION,company_misr,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_africa.txt,current technology condition: stock_exchange; stock_exchange,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P16,PRODUCTION,company_nam_dinh,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_asia.txt,current technology condition: stock_exchange; stock_exchange,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P17,PRODUCTION,company_dmc,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,ALREADY_CORRECT,common/company_types/00_companies_france.txt,current technology condition: cotton_gin; cotton_gin,current technology condition: cotton_gin; cotton_gin,PASS_VERIFIED_CURRENT,Minimal authorized change only,
P18,PRODUCTION,company_savva_morozov,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_russia.txt,current technology condition: stock_exchange; stock_exchange,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P19,PRODUCTION,company_da_afghan_nassaji_sherkat,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: none; none,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
P20,PRODUCTION,company_tashkent_railroad,GAMEPLAY_GATE_CORRECTION_REQUIRED,UNCHANGED_MECHANICAL_REQUIREMENT,IMPLEMENTED,common/company_types/00_companies_soi.txt,current technology condition: railways; railways,requires cotton_gin; cotton_gin,PASS_OBJECT_SCOPED,Minimal authorized change only,
