Owner_TAG,State_ID,Building_ID,Production_Method_Group,Old_PM,Missing_Technologies,Fallback_Base_PM,Reason,Output_Before,Output_After,Output_Delta,Runtime_Market_Link,Shortage_Impact,Wave1_Change,Decision
AUS,STATE_BOHEMIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
AUS,STATE_CROATIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BAD,STATE_BADEN,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BAD,STATE_BADEN,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BAV,STATE_BAVARIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BAV,STATE_FRANCONIA,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BAV,STATE_FRANCONIA,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BEO,STATE_FLANDERS,building_government_administration,pmg_base_building_government_administration,pm_horizontal_drawer_cabinets,systematic_population_registration,pm_simple_organization,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,NONE,NONE,NONE,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BEO,STATE_FLANDERS,building_logging_camp,pmg_base_building_logging_camp,pm_saw_mills,mechanical_tools,pm_simple_forestry,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,wood:80,wood:40,wood:-40,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
BEO,STATE_FLANDERS,building_paper_mill,pmg_base_building_paper_mill,pm_sulfite_pulping,continuous_papermaking,pm_pulp_pressing,SURVIVING_OVERRIDE_NOT_TECHNICALLY_VALID_AT_1776_START,paper:70,paper:40,paper:-30,RETEST_REQUIRED,CANNOT_BE_DETERMINED_WITHOUT_MARKET_ORDERS,NO,KEEP_TECH_VALID_FALLBACK_PENDING_POST_INFRA_RUNTIME
