candidate_id,record_type,candidate_name,old_priority,old_recommendation,current_status,current_building,current_pmg,current_pm_ids,current_tech_gates,function_covered_percent,remaining_gap,duplication_risk,recommended_action,recommended_priority,evidence_file_1,evidence_line_or_id_1,evidence_file_2,evidence_line_or_id_2,notes
B01,building,Cement Works,A,strongly_recommended,IMPLEMENTED_AS_ORIGINALLY_PROPOSED,building_cement_works,pmg_base_building_cement_works,"pm_natural_cement_process;pm_hydraulic_cement_process;pm_portland_cement_process","shaft_mining;hydraulic_cements;portland_cement",100,None,none,KEEP_CURRENT,NONE,common/buildings/11_tech6c1b_cement_works.txt,building_cement_works,common/production_method_groups/11_tech6c1b_cement_pmgs.txt,pmg_base_building_cement_works,Current local architecture is authoritative.
B02,building,Oil Refinery,A,strongly_recommended,IMPLEMENTED_AS_ORIGINALLY_PROPOSED,building_oil_refinery,pmg_base_building_oil_refinery,pm_fractional_distillation_refinery,fractional_distillation,100,Late cracking progression remains a PM gap rather than a building gap,low,KEEP_CURRENT,NONE,common/buildings/12_tech6c4_oil_refinery.txt,building_oil_refinery,common/production_method_groups/12_tech6c4_oil_refinery_pmgs.txt,pmg_base_building_oil_refinery,P15 is audited separately.
B03,building,Non-Ferrous Metallurgy Works,A,strongly_recommended,IMPLEMENTED_WITH_DIFFERENT_ARCHITECTURE,building_non_ferrous_metallurgy_works,pmg_base_building_non_ferrous_metallurgy_works,pm_hall_heroult_process,aluminium_metallurgy,80,Copper extraction is separate and alloy metallurgy is deferred,high,KEEP_CURRENT,NONE,common/buildings/14_tech6c5c_non_ferrous_metallurgy_works.txt,building_non_ferrous_metallurgy_works,common/production_methods/14_tech6c5c_aluminium_production_and_consumers.txt,pm_hall_heroult_process,No bauxite or alumina goods by design.
B04,building,Pharmaceutical Laboratories,A,strongly_recommended,FUNCTION_ABSORBED_BY_EXISTING_BUILDING,building_chemical_works,pmg_pharmaceutical_production_building_chemical_works,"pm_standardized_pharmaceuticals;pm_synthetic_pharmaceuticals;pm_antibiotic_mass_production","active_principle_pharmacy;aniline;antibiotics",100,None,high,KEEP_CURRENT,NONE,common/buildings/12_tech6c3a_chemical_works.txt,pmg_pharmaceutical_production_building_chemical_works,common/production_method_groups/17_tech6c8_pharmaceuticals_pmgs.txt,pmg_pharmaceutical_production_building_chemical_works,A separate laboratory would duplicate a validated secondary PMG.
B05,building,Precision Engineering Works,A,strongly_recommended,FUNCTION_ABSORBED_BY_EXISTING_BUILDING,building_tooling_workshop,pmg_precision_machinery_production,"pm_precision_machine_tools;pm_electrical_precision_machinery","interchangeable_manufacture;electrical_capacitors",100,None,high,KEEP_CURRENT,NONE,common/buildings/01_industry.txt,pmg_precision_machinery_production,common/production_method_groups/16_tech6c7_precision_machinery_pmgs.txt,pmg_precision_machinery_production,A separate building would duplicate the tooling-workshop specialization.
B06,building,Copper and Alloy Mine,B,possible_conditional,IMPLEMENTED_WITH_DIFFERENT_ARCHITECTURE,building_copper_mine,"pmg_mining_equipment_building_copper_mine;pmg_explosives_building_copper_mine;pmg_steam_automation_building_copper_mine;pmg_train_automation_building_copper_mine;pmg_ore_concentration_building_copper_mine","pm_picks_and_shovels_building_copper_mine;pm_atmospheric_engine_pump_building_copper_mine;pm_condensing_engine_pump_building_copper_mine;pm_diesel_pump_building_copper_mine;pm_nitroglycerin_building_copper_mine;pm_dynamite_building_copper_mine;pm_ore_concentration_building_copper_mine","atmospheric_engine;condensing_steam_engines;compression_ignition;nitroglycerin;dynamite;geological_surveying",90,Alloy-metal extraction is deliberately not defined,high,KEEP_CURRENT,NONE,common/buildings/13_tech6c5b_copper_mine.txt,building_copper_mine,common/production_method_groups/13_tech6c5b_copper_pmgs.txt,pmg_ore_concentration_building_copper_mine,Copper is complete; alloy inputs belong to the P05 design decision.
B07,building,Fertilizer and Alkali Works,B,possible,IMPLEMENTED_WITH_DIFFERENT_ARCHITECTURE,"building_chemical_plant;building_chemical_works","pmg_fertilizer_production;pmg_base_building_chemical_works","pm_artificial_fertilizers;pm_improved_fertilizer;pm_nitrogen_fixation;pm_lead_chamber_process;pm_leblanc_alkali_process;pm_solvay_process_building_chemical_works;pm_brine_electrolysis_building_chemical_works","industrial_alkalis;nitroglycerin;improved_fertilizer;nitrogen_fixation;electrical_capacitors",100,None,high,KEEP_CURRENT,NONE,common/buildings/01_industry.txt,building_chemical_plant,common/buildings/12_tech6c3a_chemical_works.txt,building_chemical_works,Fertilizer and bulk industrial chemistry are intentionally split.
B08,building,Cold Storage Network,C,possible,EXISTING_VANILLA_SYSTEM_SUFFICIENT,"building_livestock_ranch;building_fishing_wharf;building_whaling_station","pmg_refrigeration_building_livestock_ranch;pmg_refrigeration_building_fishing_wharf;pmg_refrigeration_building_whaling_station","pm_refrigerated_storage_building_livestock_ranch;pm_refrigerated_rail_cars_building_livestock_ranch;pm_refrigerated_storage_building_fishing_wharf;pm_refrigerated_rail_cars_building_fishing_wharf;pm_flash_freezing_building_fishing_wharf;pm_refrigerated_storage_building_whaling_station;pm_refrigerated_rail_cars_building_whaling_station;pm_flash_freezing_building_whaling_station","pasteurization;electric_railway;flash_freezing",90,Only a pre-electric mechanical step is absent,high,REJECT,NONE,common/buildings/02_agro.txt,pmg_refrigeration_building_livestock_ranch,C:/Games/Victoria 3/game/common/production_method_groups/09_misc_resource.txt,pmg_refrigeration_building_fishing_wharf,Reject the standalone building; P16 handles the remaining gap.
P01,production_method,Coke Blast Furnaces,A,recommended,STILL_MISSING,building_steel_mill,pmg_steelmaking_process,None,coke_smelting,0,No selectable coke stage and the steel mill unlocks only at puddling_and_rolling,low,ADD_PM,HIGH,common/technology/technologies/10_tech3a_production.txt,coke_smelting,common/buildings/01_industry.txt,building_steel_mill,Must be implemented together with an accessibility review of the steel-mill gate.
P02,production_method,Puddling and Rolling,A,recommended,PARTIALLY_IMPLEMENTED,building_steel_mill,pmg_steelmaking_process,pm_blister_steel_process,puddling_and_rolling,75,The building gate supplies chronology but the selectable PM is still named and modeled as blister steel,medium,MINOR_REVISION,HIGH,common/buildings/01_industry.txt,building_steel_mill,common/production_methods/01_industry.txt,pm_blister_steel_process,Convert the base stage into an explicit puddling/rolling identity without adding a good.
