metal,consumer_id,file,current_inputs,proposed_new_metal,proposed_quantity,accompanying_balance_proposal,historical_reason,gameplay_reason,recommended_action
copper,pm_copper_sheathing_building_shipyard,common/production_methods/13_tech6c5b_copper_consumers.txt,ABSENT,copper,5,"New optional PMG; exact ship-output or throughput compensation to be calibrated","Copper sheathing protected wooden hulls from fouling and shipworm","Creates an early demand anchor under the existing otherwise-empty copper_sheathing technology",IMPLEMENT_NEXT
copper,pm_telephones,common/production_methods/01_industry.txt,"iron 20; rubber 20; lead 20; tools 10",copper,15,"Replace lead 20 with copper 15; base-price input falls by 50","Telephone networks and apparatus depended heavily on copper conductors","Strong scalable civilian demand and a direct correction of the vanilla lead abstraction",IMPLEMENT_NEXT
copper,pm_electric_engines,common/production_methods/01_industry.txt,"steel 40; electricity 30",copper,10,"Add copper 10; retain output 80 engines for first balance test","Motor and generator windings require conductive metal","Links copper to industrial electrification without adding it to every machine",IMPLEMENT_NEXT
copper,pm_radios,common/production_methods/01_industry.txt,"electricity 50; telephones output -20; radios output 40",copper,2,"Add copper 2; retain output delta for first balance test","Radio coils wiring and electrical components use copper","Adds modest late demand without overwhelming the narrow radio PM margin",IMPLEMENT_NEXT
copper,pm_early_power_plant,common/production_methods/06_urban_center.txt,"engines 4; coal 5; wood 5",copper,2,"Add copper 2; retain electricity output 25 for first balance test","Dynamos generators and distribution equipment require copper","Makes initial electrical generation a material copper consumer while keeping quantity conservative",IMPLEMENT_NEXT
copper,pm_electric_streetlights,common/production_methods/06_urban_center.txt,"electricity 3",copper,1,"No change until economy-scale simulation","Urban wiring uses copper but this PM exists in every urban center","Potential demand is extremely broad and could dominate the market",DEFER
copper,pm_electric_trains,common/production_methods/11_private_infrastructure.txt,"engines 5; electricity 8",copper,2,"No change until railway-scale simulation","Traction motors and overhead electrical systems use copper","Historically strong but risks duplicating copper already embodied in engines",DEFER
copper,pm_percussion_caps,common/production_methods/01_industry.txt,"explosives 20; lead 20",copper,5,"Retain lead; reassess ammunition output and brass abstraction","Cartridge cases later used copper-rich brass","The PM begins before metallic-cartridge demand is fully represented",DEFER
copper,pm_explosive_shells,common/production_methods/01_industry.txt,"explosives 40; lead 30",copper,10,"Retain lead; reassess ammunition output","Brass cartridge and fuze components create plausible copper demand","Military demand could be useful but must not crowd out electrical uses",DEFER
copper,pm_automobile_production,common/production_methods/01_industry.txt,"engines 10; rubber 5; refined_fuels 3",copper,2,"No initial change","Ignition wiring radiators and electrical systems use copper","Copper is already partly embodied in engines; direct demand may double count",KEEP_UNCHANGED
copper,pm_mass_automobile_production,common/production_methods/01_industry.txt,"engines 10; rubber 10; refined_fuels 6",copper,4,"No initial change","Mass motor vehicles use copper wiring and radiators","Defer until engine and vehicle demand are simulated together",DEFER
copper,pm_arc_welded_buildings,common/production_methods/13_construction.txt,"steel 50; glass 40; explosives 20; tools 40; electricity 40; cement 40",copper,0,"Keep current recipe","Building wiring is real but is not the defining material of the construction PM","Avoid adding copper to every late construction level",REJECT
copper,pm_electric_arc_process,common/production_methods/01_industry.txt,"iron 100; coal 30; electricity 30",copper,0,"Keep current recipe","Copper is not a bulk feedstock for electric-arc steelmaking","No meaningful demand and high risk of arbitrary realism",REJECT
aluminium,pm_aeroplane_production,common/production_methods/01_industry.txt,"hardwood 4; fabric 4; automobiles output -10; aeroplanes output 10",aluminium,0,"Keep as the early wood-and-fabric aircraft PM","Early aircraft were predominantly wood and fabric","Adding aluminium here would make commercial aluminium appear too early",KEEP_UNCHANGED
aluminium,pm_all_metal_aeroplane_production,common/production_methods/13_tech6c5c_aluminium_consumers.txt,ABSENT,aluminium,8,"Create a later additive/replacement PM; exact engine and output deltas require balance test","All-metal airframes became a major late-period aluminium use","Provides a distinctive high-value consumer without rewriting early aviation",DEFER
aluminium,pm_aluminium_grid_conductors,common/production_methods/13_tech6c5c_aluminium_consumers.txt,ABSENT,aluminium,5,"Create a late alternative that substitutes part of copper demand rather than stacking both","Aluminium conductors became useful for power transmission because of low weight","Creates price-sensitive substitution between the two non-ferrous metals",DEFER
aluminium,pm_mass_automobile_production,common/production_methods/01_industry.txt,"engines 10; rubber 10; refined_fuels 6",aluminium,3,"No change until the aluminium phase economy test","Selected automotive components used aluminium as light alloys expanded","Useful but not central enough for foundation demand",DEFER
aluminium,pm_tank_production,common/production_methods/01_industry.txt,"steel 5; automobiles output -20; tanks output 20",aluminium,0,"Keep current recipe","Armored fighting vehicles remained steel-dominant","Adding aluminium would dilute the metal's late lightweight specialization",REJECT
aluminium,pm_electric_engines,common/production_methods/01_industry.txt,"steel 40; electricity 30",aluminium,0,"Keep copper as the direct winding metal","Aluminium windings exist but copper is the clearer period abstraction","Avoid competing additive demands inside the same engine recipe",REJECT
aluminium,streamliners,localization/english/inventions_l_english.yml,"Flavor text only; no current gameplay object",aluminium,0,"Do not invent a consumer until a real PM exists","Vanilla text mentions aluminum-body construction","Localization alone is not a gameplay hook",REJECT
