tech_id_provisional,name_fr,name_en,subbranch,era,era_window,historical_window,antecedent,practical_breakthrough,commercial_adoption,widespread_use,prerequisites,cross_branch_prerequisites,direct_unlocks,future_techs_opened,representation,design_status,historical_confidence,gameplay_role,ai_considerations,goods_dependencies,building_dependencies,pm_dependencies,pollution_mortality_notes,transport_rework_status,source_urls,notes,new_good_implications,direct_pop_consumption,pop_need_candidate,demand_design_notes,reference_mod_audit
shaft_mining,Extraction par puits,Shaft Mining,Mines & géologie,I,~1690–1719,fin XVIIe–début XVIIIe,"Puits, galeries, treuils, drainage gravitaire et poudre noire préexistent localement.","Consolidation de puits plus profonds, soutènement, soughs/drainage, ventilation rudimentaire et abattage à la poudre.",Déjà présent dans plusieurs districts miniers européens vers 1700; diffusion très inégale mondialement.,XVIIIe siècle dans les grands bassins miniers; pas universel.,BASELINE_PRE_1700,,PM mines souterraines: Shaft Workings; Horse-Gin Winding; Black-Powder Blasting (selon ressource/pays).,applied_mineralogy; deep_mine_engineering,NODE + PM,STRONG_KEEP,HIGH,Premier palier des mines profondes; différencie un pays minier avancé d'une extraction superficielle.,Poids accru si potentiel charbon/fer/plomb/soufre/or et bâtiments miniers.,tools; explosives/gunpowder abstraction,coal_mine; iron_mine; lead_mine; sulfur_mine; gold_mine (à auditer),Shaft Workings; Horse-Gin Winding; Black-Powder Blasting,Hausse possible de mortalité par profondeur/explosifs; sécurité encore faible.,,https://historicengland.org.uk/listing/the-list/list-entry/1016755,Ne signifie pas que l'extraction minière est inventée en 1700. Certains pays devront commencer avec cette tech.,,NO_DIRECT_NEW_GOOD,,,
coke_smelting,Fonte au coke,Coke Smelting,Métallurgie,I,~1690–1719,1709+,Hauts-fourneaux au charbon de bois; usages antérieurs du charbon/coke dans d'autres procédés.,Abraham Darby emploie avec succès le coke pour la fonte du fer à Coalbrookdale en 1709.,"Croissance progressive au XVIIIe siècle, d'abord régionale.",Se généralise avec l'industrialisation britannique puis internationale.,BASELINE_IRONWORKING,,PM sidérurgie: Coke Blast Furnaces; demande de charbon accrue; pression réduite sur le bois/charbon de bois.,puddling_and_rolling; precision_boring,NODE + PM,STRONG_KEEP,HIGH,Premier pivot énergétique de la métallurgie du fer.,Poids élevé si charbon + industrie du fer; faible si aucun accès fiable au charbon.,coal; iron,ironworks/steel_mill equivalent (audit code ultérieur),Coke Blast Furnaces,Pollution industrielle supérieure aux méthodes traditionnelles.,,https://www.ironbridge.org.uk/about-us/key-figures-in-the-history-of-the-ironbridge-gorge/,"Node procédé, pas simple date d'invention.",,NO_DIRECT_NEW_GOOD,,,
atmospheric_steam_engines,Machines à vapeur atmosphériques,Atmospheric Steam Engines,Énergie & vapeur,I,~1690–1719,1712+,"Pompes et moteurs à vapeur expérimentaux (Savery, etc.).",Moteur atmosphérique Newcomen pratique en 1712 pour le drainage minier.,Adoption dans les mines britanniques puis européennes au XVIIIe siècle.,Important pour drainage et pompage avant l'efficacité de Watt.,BASELINE_PUMPING_TECHNIQUES,,PM mines: Atmospheric Steam Pumping; gros gain de drainage avec forte consommation de charbon.,condensing_steam_engines; deep_mine_engineering; high_pressure_steam,NODE + PM,STRONG_KEEP,HIGH,Première vapeur utile économiquement; permet l'approfondissement des mines.,Poids très élevé si mines profondes + charbon; modéré ailleurs.,coal; tools,mines; waterworks candidate,Atmospheric Steam Pumping,Pollution charbon; peut réduire certains risques d'inondation mais ne constitue pas une tech de sécurité.,,https://collection.sciencemuseumgroup.org.uk/objects/co50900/newcomen-atmospheric-engine,À distinguer explicitement de la vapeur rotative industrielle.,,NO_DIRECT_NEW_GOOD,,,
improved_husbandry,Agronomie améliorée,Improved Husbandry,Agriculture,I,~1690–1719,fin XVIIe–XVIIIe,Savoirs agronomiques régionaux anciens et systèmes agricoles très variés.,"Diffusion de pratiques plus systématiques de fumure, fourrages, drainage léger et intégration cultures-élevage.",Très variable selon régions; pas une 'invention britannique' unique.,XVIIIe–début XIXe selon régions.,BASELINE_AGRICULTURE,,"PM agricoles de base améliorés; socle pour rotations, élevage sélectif et outils.",improved_agricultural_implements; advanced_crop_rotations; selective_breeding,NODE + PM,KEEP_NAME_TO_REVIEW,MEDIUM_HIGH,Socle agricole global non anglocentré.,Poids général élevé pour pays agricoles.,tools candidate; livestock/fertilization interactions,grain_farms; livestock_ranches; other farms,Improved Husbandry PM family,,,https://www.cambridge.org/core/books/abs/agricultural-revolution-in-england/agricultural-revolution-reconsidered/C86519B90B0D380E6E804189D4AECE53,"Représente un ensemble de pratiques, pas le 'Norfolk system' universalisé.",,NO_DIRECT_NEW_GOOD,,,
improved_agricultural_implements,Instruments agricoles améliorés,Improved Agricultural Implements,Agriculture,II,~1720–1749,"1701–milieu XVIIIe, diffusion prolongée","Charrues, semis manuel, outils régionaux anciens.",Semoir de Jethro Tull vers 1701; amélioration des charrues et cultures en rangs.,Adoption lente; intérêt croissant aux XVIIIe et début XIXe siècles.,Très inégal avant 1836.,improved_husbandry,,PM fermes: Seed Drills & Improved Ploughs; Horse-Hoe/Row Cultivation; consommation de tools.,mechanized_threshing; cotton_gin; automated_flour_milling,NODE + PM,STRONG_KEEP,HIGH,Première mécanisation légère des exploitations agricoles.,Poids selon poids économique des fermes et prix des tools.,tools,grain_farms; selected crop farms,Seed Drills; Improved Ploughs; Row Cultivation,,,https://collection.sciencemuseumgroup.org.uk/objects/co39077/14-scale-model-of-jethro-tulls-seed-drill,Fusionne plusieurs instruments afin d'éviter un node par machine.,,NO_DIRECT_NEW_GOOD,,,
turnpike_road_networks,Réseaux routiers à péage,Turnpike Road Networks,Transport & génie civil,II,~1720–1749,"XVIIIe, forte accélération 1750–1772","Routes publiques, chemins locaux et péages plus anciens.",Organisation durable du financement et de l'entretien de grands réseaux routiers.,Expansion massive des trusts et routes améliorées au XVIIIe siècle britannique; analogues ailleurs à représenter par abstraction.,"Avant le rail, routes améliorées cruciales pour les marchés intérieurs.",BASELINE_ROADS,Society: surveying/state capacity candidate,Capacités routières réservées à la future refonte du transport; pas de simple +infrastructure figé maintenant.,industrial_canals; improved_road_engineering,NODE,STRONG_KEEP,HIGH,Préserve un rôle technologique aux routes avant et après le rail.,Poids lié aux besoins d'accès au marché et à l'absence de rail.,,future road/transport system,DEFERRED_TRANSPORT_REWORK,,DEFERRED_TRANSPORT_REWORK,https://historicengland.org.uk/images-books/publications/dssg-transport-sites/heag254-transport-sites-ssg/,Effets numériques à ne pas figer avant la refonte complète des transports.,,NO_DIRECT_NEW_GOOD,,,
industrial_acids,Acides industriels,Industrial Acids,Chimie,II,~1720–1749,1746–1749+,Acides produits en petites quantités par procédés artisanaux.,John Roebuck introduit la chambre de plomb pour l'acide sulfurique en 1746; production à grande échelle à partir de la fin des années 1740.,Première chimie lourde industrielle du XVIIIe siècle.,"Demande croissante dans métaux, textile, blanchiment et procédés chimiques.",BASELINE_PRACTICAL_CHEMISTRY,Society: practical/experimental chemistry candidate,NEW_BUILDING Chemical Works; NEW_GOOD Industrial Chemicals; PM Lead Chamber Process. Chemical Works devient le bâtiment de base de la chimie lourde.,chlorine_bleaching; industrial_alkalis; coal_gasification; continuous_distillation,NODE + NEW_BUILDING + NEW_GOOD + PM,STRONG_KEEP,HIGH,Donne une économie propre à la branche chimique au lieu de simples déblocages annexes.,IA doit construire Chemical Works seulement si demande Industrial Chemicals présente/anticipée; bootstrap explicite requis.,sulfur; coal; tools; small lead use candidate,NEW: chemical_works,Lead Chamber Process,Pollution et danger de travail élevés dans les premiers PM.,,https://www.erih.net/how-it-started/stories-about-people-biographies/biography/roebuck; https://www.erih.net/how-it-started/themeroute/chemistry,"Industrial Chemicals est un good large; ne pas créer séparément acide sulfurique/chlore/soude sans besoin économique. La Gabelle doit être étudié comme référence comparative pour le sel, sans copier automatiquement ses choix.",Industrial Chemicals = STRONG_KEEP. Salt = STRONG_CANDIDATE_GOOD à auditer avant implémentation.,Industrial Chemicals: NO (1700–1836); Salt: YES if retained,Salt: direct household/food need to design; Industrial Chemicals: none,"Industrial Chemicals doit vivre surtout par demande productive croissante. Salt, s'il est retenu, doit avoir une demande POP directe en plus de la chimie et de la conservation.","La Gabelle: audit requested for salt good, POP needs, production buildings/PMs, resource distribution, companies, laws/taxation and AI."
advanced_crop_rotations,Rotations culturales avancées,Advanced Crop Rotations,Agriculture,III,~1750–1774,"XVIIIe, accélération après 1750",Rotations régionales et cultures fourragères déjà pratiquées dans plusieurs régions.,"Intégration plus systématique des fourrages, légumineuses et réduction de la jachère.",Diffusion régionale plutôt qu'adoption universelle instantanée.,Fin XVIIIe–XIXe dans de nombreux systèmes agricoles européens et au-delà selon adaptation locale.,improved_husbandry,,PM farms: Advanced Crop Rotation; rendement et usage du sol améliorés; synergie élevage/fumure.,systematic_field_drainage,NODE + PM,STRONG_KEEP,HIGH,Amélioration de rendement sans mécanisation lourde.,Poids élevé pour pays à forte arabilité; PM conditionné à la rentabilité.,livestock/fertilization synergy,grain_farms; selected arable farms,Advanced Crop Rotation,,,https://www.cambridge.org/core/books/abs/agricultural-revolution-in-england/agricultural-revolution-reconsidered/C86519B90B0D380E6E804189D4AECE53,Ne doit pas effacer les différences régionales de cultures.,,NO_DIRECT_NEW_GOOD,,,
selective_breeding,Sélection zootechnique,Selective Breeding,Agriculture,III,~1750–1774,milieu–fin XVIIIe,Sélection animale empirique ancienne.,"Sélection systématique de caractères d'élevage, associée notamment à Robert Bakewell.",Diffusion parmi éleveurs améliorateurs au XVIIIe tardif.,XIXe siècle.,improved_husbandry,,PM livestock ranches: Selective Breeding; viande/laine/fabric selon filière.,,NODE + PM,KEEP,MEDIUM_HIGH,Branche d'élevage distincte des cultures.,Poids accru si livestock ranches importants.,meat; fabric/wool abstraction,livestock_ranches,Selective Breeding,,,https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Bakewell%2C_Robert_%28agriculturist%29,Nom global; les bonus ne doivent pas dépendre d'une race européenne particulière.,,NO_DIRECT_NEW_GOOD,,,
industrial_canals,Canaux industriels,Industrial Canals,Transport & génie civil,III,~1750–1774,1760s–début XIXe,"Canaux, voies navigables et travaux hydrauliques bien antérieurs.","Canaux conçus comme réseaux industriels et commerciaux intégrés, ex. Bridgewater Canal (1761).",Vague de construction de canaux dans les décennies suivantes.,Important jusqu'à et au-delà de l'arrivée du rail.,turnpike_road_networks,Society: surveying/state/company finance candidate,Capacités canal/transport à réserver à la refonte; peut ouvrir PM/infrastructure fluviale futurs.,professional_civil_engineering; railway_systems,NODE,STRONG_KEEP,HIGH,Transport lourd pré-ferroviaire et compétence de grands travaux.,Poids pour pays à charbon/minerais/industries lourdes et géographie favorable.,,future canals/transport system,DEFERRED_TRANSPORT_REWORK,,DEFERRED_TRANSPORT_REWORK,https://canalrivertrust.org.uk/things-to-do/canal-history/canal-pioneers/james-brindley,Ne pas faire disparaître économiquement les canaux dès l'arrivée du rail.,,NO_DIRECT_NEW_GOOD,,,
