"priority","tag","country","region","subregion","current_ruler","current_ruler_source","current_age","current_title","current_government","subject_type","overlord","problem_type","historical_question_to_answer","constitutional_question_to_answer","colonial_or_company_question","map_dependency","recommended_research_group","notes"
"P0","USA","America","NORTH_AMERICA","ATLANTIC_COAST","George Washington","PRE_EXISTING_HISTORICAL_SCRIPTED","43","President","law_presidential_republic","colony","GBR","SCRIPTED_ANACHRONISTIC_CANDIDATE","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","Determine sovereign versus delegated executive and the correct relationship to the overlord.","MAJOR","AMERICAS","Local setup conflict: presidential ruler is scripted while USA is a GBR colony; historical and constitutional resolution required."
"P0","DEI","East Indies","SOUTHEAST_ASIA","INDONESIA","Reinier de Klerk","DELEGATED_EXECUTIVE","43","Governor-General","law_colonial_administration","chartered_company","NET","SCRIPTED_ANACHRONISTIC_CANDIDATE","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","Determine sovereign versus delegated executive and the correct relationship to the overlord.","MAJOR","SOUTHEAST_ASIA","Delegated-executive template contains visible copied BIC artifacts; identity, age, office and company constitution require validation."
"P1","AGC","Angoche","EAST_AFRICA","EAST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","AIT","Ait Abbas","NORTH_AFRICA","NORTH_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","ANK","Ankole","EAST_AFRICA","EAST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","ASH","Ashanti","WEST_AFRICA","WEST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","BEN","Benin","WEST_AFRICA","WEST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","BGI","Bagirmi","CENTRAL_AFRICA","EQUATORIAL_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","BNY","Bunyoro","EAST_AFRICA","EAST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
"P1","BOR","Bornu","WEST_AFRICA","WEST_AFRICA","Engine-generated ruler (name not captured)","ENGINE_GENERATED","","Engine-generated title (not runtime-captured)","law_monarchy","INDEPENDENT","","ENGINE_GENERATED_RESEARCH_REQUIRED","Who held the effective ruling office on 1776-01-01, with verified birth/death dates and succession context?","What government, distribution of power and office title accurately apply at the start date?","NOT_APPLICABLE","NO","AFRICA","Static 1776 setup audit; no external historical research performed."
