hidden_tech_id,responsibility_type,object_id,source_file,old_owner,approved_target,implementation_action,implementation_status,actual_file_changed,validation,notes
academia,event_technology_trigger,character_events.2,events/character_events.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,events/character_events.txt,exact audited lines 25; old owner removed; target present,
academia,ideology_technology_trigger,ideology_mitogaku,common/ideologies/01_character_ideologies.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/ideologies/01_character_ideologies.txt,exact audited lines 11802; old owner removed; target present,
academia,ideology_technology_trigger,ideology_modernizer_leader,common/ideologies/01_character_ideologies.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/ideologies/01_character_ideologies.txt,exact audited lines 10474; old owner removed; target present,
academia,interest_group_technology_trigger,ig_intelligentsia,common/interest_groups/00_intelligentsia.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/interest_groups/00_intelligentsia.txt,exact audited lines 296; old owner removed; target present,
academia,party_technology_trigger,free_trade_party,common/parties/free_trade_party.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/parties/free_trade_party.txt,exact audited lines 582; old owner removed; target present,
academia,political_movement_technology_trigger,movement_modernizer,common/political_movements/00_ideological_movements.txt,academia,specialized_technical_academies,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/political_movements/00_ideological_movements.txt,exact audited lines 7302; old owner removed; target present,
admiralty,ai_strategy_technology_trigger,ai_strategy_default,common/ai_strategies/00_default_strategy.txt,admiralty,state_dockyard_systems,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/ai_strategies/00_default_strategy.txt,exact audited lines 4362; old owner removed; target present,
admiralty,character_trait_technology_trigger,basic_naval_commander,common/character_traits/skill_traits.txt,admiralty,state_dockyard_systems,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/character_traits/skill_traits.txt,exact audited lines 753; old owner removed; target present,
admiralty,character_trait_technology_trigger,convoy_raider_commander,common/character_traits/skill_traits.txt,admiralty,state_dockyard_systems,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/character_traits/skill_traits.txt,exact audited lines 843; old owner removed; target present,
army_reserves,ai_strategy_technology_trigger,ai_strategy_default,common/ai_strategies/00_default_strategy.txt,army_reserves,corps_organization,REPLACE_AUDITED_TECH_REFERENCE,IMPLEMENTED,common/ai_strategies/00_default_strategy.txt,exact audited lines 4254; old owner removed; target present,
