TAG,Country,Region,Technology,Decision_Type,Triggering_Children,Parent_Gameplay_Content,Collateral_Unlocks,Collateral_Unlock_Cost,Historical_Abstraction_Fit,Final_Decision,Final_Reason,Architecture_Change_Required
ABB,Arab Emirates,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
ABU,Trucial States,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
ACE,Aceh,EAST_ASIA_SE_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
ALW,Alwar,SOUTH_ASIA,organized_workshops,STRUCTURAL_REQUIRED,traditional_papermaking,building_furniture_manufactory;building_tooling_workshop,Contenu direct: building_furniture_manufactory;building_tooling_workshop | Branches désormais accessibles: coke_smelting;industrial_acids;precision_boring;traditional_glassmaking,UNACCEPTABLE,LOW,REMOVE_EDGE,traditional_papermaking ne justifie pas d'accorder simultanément les manufactures de meubles et d'outils.,"Retirer les arêtes vers traditional_papermaking, traditional_glassmaking et industrial_acids; conserver organized_workshops pour furniture/tooling et precision_boring."
ARG,Argentina,AMERICAS_CARIBBEAN,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,MEDIUM,REDEFINE_PARENT,light_infantry_tactics est compatible avec une capacité militaire générale seulement si le tronc ne donne ni caserne ni appareil permanent complet.,"Redéfinir organized_military_establishments comme fondations générales d'organisation militaire, tronc structurel pur; laisser la caserne et les contenus aux spécialisations existantes."
ARM,Armenia,OTTOMAN_MIDDLE_EAST_CENTRAL_ASIA,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;regulated_small_arms,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: permanent_engineer_services;permanent_military_hospitals;scientific_fortification_siegecraft;standardized_field_artillery,HIGH,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;regulated_small_arms; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
ASM,Assam,SOUTH_ASIA,organized_workshops,STRUCTURAL_REQUIRED,traditional_papermaking,building_furniture_manufactory;building_tooling_workshop,Contenu direct: building_furniture_manufactory;building_tooling_workshop | Branches désormais accessibles: coke_smelting;industrial_acids;precision_boring;traditional_glassmaking,UNACCEPTABLE,LOW,REMOVE_EDGE,traditional_papermaking ne justifie pas d'accorder simultanément les manufactures de meubles et d'outils.,"Retirer les arêtes vers traditional_papermaking, traditional_glassmaking et industrial_acids; conserver organized_workshops pour furniture/tooling et precision_boring."
AUS,Austria,CENTRAL_EUROPE_GERMAN_ITALY,organized_financial_institutions,GAMEPLAY_ABSTRACTION,institutionalized_public_credit,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: commercial_insurance_markets;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"institutionalized_public_credit implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
AUS,Austria,CENTRAL_EUROPE_GERMAN_ITALY,organized_military_establishments,GAMEPLAY_ABSTRACTION,light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery,Candidat actuel : building_barracks déplacé sur le tronc,Contenu direct: Candidat actuel : building_barracks déplacé sur le tronc | Branches désormais accessibles: aucune branche sœur supplémentaire,MEDIUM,HIGH,REDEFINE_PARENT,La SECOND PASS justifie simultanément light_infantry_tactics;permanent_engineer_services;permanent_military_hospitals;regulated_small_arms;scientific_fortification_siegecraft;standardized_field_artillery; un socle commun est pertinent à condition de rester purement structurel.,"Conserver un seul tronc militaire, le redéfinir comme fondations générales d'organisation militaire et ne lui donner ni caserne, ni bâtiment, ni PM, ni bonus."
AWA,Awadh,SOUTH_ASIA,organized_financial_institutions,GAMEPLAY_ABSTRACTION,institutionalized_public_credit,Candidat actuel : country_loan_interest_rate_add = -0.01,Contenu direct: Candidat actuel : country_loan_interest_rate_add = -0.01 | Branches désormais accessibles: commercial_insurance_markets;stock_exchange,MEDIUM,HIGH,REDEFINE_PARENT,"institutionalized_public_credit implique comptabilité, crédit ou intermédiation; le concept général convient sans bonus financier automatique.",Conserver le tronc financier pur et supprimer le bonus proposé country_loan_interest_rate_add = -0.01.
