"tech_id","classification","visibility_problem","current_neutralization","proposed_fix","implemented_fix","status","notes"
"academia","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"admiralty","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"army_reserves","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"artillery","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"banking","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"central_archives","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"central_banking","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"centralization","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"currency_standards","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
"democracy","CONSUMED_SPLIT","STRUCTURALLY_VISIBLE_WHEN_ALREADY_RESEARCHED","can_research = no compatibility alias","Preserve alias ID; exclude its technology card and every edge targeting it in tech_tree GUI","Targeted card filter plus target-edge filter; alias definition retained","STATIC_PASS_RUNTIME_PENDING","Runtime-risk inferred from Technology.ShouldShow behavior when a country already owns the alias. Script references remain valid; visible card and target-edge rendering are suppressed."
