TAG,Country,Region,Subregion,Current_Tier,Tier_Action,Recommended_Tier,Technology_ID,Current_Status,Decision,Confidence,Historical_Status,Prerequisite_Note,Gameplay_Note,Reason,Source_1,Source_2
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,specialized_technical_academies,EXPLICIT,KEEP,HIGH,ESTABLISHED,Add institutionalized_scientific_exchange.,Unlocks: bâtiment:building_university,Britain possessed specialized military/scientific training and a dense learned-science environment; the university unlock is abstract but the capability is defensible.,https://royalsociety.org/about-us/who-we-are/history/,https://www.royalsociety.org/journals/publishing-activities/publishing350/history-philosophical-transactions/
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,colonization,EXPLICIT,KEEP,HIGH,ABSTRACT,Parent international_relations is present.,"Unlocks: bâtiment:building_suez_canal, loi:law_colonial_exploitation, loi:law_colonial_resettlement, loi:law_extraction_economy, loi:law_frontier_colonization | Modifier: yes: country_infamy_generation_against_unrecognized_mult, country_institution_colonial_affairs_max_investment_add",Political/institutional abstraction. The state possessed an active overseas imperial apparatus in 1776; keeping it does not mean colonial TAGs inherit metropolitan technologies.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,romanticism,EXPLICIT,REMOVE,HIGH,ANACHRONISTIC,Remove the child rather than adding parents for tree completeness.,"Unlocks: bâtiment:building_art_academy, décret:decree_greener_grass_campaign, loi:law_agrarianism, loi:law_industry_banned | Modifier: yes: country_prestige_mult","The gameplay node represents the Romantic movement as a developed cultural-political complex. The movement belongs to the late eighteenth/early nineteenth century, not 1 January 1776.",https://histoiredesarts.culture.gouv.fr/Mouvements-artistiques/Le-romantisme,https://histoiredesarts.culture.gouv.fr/Fiches-reperes/Litterature
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,regulated_small_arms,TIER,KEEP,HIGH,ESTABLISHED,Add scientific_fortification_siegecraft.,"Unlocks: bâtiment:building_arms_industry, bâtiment:building_artillery_foundry","State arsenals, standardized military supply and artillery production support the node independently of later machine-tool frontiers.",https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards,https://royalsociety.org/about-us/who-we-are/history/
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,light_infantry_tactics,TIER,KEEP,MEDIUM,SECTORAL,,No direct unlock | Modifier: yes: unit_experience_gain_mult,Contemporary infantry doctrine was present by 1776; this military node is assessed independently of industrial development.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,standardized_field_artillery,TIER,KEEP,MEDIUM,SECTORAL,,Unlocks: PM:pm_cannons,Standardized field artillery practice was present by 1776; this is not being used as a proxy for industrialization.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,distillation,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: PM:pm_pot_stills, PM:pm_spiced_food_preparations",Distillation was an established early-modern craft/industrial practice.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,improved_husbandry,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_banana_plantation, bâtiment:building_coffee_plantation, bâtiment:building_dye_plantation, bâtiment:building_livestock_ranch, bâtiment:building_maize_farm, bâtiment:building_millet_farm, bâtiment:building_opium_plantation, bâtiment:building_rice_farm, bâtiment:building_rye_farm, bâtiment:building_silk_plantation, bâtiment:building_spice_plantation, bâtiment:building_sugar_plantation, bâtiment:building_tea_plantation, bâtiment:building_tobacco_plantation, bâtiment:building_vineyard, bâtiment:building_wheat_farm, décret:decree_encourage_agricultural_industry",Improved husbandry was established before 1776 and does not imply British-style industrialization.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,organized_textile_production,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: PM:pm_craftsman_sewing, bâtiment:building_textile_mill",Organized textile production existed before 1776; mechanized spinning is audited separately.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,shaft_mining,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_coal_mine, bâtiment:building_copper_mine, bâtiment:building_iron_mine, bâtiment:building_lead_mine, bâtiment:building_limestone_quarry, bâtiment:building_salt_mine, bâtiment:building_sulfur_mine, décret:decree_encourage_resource_industry",Shaft/deep mining was established in relevant European districts; steam pumping is audited separately.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,international_relations,TIER,KEEP,HIGH,ESTABLISHED,,No direct unlock,Established diplomatic/commercial state practice in 1776.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,codified_practical_knowledge,TIER,KEEP,MEDIUM,ABSTRACT,,No direct unlock,"Broad practical-knowledge abstraction; local print, administrative and learned networks make the tier baseline plausible, subject to prerequisite review.",https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,systematic_administrative_statistics,TIER,KEEP,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_government_administration, décret:decree_emergency_relief, décret:decree_road_maintenance | Modifier: yes: country_institution_home_affairs_max_investment_add, state_incorporation_speed_mult, state_tax_capacity_add",Fiscal and administrative record-keeping make the generic administration node plausible.,https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,urbanization,TIER,KEEP,HIGH,ABSTRACT,,"Unlocks: bâtiment:building_construction_sector, bâtiment:building_urban_center","Compatibility/abstraction node unlocking construction and urban centers; retain only as gameplay infrastructure, not as a literal era-7 invention.",https://royalsociety.org/about-us/who-we-are/history/,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,enclosed_dock_systems,ABSENT,ADD,HIGH,ESTABLISHED,,Unlocks: bâtiment:building_port,Royal dockyards possessed dry docks and enclosed repair/building infrastructure well before 1776.,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards,
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,scientific_fortification_siegecraft,ABSENT,ADD,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_barrack, bâtiment:building_naval_fortification",Permanent fortification and siege expertise was a normal state military capability; it also resolves the parent of regulated_small_arms.,https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards,https://royalsociety.org/about-us/who-we-are/history/
GBR,Great Britain,Western Europe,British Isles,tier_4,KEEP_TIER,,state_dockyard_systems,ABSENT,ADD,HIGH,ESTABLISHED,,"Unlocks: bâtiment:building_naval_administration, bâtiment:building_shipyard | Modifier: yes: country_admiral_rank_impact_mult","Royal dockyards such as Portsmouth, Plymouth, Chatham, Woolwich and Sheerness were long-established state naval-industrial complexes.",https://www.rmg.co.uk/stories/maritime-history/royal-naval-dockyards,
