TAG,Technology,Original_Reason_Count,Protected_Military_Reasons_Removed,Remaining_Reasons,Final_Candidate,Notes
ADR,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
AUS,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
AUS,shaft_mining,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BAD,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BAV,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BEO,industrial_canals,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BEO,organized_financial_institutions,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BEO,organized_workshops,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BEO,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BEO,traditional_papermaking,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BRZ,traditional_food_processing,4,0,4,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BUK,organized_workshops,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BUK,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
BUK,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CAUC,organized_textile_production,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CAUC,organized_workshops,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CHC,organized_workshops,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CHI,regulated_small_arms,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CHI,traditional_papermaking,2,0,2,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CON,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
CRI,traditional_food_processing,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
DAI,traditional_papermaking,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
DUR,organized_textile_production,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
DUR,traditional_food_processing,4,0,4,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
FRA,industrial_canals,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
FRA,organized_financial_institutions,1,0,1,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
FRA,organized_workshops,7,0,7,YES,"Protected overlay removes only barracks, naval administration and naval fortification reasons."
