record_id,record_type,tag,country_name,formation,hq_region,reference_date,current_general,candidate,exact_name,historical_birth_date,birth_date_precision,historical_birth_place,historical_birth_country_or_polity,mapped_v3_birth_state,historical_death_date,death_date_precision,military_rank_on_1776_01_01,exact_function_on_1776_01_01,command_start,command_end,theatre_or_unit,active_on_1776_01_01,mapping_class,mapping_notes,culture,religion,social_origin,proposed_interest_group,proposed_ideology,proposed_traits,existing_dna_or_template,portrait_status,source_urls,historical_confidence,mapping_confidence,decision,research_notes
NEE-001,PRIMARY,CRI,Crimean Khanate,cleanup2d3e_r1_cri_land_1,region_eastern_europe,1776-01-01,Procedural (GEN1776-001),PROCEDURAL_GENERAL,,,,,,,,,,,,,,N/A,NO_DEFENSIBLE_MAPPING,"The current formation compresses a dynastic, tribal and noble military system into one army. No securely documented non-ruler individual can be shown to command this whole formation on the reference date.",,,,,,,None for a proposed general; Devlet IV Giray already exists as ruler in current history setup.,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/characters/cleanup2b3%20-%20residual%20europe%20rulers%201776.txt | https://islamansiklopedisi.org.tr/kirim | https://islamansiklopedisi.org.tr/sahin-giray,HIGH,HIGH,KEEP_PROCEDURAL,"Do not duplicate Devlet IV Giray as both ruler and invented whole-army commander. Şahin Giray's later Russian-backed military role belongs to the later 1776/1777 crisis, not the initial 1776-01-01 setup."
NEE-002,PRIMARY,PLC,Polish–Lithuanian Commonwealth,cleanup2d3e_r1_plc_land_1,region_eastern_europe,1776-01-01,Franciszek Ksawery Branicki (GEN1776-002),Franciszek Ksawery Branicki,Franciszek Ksawery Branicki h. Korczak,c. 1730,YEAR (circa),"Barwałd, usually identified as Barwałd Górny","Polish–Lithuanian Commonwealth, Crown of the Kingdom of Poland",STATE_WEST_GALICIA (medium-confidence geographic mapping),1819-04,MONTH,Grand Crown Hetman (Hetman wielki koronny); lieutenant-general background,Highest Crown military officeholder; not sole direct field commander of all Crown and Lithuanian forces,1774-02-08,1793 (resigned in summer; exact day not used),Crown Army high command / hetman office,YES,MILITARY_OFFICEHOLDER / HIGHER_COMMAND_ABSTRACTION,"Defensible only as a high-command abstraction for the mod's single PLC army. The Commonwealth retained distinct Crown and Lithuanian military structures, and the Permanent Council/Military Department constrained hetman authority.",Polish,Roman Catholic (high-confidence contextual identification; core biogram used here does not need a fabricated confessional date),Magnate / szlachta; Korczak arms,ig_landowners,"ideology_traditionalist (MEDIUM; gameplay interpretation, not a historical label)",,No dedicated Branicki DNA/template found; country_plc.txt contains only Stanisław August Poniatowski.,YES — multiple surviving portraits; IPSB biogram documents portrait tradition; museum portrait also survives.,https://www.ipsb.nina.gov.pl/a/biografia/franciszek-ksawery-branicki-h-korczak-zm-1819-hetman-wielki-koronny | https://encyklopediakrakowa.pl/slawni-i-zapomniani/86-b/598-branicki-franciszek-ksawery.html | https://www.ldkistorija.lt/commissions-on-war-and-treasury-of-the-grand-duchy-of-lithuania/ | https://ruj.uj.edu.pl/entities/publication/27f16ecb-6d2e-45ec-b738-8e269ae05479 | https://czasopisma.uni.lodz.pl/pnh/article/view/27290 | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/character_templates/country_plc.txt,HIGH,MEDIUM-HIGH,KEEP_EXISTING_HISTORICAL,Retain only if report/comment labels him as a high military officeholder abstraction. Do not describe him as direct commander of one unified Polish-Lithuanian field army.
NEE-003,PRIMARY,RUS,Russian Empire,cleanup2d3b_rus_land_1,region_russia,1776-01-01,Procedural (GEN1776-024),Grigory Alexandrovich Potemkin,Grigory Alexandrovich Potemkin-Tavrichesky,1739-10-11 (New Style; 1739-09-30 Old Style),DAY,"Chizhovo, Smolensk uezd",Russian Empire,STATE_SMOLENSK,1791-10-16 (New Style; 1791-10-05 Old Style),DAY,General-in-Chief / senior general officer; commander of the Preobrazhensky Guards,"By decree dated 1776-01-01, temporarily commanded the Saint Petersburg Division during Kirill Razumovsky's leave; already commander of the Preobrazhensky Guards and army inspector",1776-01-01 (Saint Petersburg Division temporary command); 1774-03-26 NS for Preobrazhensky command,"1776-09 (Saint Petersburg Division temporary command, month-level); Preobrazhensky command continued",Saint Petersburg Division / Preobrazhensky Life Guards; northern imperial/guard command,YES — exact-date decree,FORMATION_COMMAND / THEATRE_COMMAND,Best fit for the mod's guard/grenadier abstraction. The mod formation is not a literal 1776 corps; mapping is by guard/central-command function.,Russian,Russian Orthodox,Russian hereditary nobility; officer family,ig_armed_forces,,innovative (MEDIUM; gameplay interpretation reflecting organizational/reform activity),No dedicated Potemkin DNA/template found in inspected current-branch DNA/templates. A code-search hit for 'Potemkin' is unrelated to this 18th-century commander.,YES — multiple contemporary/near-contemporary portraits; Lampi and other late-18th-century portraits survive.,"https://bigenc.ru/c/potiomkin-tavricheskii-grigorii-aleksandrovich-f16459 | https://ru.wikisource.org/wiki/РБС/ВТ/Потемкин,_Григорий_Александрович | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/character_templates/country_rus.txt | https://github.com/Malzars-sys/1776-Age-of-Revolutions/tree/cleanup-post-release/common/dna_data",VERY HIGH,MEDIUM-HIGH,IMPLEMENT_HISTORICAL,Strongest Russian exact-date replacement: the assignment begins on the immutable reference date itself.
NEE-004,PRIMARY,RUS,Russian Empire,cleanup2d3b_rus_land_2,region_russia,1776-01-01,Procedural (GEN1776-025),PROCEDURAL_GENERAL,,,,,,,,,,,,,,N/A,NO_DEFENSIBLE_MAPPING,The mod's 'II infantry corps' is a setup abstraction spanning Oryol/Yaroslavl/Kharkov elements. No single documented historical command identified is equivalent on 1776-01-01.,,,,,,,N/A,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt | https://bigenc.ru/c/suvorov-aleksandr-vasil-evich-176290,HIGH,HIGH,KEEP_PROCEDURAL,"Mikhail Nikitich Volkonsky is a valid contemporary senior commander, but his Moscow command does not establish direct command of this specific mod formation."
NEE-005,PRIMARY,RUS,Russian Empire,cleanup2d3b_rus_land_3,region_russia,1776-01-01,Procedural (GEN1776-026),PROCEDURAL_GENERAL,,,,,,,,,,,,,,N/A,NO_DEFENSIBLE_MAPPING,"The formation mixes Kharkov, Tambov and Kursk components and has no demonstrated one-to-one 1776 command identity.",,,,,,,N/A,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt | https://old.bigenc.ru/domestic_history/text/3520474,HIGH,HIGH,KEEP_PROCEDURAL,Do not fill the slot merely with a famous Russian general.
NEE-006,PRIMARY,RUS,Russian Empire,cleanup2d3b_rus_land_4,region_balkans,1776-01-01,Pyotr Rumyantsev (GEN1776-027),Pyotr Alexandrovich Rumyantsev,Pyotr Alexandrovich Rumyantsev-Zadunaisky,1725-01-15 (New Style; 1725-01-04 Old Style),DAY,Moscow,Russian Empire,STATE_MOSCOW,1796-12-19 (New Style; 1796-12-08 Old Style),DAY,Field Marshal (since 1770),"Little Russian Governor-General and president of the Little Russian Collegium; chief commander of Little Russian Cossack regiments, Zaporozhians and the Ukrainian Division; senior southern command responsibilities",1764 (Little Russian command); June 1775 for the documented southern-Russia command packet,1781 (Little Russian Governor-General); March 1787 for the broader southern command document series,Little Russia / Sloboda Ukraine / southern Russian forces; not a literal 'IV Infantry Corps',YES,THEATRE_COMMAND / HIGHER_COMMAND_ABSTRACTION,"Historically strong southern/theatre command, but the mod's IV corps label and unit geography are abstractions. Keep Rumyantsev only with corrected documentation of why he maps.",Russian,Russian Orthodox,Russian nobility; senior military-diplomatic family,ig_armed_forces,,innovative (MEDIUM; gameplay interpretation),No dedicated Rumyantsev DNA/template found in inspected current-branch character templates/DNA.,"YES — surviving late-18th-century portrait(s), including a portrait associated with the Suvorov museum tradition.",https://old.bigenc.ru/domestic_history/text/3520474 | https://old.bigenc.ru/domestic_history/text/2169858 | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/character_templates/country_rus.txt | https://github.com/Malzars-sys/1776-Age-of-Revolutions/tree/cleanup-post-release/common/dna_data,VERY HIGH,MEDIUM-HIGH,KEEP_EXISTING_HISTORICAL,"The current historical person is admissible, but the justification must be territorial/higher-command abstraction, never a claim that Rumyantsev commanded a historical 'IV Infantry Corps' matching the mod."
NEE-007,PRIMARY,RUS,Russian Empire,cleanup2d3b_rus_land_5,region_siberia,1776-01-01,Procedural (GEN1776-028),Johann (Ivan) Alexandrovich Clapier de Colongue / Decolong,"Johann (Ivan Alexandrovich) Clapier de Colongue, commonly Decolong/De Colong",1719-11-24 (New Style; 1719-11-13 Old Style) — conflicts with RGVIA guide's 1716,DAY (but year conflict across authoritative references),Exact locality not securely established in the sources used; Baltic/Estland origin is reported,"Russian Empire, Baltic/Estland context — exact birth locality not secured",UNKNOWN — do not invent a state mapping,1789-02-26 (New Style; Amburger) — conflicts with RGVIA guide's 1779,DAY (source conflict),Lieutenant General,Commander of the Siberian Corps,1771,1777,Siberian Corps and Siberian defensive lines / East Siberian military space,YES,FORMATION_COMMAND,Direct institutional match: current Siberian formation is the strongest Russian one-to-one replacement found in this phase.,Baltic German (Deutschbalte in Amburger database),UNKNOWN — Amburger explicitly gives no religion,Baltic-German military/engineering officer milieu,ig_armed_forces,,meticulous (LOW-MEDIUM; gameplay interpretation based on engineer career),No dedicated Decolong DNA/template found.,NO RELIABLE PORTRAIT CONFIRMED in this pass,https://guides.rusarchives.ru/terms/15/8321/kancelyariya-general-poruchika-dekolonga-klape-klapir-de-kolonga-ia | https://journals.rcsi.science/2311-1402/article/view/254286/ru_RU | https://amburger.ios-regensburg.de/index.php?id=2589 | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/character_templates/country_rus.txt,HIGH for office/command; MEDIUM for biographical dates because sources conflict,HIGH,IMPLEMENT_HISTORICAL,Preserve the 1716/1719 and 1779/1789 conflict in documentation. Do not silently normalize it.
NEE-008,PRIMARY,CIR,Circassia,cleanup2d3e_r1_cir_land_1,region_russia,1776-01-01,Procedural (GEN1776-029),PROCEDURAL_GENERAL,,,,,,,,,,,,,,N/A,COLLECTIVE_HIGH_COMMAND / NO_DEFENSIBLE_MAPPING,"Western Circassian political and military organization varied by tribe/community and included assemblies, aristocratic structures and military fraternities. A single national commander would overstate centralization.",,,,,,,None identified,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt | https://dergipark.org.tr/en/pub/jocas/article/1215889,MEDIUM-HIGH,HIGH,KEEP_PROCEDURAL,Procedural is preferable to inventing a singular commander for a collective/decentralized structure.
NEE-009,PRIMARY,CHC,North-East Caucasus / CHC tag,Murtazeki,region_russia,1776-01-01,Procedural (GEN1776-030),PROCEDURAL_GENERAL,,,,,,,,,,,,,,N/A,NO_DEFENSIBLE_MAPPING,"The 'Murtazeki' institution documented by the academic source belongs to the Imamate period beginning around 1832, not 1776.",,,,,,,None identified,,https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/military_formations/00_military_formations_europe.txt | https://caucasushistory.ru/2618-6772/ru/article/view/346,VERY HIGH for anachronism warning,HIGH,KEEP_PROCEDURAL,Research-only flag: FORMATION_NAME_ANACHRONISM_AUDIT_REQUIRED. Do not repair the formation in this phase.
NEE-010,PRIMARY,SWE,Kingdom of Sweden,Kungliga_Svenska_Armn,region_northern_europe,1776-01-01,Procedural (GEN1776-047),Georg Magnus Sprengtporten,Georg (Göran) Magnus Sprengtporten,1740-08-16 (SBL source-stated date; Swedish calendar conversion not silently altered),DAY,"Borgå rural parish (Porvoo), Nyland, Finland",Kingdom of Sweden,STATE_UUSIMAA,1819-10-01 (New Style; 1819-09-19 Old Style in Russian context),DAY,Colonel,Colonel of Savolax infantry and chief of the Savolax Brigade,1775-03-09,1779-05-27,Savolax Brigade / Finnish army forces,YES,FORMATION_COMMAND / THEATRE_COMMAND,"Direct command is excellent; national mapping is broader because the mod has only one Swedish land formation. SBL describes Savolax Brigade as, besides Sveaborg, a principal military force in Finland.",Swedish / Finland-Swedish,Lutheran (Swedish state-church context; later Protestant burial context),Swedish-Finnish noble military family; son of Major Magnus Wilhelm Sprengtporten,ig_armed_forces,,"innovative; forest_commander (MEDIUM-HIGH thematic mapping, not historical labels)",No country_swe.txt template file or dedicated Sprengtporten DNA/template found in current branch.,YES — portrait by B. Godenhjelm / Cygnaeus Gallery tradition; public-domain reproduction available.,https://sok.riksarkivet.se/sbl/Presentation.aspx?id=20013 | https://github.com/Malzars-sys/1776-Age-of-Revolutions/blob/cleanup-post-release/common/history/characters/cleanup2b1%20-%20major%20rulers%201776.txt | https://github.com/Malzars-sys/1776-Age-of-Revolutions/tree/cleanup-post-release/common/dna_data,VERY HIGH,MEDIUM-HIGH,IMPLEMENT_HISTORICAL,Best Swedish candidate found under the strict reference-date rule.
