family,branch,eras_before,eras_after,chronology_before,chronology_after,result,notes
administration_surveillance,Society,era_8;era_10;era_12,era_8;era_11;era_12,GOOD=2; BORDERLINE=1 | identification_documents@era_8;central_planning@era_10;mass_surveillance@era_12,GOOD=3 | identification_documents@era_8;central_planning@era_11;mass_surveillance@era_12,IMPROVED,Moved 1 of 3 member(s).
agricultural_modernization,Production,era_7;era_8;era_10,era_7;era_8;era_11,GOOD=1; BORDERLINE=2; TOO_LATE=1 | sericulture@era_7;improved_fertilizer@era_8;mechanized_farming@era_8;nitrogen_fixation@era_10,GOOD=3; EVENT_NONRESEARCHABLE=1 | mechanized_farming@era_7;sericulture@era_7;improved_fertilizer@era_8;nitrogen_fixation@era_11,IMPROVED,Moved 2 of 4 member(s).
amphibious_operations,Naval,era_10,era_11,BORDERLINE=1 | landing_craft@era_10,GOOD=1 | landing_craft@era_11,IMPROVED,Moved 1 of 1 member(s). Semantic edge issues remain reserved for TECH-4C.
armored_warfare,Military,era_12,era_12,TOO_LATE=1 | mobile_armor@era_12,BORDERLINE_REEVALUATED=1 | mobile_armor@era_12,REVIEW_IN_TECH4C,Moved 0 of 1 member(s). Semantic edge issues remain reserved for TECH-4C.
artillery,Military,era_8,era_8,GOOD=1 | breech_loading_artillery@era_8,GOOD=1 | breech_loading_artillery@era_8,REVIEW_IN_TECH4C,Moved 0 of 1 member(s). Semantic edge issues remain reserved for TECH-4C.
arts_visual_media,Society,era_7;era_8;era_10,era_7;era_10,GOOD=2; BORDERLINE=1; TOO_LATE=1 | realism@era_7;romanticism@era_7;camera@era_8;film@era_10,GOOD=3; ERA_VII_BOUNDARY_COMPROMISE=1 | camera@era_7;realism@era_7;romanticism@era_7;film@era_10,IMPROVED,Moved 1 of 4 member(s). Semantic edge issues remain reserved for TECH-4C.
civil_construction,Production,era_8;era_10,era_8;era_10,GOOD=2 | reinforced_concrete@era_8;pneumatic_tools@era_10,GOOD=2 | reinforced_concrete@era_8;pneumatic_tools@era_10,REVIEW_IN_TECH4C,Moved 0 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
electrical_engineering,Production,era_9;era_10,era_9,GOOD=2 | electrical_generation@era_9;electrical_capacitors@era_10,GOOD=2 | electrical_capacitors@era_9;electrical_generation@era_9,IMPROVED,Moved 1 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
extractive_industries,Production,era_8;era_9,era_9,BORDERLINE=1; TOO_EARLY=1 | steam_donkey@era_8;pumpjacks@era_9,GOOD=1; BORDERLINE=1 | pumpjacks@era_9;steam_donkey@era_9,IMPROVED,Moved 1 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
factory_organization,Production,era_8;era_10,era_8;era_10,GOOD=2 | shift_work@era_8;conveyors@era_10,GOOD=2 | shift_work@era_8;conveyors@era_10,REVIEW_IN_TECH4C,Moved 0 of 2 member(s). Semantic edge issues remain reserved for TECH-4C.
finance_corporate_governance,Society,era_8;era_9;era_10;era_12,era_8;era_9;era_10;era_12,GOOD=6 | mutual_funds@era_8;investment_banks@era_9;corporate_management@era_10;international_exchange_standards@era_10;macroeconomics@era_12;modern_financial_instruments@era_12,GOOD=6 | mutual_funds@era_8;investment_banks@era_9;corporate_management@era_10;international_exchange_standards@era_10;macroeconomics@era_12;modern_financial_instruments@era_12,UNCHANGED_GOOD,Moved 0 of 6 member(s).
