issue_id,category,visible_family,symptom,root_cause,responsible_nodes,responsible_edges,correction,expected_visual_effect,remaining_risk,human_review_status
"PROD-01","production","Distillation","Distillation fractionnée appears beside but is not connected to Distillation; the predecessor is in a later era.","The protected TECH-3A prerequisites omitted the vanilla semantic parent while compatibility retiming placed distillation in era 7.","manufacturies;distillation;fractional_distillation","manufacturies->distillation;missing distillation->fractional_distillation","Move manufacturies to era 4 and distillation to era 5; retain the two protected prerequisites and add distillation to fractional_distillation in era 6.","A direct adjacent three-stage chain across eras 4-6.","Native auto-layout may order the three nodes horizontally apart because fractional_distillation still has three parents.","PENDING_NEW_CAPTURE"
"PROD-02","production","Enclosure and intensive agriculture","A late root and its one-node successor occupy an isolated column.","Both vanilla compatibility nodes were mapped too late despite being mature/start-period practices.","enclosure;intensive_agriculture","enclosure->intensive_agriculture","Move enclosure to era 4 and intensive_agriculture to era 5.","A compact adjacent agricultural branch near the early production band.","The native sorter controls horizontal placement.","PENDING_NEW_CAPTURE"
"PROD-03","production","Steam boilers","A line crosses six era bands from Atmospheric engine to Water-tube boiler.","The compatibility prerequisite pointed to the earliest steam ancestor rather than the immediate engineering predecessor.","atmospheric_engine;high_pressure_steam;watertube_boiler","atmospheric_engine->watertube_boiler","Replace atmospheric_engine with high_pressure_steam as the prerequisite.","The boiler line crosses two eras instead of six.","Other high_pressure_steam dependents can still influence horizontal routing.","PENDING_NEW_CAPTURE"
"PROD-04","production","Metallurgy and geology","Steelworking and Prospecting receive six-era lines from Shaft mining.","Broad vanilla ancestors survived after the TECH-3A chronology inserted closer semantic predecessors.","shaft_mining;hot_blast_smelting;steelworking;geological_surveying;prospecting","shaft_mining->steelworking;shaft_mining->prospecting","Use hot_blast_smelting for steelworking and geological_surveying for prospecting.","Two adjacent metallurgy/geology lines replace two full-height lines.","The prospecting downstream family remains a large single-bridge chain and needs visual confirmation.","PENDING_NEW_CAPTURE"
"PROD-05","production","Mechanized farming","Mechanized farming is separated from Threshing machine by six eras.","The vanilla terminal was left in era 10 after its ancestor was moved to era 4.","threshing_machine;mechanized_farming","threshing_machine->mechanized_farming","Move mechanized_farming from era 10 to era 8 without adding an artificial prerequisite.","The line is reduced from six to four era bands.","A four-era line remains because no closer prerequisite is defensible without broadening scope.","PENDING_NEW_CAPTURE"
"PROD-06","production","Cotton gin, lathe and crystal glass","The family was explicitly flagged for verification.","No objective semantic or chronological error was found: eras 4, 5 and 6 already form an adjacent chain.","cotton_gin;lathe;crystal_glass","cotton_gin->lathe;lathe->crystal_glass","No change.","Preserves an already compact three-stage sequence.","Horizontal spacing remains under native auto-layout.","PENDING_NEW_CAPTURE"
"MIL-01","military","Standing army and triage","Two large lobes are technically connected but visibly far apart through one artificial bridge.","TECH-3A.1 added standing_army->triage solely to merge components.","standing_army;mandatory_service;army_reserves;enlistment_offices;triage;logistics","standing_army->triage;logistics->enlistment_offices","Remove standing_army from triage; connect enlistment_offices to logistics, mandatory_service and army_reserves.","The army lobe joins the main graph through multiple adjacent recruitment/logistics paths instead of one medical bridge.","The large number of era-7 military nodes can still spread horizontally.","PENDING_NEW_CAPTURE"
"MIL-02","military","Field works and trenches","Field works is a terminal leaf while Trench works is a distant hub without the direct family predecessor.","The compatibility graph omitted the semantic fortification continuation.","napoleonic_warfare;field_works;trench_works;general_staff;electric_telegraph","napoleonic_warfare->field_works;missing field_works->trench_works","Move field_works to era 8, trench_works to era 9 and add field_works to trench_works.","An adjacent late fortification progression and fewer detached terminal lines.","Trench works remains a high-degree hub whose routing must be visually checked.","PENDING_NEW_CAPTURE"
"MIL-03","military","Sparse eras 2 and 11","Era 2 has one node and era 11 has three nodes.","The historical skeleton has genuine narrow transition bands; moving protected/custom nodes would be broader than a targeted repair.","explosive_shells;era_11 military nodes","various","No change; retain as documented exceptions.","Avoids arbitrary movement that would improve counts without fixing a captured defect.","Sparse bands remain visible and require human acceptance.","PENDING_NEW_CAPTURE"
"SOC-01","society","Era 11 terminal layer","A completely empty era creates a full-width blank band before eight era-12 terminals.","The previous remap sent all late society endpoints directly from era 10 to era 12.","analytical_philosophy;behaviorism;mass_propaganda;paved_roads","era_10 parents->era_12 terminals","Move four individually justified early twentieth-century terminal technologies to era 11.","Era 11 contains four nodes and the late tree is split evenly 4/4.","The four remaining era-12 terminals still need auto-layout review.","PENDING_NEW_CAPTURE"
"SOC-02","society","Colonization","Colonization sits alone at the end of a six-era vertical line with a large empty rectangle around it.","A mature 1776 institution was mapped to era 7 while retaining international_relations in era 1.","international_relations;colonization;quinine","international_relations->colonization","Move colonization to era 4 and retain its historically correct parent.","The visible line drops three bands instead of six and the node rejoins the early/middle society cluster.","Colonization remains an articulation point for the quinine sub-branch.","PENDING_NEW_CAPTURE"
"SOC-03","society","Nationalism","A six-era line enters the high-degree Nationalism hub from International relations.","The prerequisite was broad and semantically weaker than the TECH-3A national_sovereignty node.","international_relations;national_sovereignty;nationalism","international_relations->nationalism","Replace international_relations with national_sovereignty.","A three-era sovereignty-to-nationalism progression and one fewer extreme hub line.","Nationalism remains a hub by design.","PENDING_NEW_CAPTURE"
"SOC-04","society","Corporate charters","A six-era finance line runs from Stock exchange to Corporate charters.","The temporary compatibility node was placed too late for a pre-1776 institution.","stock_exchange;corporate_charters;joint_stock_companies","stock_exchange->corporate_charters","Move corporate_charters to era 4.","Centers the node between early stock exchange and later joint-stock companies; maximum gap becomes three.","The separate banking/currency bridge remains structurally large.","PENDING_NEW_CAPTURE"
"SOC-05","society","Administration and finance","The administration/finance subgraph depends on nationalism->centralization as a single large bridge.","No second institutionally direct connection joined professional policing to law enforcement.","nationalism;centralization;professional_civil_policing;law_enforcement","nationalism->centralization;missing professional_civil_policing->law_enforcement","Add professional_civil_policing as an adjacent prerequisite of law_enforcement.","The 30-node nationalism/centralization cut is no longer a bridge.","banking->currency_standards still separates a 14-node finance section and remains for human review.","PENDING_NEW_CAPTURE"
"SOC-06","society","High-degree information and statistics hubs","Many lines converge on the three flagged TECH-3A hubs.","These hubs intentionally represent shared enabling institutions, not accidental compatibility edges.","periodical_print_networks;institutionalized_scientific_exchange;systematic_administrative_statistics","various","No change; retain protected hub semantics.","Avoids decorative rewiring and preserves the designed enabling structure.","Native routing may remain dense around these hubs.","PENDING_NEW_CAPTURE"
