Owner_TAG,State_ID,State_Name,Current_Level,Target_Level,Delta,Trade_Role,Main_Commercial_Function,Confidence,Source_1,Source_2,Notes
AUS,STATE_AUSTRIA,Austria,4,2,-2,EXPORT_REGIONAL,Vienna functioned as the political and consumption center of the monarchy and a major redistribution market.,HIGH,https://www.habsburger.net/en/chapter/vienna-imperial-capital,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
AUS,STATE_LOMBARDY,Lombardy,1,2,1,EXPORT_REGIONAL,Milan was a major regional commercial and financial center tied to the silk economy.,HIGH,https://air.unimi.it/handle/2434/158489,https://air.unimi.it/handle/2434/809756,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
AUS,STATE_SLOVENIA,Slovenia,0,3,3,ENTREPOT_REEXPORT,"Trieste’s free-port regime, merchant immigration, exchange institutions and long-distance trade make it a clear international entrepôt.",HIGH,https://archiviodistatotrieste.it/documento-del-mese/marzo-2019-anniversario-del-porto-franco-di-trieste/,https://www.persee.fr/doc/mefr_1123-9891_2007_num_119_2_10384,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
BAV,STATE_FRANCONIA,Franconia,0,1,1,EXPORT_REGIONAL,"Nuremberg/Franconia remained a regional commercial and craft redistribution center, though below Frankfurt/Leipzig/Hamburg scale.",LOW,https://www.britannica.com/place/Nurnberg-Germany/History,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
BEO,STATE_FLANDERS,Flanders,6,2,-4,REGIONAL_EXPORT_TRADE,"Flanders combined dense proto-industrial linen production, important towns and North Sea commerce.",MEDIUM,https://researchportal.vub.be/en/publications/the-austrian-netherlands-transit-policy-and-its-influence-on-the-/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
BRE,STATE_ELBE,Elbe,2,1,-1,EXPORT_REGIONAL,"Bremen was a merchant city with established long-distance trade, but its eighteenth-century port access was constrained by Weser silting.",MEDIUM,https://www.bremen.de/tourismus/erlebnisse/spazieren-wandern/bauwerke-erzaehlen-geschichte,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_CENTRAL_EUROPE_GERMAN_ITALY_RESEARCH.csv
DENNOR,STATE_GREENLAND,Greenland,0,1,1,COLONIAL_TRADE,Permanent Danish-Norwegian colonies and organized trade existed in Greenland during the eighteenth century.,MEDIUM,https://natmus.dk/organisation/forskning-og-kulturarv/nyere-tid-og-verdens-kulturer/etnografisk-samling/arktisk-forskning/projects/phd-project/,,PROVENANCE_FILE=BUILD_START_1776_SUPPLEMENTAL_RESEARCH_CORRIGE.csv
DENNOR,STATE_WESTERN_NORWAY,Western Norway,0,1,1,TRADE_CENTER,Bergen remained Norway's largest city and the central redistribution/export market for northern fish.,HIGH,https://snl.no/Bergen_-_historie,https://snl.no/Norges_utenrikshandel,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
DENNOR,STATE_ZEALAND,Zealand,3,2,-1,TRADE_CENTER,"Copenhagen was the monarchy's dominant administrative, naval and long-distance commercial center.",HIGH,https://www.navalhistory.dk/Danish/Tidslinie/Aarligt/1700.htm,https://natmus.dk/historisk-viden/temaer/militaerhistorie/den-hvervede-haer/krigen-og-dens-forberedelse/militaerindustrien/,Demand/export tags synthesized conservatively from the supplied regional reason; no new historical research. | PROVENANCE_FILE=BUILD_START_1776_NORTHERN_EASTERN_EUROPE_RECOMMENDATIONS.csv
FRA,STATE_AQUITAINE,Aquitaine,3,3,0,ATLANTIC_EXPORT_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,HIGH,https://www.persee.fr/doc/anami_0003-4398_1976_num_88_128_1650_t1_0358_0000_3,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_BRITTANY,Brittany,2,3,1,ATLANTIC_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,HIGH,https://www.nantes.port.fr/fr/nantes-saint-nazaire-port/lhistoire-du-port,https://www.musee-marine.fr/nos-musees/brest/collections/oeuvres-phares/la-bretagne.html,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_FRENCH_LOW_COUNTRIES,French Low Countries,1,1,0,REGIONAL_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,MEDIUM,https://www.persee.fr/doc/bec_0373-6237_1976_num_134_1_450057_t1_0178_0000_000,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_ILE_DE_FRANCE,Île-de-France,5,2,-3,INLAND_NATIONAL_MARKET,"Paris concentrated the monarchy's administration, consumption, education and state manufactures.",HIGH,https://ecoledesponts.fr/lecole/bienvenue-lecole/lecole-dans-lhistoire,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_LANGUEDOC,Languedoc,2,1,-1,REGIONAL_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,MEDIUM,https://www.canal-du-midi.com/en/history-and-heritage/350-years-history/construction-between-1666-and-1694/,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
FRA,STATE_NORMANDY,Normandy,3,2,-1,EXPORT_TRADE,Organized eighteenth-century production or state activity is attested in this regional economy.,HIGH,https://corderievallois.fr/fr/le-musee,,TRADE_CENTER | PROVENANCE_FILE=BUILD_START_1776_WESTERN_EUROPE_RESEARCH.csv
